cycle,AL,AR,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.0,,,,0.0,0.0,,,,,,0.0,,,,,0.5,,,,,,,,,,,,,,,,0.21840873634945399,,,,,,
-18,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.24761904761904763,,,,,,
-17,,,,0.0,0.0,0.0,,1.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.2222222222222222,,,,,,
-16,,0.0,,,,0.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.243605359317905,,,,,,
-15,0.0,,,0.0,,0.3,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.23672883787661406,,,,,,
-14,0.0,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.24393203883495146,,,,,,
-13,0.0,,,0.0,0.0,0.0,,0.6666666666666666,,,,,,,,,0.5,,,,,,,,0.0,,,,,0.0,,0.0,0.2480181200453001,,,,,,
-12,0.0,,,,0.0,0.0,,1.0,,0.0,0.0,,,,,,0.3333333333333333,,,,,,,,0.0,0.0,,,,,,,0.24754901960784315,,,,,,
-11,,,0.0,0.0,,0.0,,0.25,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.20539906103286384,,,,,,
-10,,,,,0.0,0.75,,0.3333333333333333,,0.0,,0.0,,,,,0.3333333333333333,,,,1.0,,,,,,,,,,,,0.22235023041474655,,,0.0,,,
-9,0.0,,,0.0,0.3333333333333333,0.2857142857142857,,1.0,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,,,0.24324324324324326,,,,,,
-8,0.0,,0.0,0.0,0.0,0.3333333333333333,,1.0,,0.0,0.0,,,,,0.0,0.25,,,,,,,,,,,,,,,,0.2389649923896499,,,,,,
-7,0.5,,1.0,0.0,0.5,0.6,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,0.0,,0.0,0.2607758620689655,,,,,0.0,
-6,0.3333333333333333,,0.0,0.0,0.0,0.0,,0.3333333333333333,,0.0,,,,0.0,,,0.5,,,,,,,,0.0,,,,,0.0,,,0.2,,,,,0.0,
-5,0.0,,,0.0,0.08333333333333333,0.14285714285714285,,1.0,,,0.5,,,,,0.0,0.75,,,0.0,0.0,,,0.5,0.0,,,1.0,,0.0,,1.0,0.2328767123287671,,0.0,,,0.3333333333333333,
-4,0.25,,,0.2,0.07692307692307693,0.0,0.0,0.5,,0.0,0.0,0.0,,,0.0,0.0,0.25,,,,,,,0.0,0.0,,,,0.0,0.0,,0.2,0.23648648648648649,,0.0,0.0,,,
-3,0.3333333333333333,,0.0,0.18181818181818182,0.17391304347826086,0.16666666666666666,,0.0,,0.0,0.42857142857142855,,,,0.3333333333333333,0.5,0.4,1.0,0.5,0.6,,,0.0,0.0,0.5,0.5,,,0.0,0.2,,0.375,0.21608040201005024,,1.0,0.0,,0.0,
-2,0.25139664804469275,0.5,0.3,0.03669724770642202,0.20634920634920634,0.2689393939393939,0.42857142857142855,0.2,0.3684210526315789,0.24444444444444444,0.3611111111111111,0.0,0.16666666666666666,0.25,0.3125,0.2978723404255319,0.3026315789473684,0.2,0.3,0.6521739130434783,0.5384615384615384,,0.25,0.0,0.3888888888888889,0.26666666666666666,0.12903225806451613,0.2,,0.1717171717171717,0.42857142857142855,0.32142857142857145,0.19934906427990237,,0.8571428571428571,0.3,,0.18181818181818182,0.25
-1,0.26609442060085836,0.3333333333333333,0.2903225806451613,0.13805970149253732,0.226,0.24294670846394983,0.3898305084745763,1.0,0.14705882352941177,0.25806451612903225,0.24193548387096775,0.045454545454545456,0.2727272727272727,0.25,0.25,0.28440366972477066,0.21951219512195122,0.4375,0.32941176470588235,0.47,0.25,0.0,0.4444444444444444,0.17647058823529413,0.3111111111111111,0.24,0.13559322033898305,0.5,0.5,0.23268698060941828,0.5263157894736842,0.3945578231292517,0.20774385703648549,0.0,0.23529411764705882,0.32222222222222224,0.0,0.3333333333333333,0.25
0,0.2825,0.2,0.30097087378640774,0.11764705882352941,0.2289156626506024,0.2348993288590604,0.4583333333333333,0.058823529411764705,0.36666666666666664,0.410958904109589,0.21875,0.1875,0.4,0.375,0.15555555555555556,0.32894736842105265,0.20670391061452514,0.4642857142857143,0.27522935779816515,0.4411764705882353,0.09523809523809523,,0.4,0.25,0.2727272727272727,0.25806451612903225,0.29545454545454547,0.25925925925925924,0.4,0.23976608187134502,0.5333333333333333,0.40384615384615385,0.19735876742479824,,0.46153846153846156,0.2828282828282828,0.2222222222222222,0.26666666666666666,0.18181818181818182
