cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,0.5,,,,,,,,,,,,,,,,0.21060842433697347,,,,,,
-18,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.23265306122448978,,,,,,
-17,,,,,0.0,0.0,0.0,,1.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.215007215007215,,,,,,
-16,,0.0,,,,,0.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.23264311814859928,,,,,,
-15,0.0,,,,0.0,,0.3,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.22381635581061693,,,,,,
-14,0.0,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.23179611650485438,,,,,,
-13,0.0,,,,0.0,0.0,0.0,,0.6666666666666666,,,,,,,,,0.5,,,,,,,,0.0,,,,,0.0,,0.0,0.23895809739524349,,,,,,
-12,0.0,,,,,0.0,0.0,,1.0,,0.0,0.0,,,,,,0.3333333333333333,,,,,,,,0.0,0.0,,,,,,,0.24019607843137256,,,,,,
-11,,,,0.0,0.0,,0.0,,0.25,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.20187793427230047,,,,,,
-10,,,,,,0.0,0.75,,0.3333333333333333,,0.0,,0.0,,,,,0.3333333333333333,,,,0.0,,,,,,,,,,,,0.21428571428571427,,,0.0,,,
-9,0.0,,,,0.0,0.0,0.2857142857142857,,1.0,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,,,0.23587223587223588,,,,,,
-8,0.0,,,0.0,0.0,0.0,0.3333333333333333,,1.0,,0.0,0.0,,,,,0.0,0.25,,,,,,,,,,,,,,,,0.2267884322678843,,,,,,
-7,0.5,,,1.0,0.0,0.5,0.6,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,0.0,,0.0,0.25,,,,,0.0,
-6,0.3333333333333333,,,0.0,0.0,0.0,0.0,,0.3333333333333333,,0.0,,,,0.0,,,0.5,,,,,,,,0.0,,,,,0.0,,,0.18181818181818182,,,,,0.0,
-5,0.0,,,,0.0,0.08333333333333333,0.14285714285714285,,1.0,,,0.5,,,,,0.0,0.75,,,0.0,0.0,,,0.5,0.0,,,1.0,,0.0,,1.0,0.22465753424657534,,0.0,,,0.3333333333333333,
-4,0.25,,,,0.2,0.07692307692307693,0.0,0.0,0.5,,0.0,0.0,0.0,,,0.0,0.0,0.25,,,,,,,0.0,0.0,,,,0.0,0.0,,0.2,0.22522522522522523,,0.0,0.0,,,
-3,0.3333333333333333,,,0.0,0.18181818181818182,0.17391304347826086,0.1111111111111111,,0.0,,0.0,0.42857142857142855,,,,0.3333333333333333,0.5,0.4,1.0,0.25,0.6,,,0.0,0.0,0.5,0.5,,,0.0,0.2,,0.25,0.20603015075376885,,1.0,0.0,,0.0,
-2,0.24581005586592178,0.5,,0.25,0.03669724770642202,0.20105820105820105,0.26515151515151514,0.42857142857142855,0.2,0.3684210526315789,0.24444444444444444,0.3194444444444444,0.0,0.16666666666666666,0.25,0.3125,0.2978723404255319,0.2894736842105263,0.2,0.26666666666666666,0.6304347826086957,0.5384615384615384,,0.25,0.0,0.3888888888888889,0.26666666666666666,0.12903225806451613,0.2,,0.1717171717171717,0.42857142857142855,0.2857142857142857,0.19446704637917006,,0.8571428571428571,0.3,,0.18181818181818182,0.25
-1,0.2553648068669528,0.25,,0.27956989247311825,0.13805970149253732,0.224,0.22727272727272727,0.3898305084745763,1.0,0.11764705882352941,0.24193548387096775,0.22043010752688172,0.045454545454545456,0.2727272727272727,0.25,0.21428571428571427,0.28440366972477066,0.2073170731707317,0.40625,0.29411764705882354,0.47,0.20833333333333334,0.0,0.4444444444444444,0.17647058823529413,0.28888888888888886,0.22666666666666666,0.13559322033898305,0.5,0.5,0.21606648199445982,0.5263157894736842,0.3741496598639456,0.19880863737900223,0.0,0.23529411764705882,0.3111111111111111,0.0,0.3333333333333333,0.25
0,0.27,0.2,,0.27184466019417475,0.11372549019607843,0.22690763052208834,0.22986577181208054,0.4375,0.058823529411764705,0.3333333333333333,0.3835616438356164,0.21354166666666666,0.1875,0.4,0.3125,0.13333333333333333,0.3157894736842105,0.19553072625698323,0.42857142857142855,0.27522935779816515,0.4411764705882353,0.09523809523809523,,0.4,0.25,0.2727272727272727,0.24193548387096775,0.29545454545454547,0.25925925925925924,0.4,0.2309941520467836,0.4666666666666667,0.3974358974358974,0.1929567131327953,,0.46153846153846156,0.26262626262626265,0.2222222222222222,0.26666666666666666,0.18181818181818182
1,0.3228511530398323,0.0,0.0,0.2391304347826087,0.1342281879194631,0.20233463035019456,0.22010398613518198,0.2777777777777778,0.36363636363636365,0.27450980392156865,0.2535211267605634,0.32673267326732675,0.2631578947368421,0.2,0.5,0.2,0.3055555555555556,0.15,0.3103448275862069,0.16822429906542055,0.5819672131147541,0.10416666666666667,0.0,0.25,0.125,0.2,0.2987012987012987,0.203125,0.45454545454545453,0.35714285714285715,0.24050632911392406,0.3333333333333333,0.29213483146067415,0.19646968534151957,,0.4117647058823529,0.2857142857142857,0.5555555555555556,0.32,0.25
