cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.9575596816976127,0.9833333333333333,1.0,0.8082191780821918,0.9929824561403509,0.9979570990806946,0.9956331877729258,1.0,0.9928571428571429,0.9692982456140351,0.9949494949494949,,0.9980952380952381,,,,0.993006993006993,0.9961059190031153,1.0,1.0,0.8543140028288543,0.9875776397515528,0.9910313901345291,1.0,0.9815602836879432,1.0,0.9871244635193133,1.0,0.9973614775725593,0.9961890243902439,0.9938837920489296,0.983739837398374,1.0,
-18,0.9711815561959655,0.9861386138613861,0.9594594594594594,0.8071748878923767,0.9955156950672646,0.9964071856287425,0.9982174688057041,0.9645390070921985,0.9776119402985075,0.9724137931034482,0.9932885906040269,0.9270833333333334,0.995260663507109,,,,0.9733333333333334,0.9939341421143848,1.0,1.0,0.8833718244803695,0.9681528662420382,0.9884393063583815,1.0,0.9815950920245399,1.0,0.9951456310679612,0.9888888888888889,0.9917355371900827,0.9954093343534812,0.99581589958159,0.986013986013986,0.987012987012987,
-17,0.9779179810725552,0.9738562091503268,1.0,0.8300653594771242,1.0,0.9913473423980222,1.0,0.9921875,0.9923076923076923,0.9897750511247444,0.993103448275862,0.9705882352941176,0.9972972972972973,,1.0,,0.9864253393665159,0.9929859719438878,1.0,1.0,0.8930957683741648,0.9851851851851852,0.9875,1.0,0.9834558823529411,1.0,1.0,1.0,0.9902597402597403,0.9940928270042194,0.9964028776978417,1.0,0.989010989010989,
-16,0.9652173913043478,0.9721577726218097,1.0,0.8152610441767069,0.9853658536585366,0.9942726231386025,0.9946714031971581,0.984,1.0,0.9940828402366864,1.0,0.8877551020408163,0.9951456310679612,,,,0.9927536231884058,0.9945945945945946,1.0,,0.8806629834254144,0.9790209790209791,0.9883040935672515,1.0,0.9795918367346939,1.0,0.9823008849557522,1.0,0.9863945578231292,0.9916736053288926,1.0,0.9902912621359223,0.9891304347826086,
-15,0.9541984732824428,0.9688995215311005,1.0,0.8101010101010101,1.0,0.9952830188679245,1.0,0.9906542056074766,1.0,0.9901574803149606,0.9858156028368794,0.9873417721518988,0.9975429975429976,,,0.9886363636363636,0.9893238434163701,0.9915572232645403,1.0,1.0,0.894300518134715,0.9927007299270073,1.0,0.9855769230769231,0.992462311557789,1.0,0.9915611814345991,1.0,0.9968652037617555,0.9880239520958084,1.0,0.9912280701754386,1.0,
-14,0.9628099173553719,0.9798270893371758,0.9864864864864865,0.8155844155844156,1.0,0.9967051070840197,0.9697542533081286,1.0,0.9921259842519685,0.9986648865153538,1.0,0.9840871021775545,1.0,,,1.0,0.9965337954939342,0.9925,1.0,1.0,0.8654781199351702,,0.9807692307692307,1.0,0.992,1.0,0.9074074074074074,1.0,0.9968454258675079,0.9907786885245902,0.9983361064891847,0.9701492537313433,1.0,
-13,0.9438502673796791,0.9798206278026906,0.9879518072289156,0.8375209380234506,0.992,0.9975144987572494,0.9817351598173516,1.0,0.9925373134328358,0.9916963226571768,0.9942857142857143,0.9810126582278481,0.9966722129783694,1.0,0.9714285714285714,0.9709864603481625,0.9896551724137931,0.9935158501440923,1.0,1.0,0.8885135135135135,0.9897959183673469,0.9306829765545361,1.0,0.9875,1.0,0.9347826086956522,1.0,0.9930875576036866,0.9940978077571669,1.0,0.9793103448275862,0.9873417721518988,1.0
-12,0.9473684210526315,0.9700598802395209,1.0,0.8402489626556017,1.0,0.9971883786316776,0.9795698924731183,0.9908256880733946,0.9920424403183024,0.995475113122172,0.9965753424657534,0.972568578553616,0.9942084942084942,,,0.9952267303102625,0.9916247906197655,0.9907251264755481,1.0,1.0,0.8806629834254144,0.95,0.9439890710382514,1.0,0.9798927613941019,1.0,0.9184549356223176,1.0,0.9975961538461539,0.990791896869245,0.9937238493723849,0.968503937007874,0.975,1.0
-11,0.9457142857142857,0.9634888438133874,0.9887640449438202,0.9844155844155844,0.9953271028037384,0.9948453608247423,0.9754901960784313,1.0,0.988929889298893,0.9845238095238096,0.9823788546255506,0.9779582366589327,0.9955654101995566,,,0.9874476987447699,0.9878472222222222,0.9951969260326609,1.0,1.0,0.8391845979614949,0.9851851851851852,0.9388379204892966,1.0,0.9797101449275363,1.0,0.9279661016949152,0.989247311827957,0.9904988123515439,0.9898148148148148,0.9976635514018691,0.9652777777777778,1.0,1.0
-10,0.9506849315068493,0.9875776397515528,1.0,0.9848024316109423,0.9906542056074766,0.9975093399750934,0.9768076398362893,0.9925925925925926,1.0,0.9977502812148481,0.9579439252336449,0.9812568908489526,0.9976525821596244,,0.8888888888888888,0.9914529914529915,0.9935064935064936,0.9924406047516199,0.9953271028037384,1.0,0.8676957001102535,,0.9641873278236914,1.0,0.9818456883509834,1.0,0.9186991869918699,0.9821428571428571,0.995049504950495,0.9859030837004406,1.0,0.9733333333333334,1.0,1.0
-9,0.9479768786127167,0.972457627118644,0.9886363636363636,0.984984984984985,1.0,1.0,0.9789473684210527,0.9915966386554622,0.9959839357429718,0.9925280199252802,0.9818181818181818,0.9846743295019157,0.9905882352941177,,,0.9893617021276596,0.9820143884892086,0.9935760171306209,0.988929889298893,1.0,0.8893854748603351,0.9856115107913669,0.9496402877697842,0.9945054945054945,0.9886201991465149,0.9787234042553191,0.926605504587156,0.9711538461538461,0.9899244332493703,0.9897388059701493,0.9962335216572504,0.9828571428571429,0.9577464788732394,1.0
-8,0.9526627218934911,0.974477958236659,1.0,0.4967845659163987,0.9953051643192489,0.9976525821596244,0.9712328767123287,0.979381443298969,0.9956140350877193,0.9934980494148244,0.9791666666666666,0.9776021080368906,0.9973118279569892,,1.0,0.9977426636568849,0.9979838709677419,0.9939246658566221,0.990909090909091,0.9714285714285714,0.8995929443690638,0.9875,0.9422776911076443,1.0,0.9865229110512129,1.0,0.9038461538461539,0.9642857142857143,0.9893617021276596,0.9972247918593895,0.9959432048681541,0.975609756097561,1.0,1.0
-7,0.9731543624161074,0.9787234042553191,0.9801980198019802,0.5943600867678959,0.9902912621359223,0.9966367713004485,0.9734748010610079,1.0,0.9875518672199171,0.9944674965421854,0.9886363636363636,0.9830508474576272,0.9879518072289156,1.0,,0.9949748743718593,0.9955257270693513,0.9958246346555324,0.9907834101382489,1.0,0.8884803921568627,1.0,0.9726027397260274,1.0,0.9846153846153847,1.0,0.9166666666666666,0.9622641509433962,0.9837837837837838,0.9899175068744271,0.9935622317596566,0.9661016949152542,0.9859154929577465,1.0
-6,0.9649122807017544,0.9864559819413092,0.9863013698630136,0.5893536121673004,0.9956709956709957,0.9947534102833159,0.9829396325459318,,0.9882352941176471,0.9948849104859335,0.9691629955947136,0.9768009768009768,0.9934354485776805,,0.9545454545454546,0.9935897435897436,0.9924098671726755,0.9899665551839465,0.9957983193277311,1.0,0.8898876404494382,0.9907407407407407,0.9507692307692308,1.0,0.980528511821975,1.0,0.9276595744680851,0.9595959595959596,0.982367758186398,0.9941324392288349,1.0,0.9132947976878613,1.0,1.0
-5,0.956989247311828,0.9785407725321889,0.987012987012987,0.6417910447761194,0.9959677419354839,0.9989909182643795,0.9729032258064516,0.9703703703703703,0.9925650557620818,0.9949302915082383,0.9864864864864865,0.9780853517877739,0.9868421052631579,,0.9583333333333334,0.9866962305986696,0.9876325088339223,0.9912049252418645,1.0,0.9935483870967742,0.881201044386423,0.9903846153846154,0.9248895434462445,1.0,0.9807692307692307,1.0,0.9076305220883534,0.983739837398374,0.9948186528497409,0.9864406779661017,0.9290187891440501,0.9640718562874252,1.0,1.0
-4,0.9961089494163424,0.9816091954022989,1.0,0.5921052631578947,0.9955555555555555,0.9980059820538385,0.9785809906291834,0.9701492537313433,1.0,0.9930747922437673,0.9653679653679653,0.9902439024390244,0.9978902953586498,,0.9482758620689655,0.9921875,0.9863945578231292,0.9961089494163424,0.98828125,0.9891891891891892,0.8895152198421646,0.9950248756218906,0.9333333333333333,1.0,0.9785604900459418,1.0,0.9227642276422764,0.9739130434782609,0.9894179894179894,0.9919928825622776,0.9810964083175804,0.9794871794871794,0.9859154929577465,1.0
-3,0.9976415094339622,0.9747474747474747,0.9859154929577465,0.572938689217759,1.0,0.998998998998999,0.9832635983263598,0.96,0.9885931558935361,0.9900497512437811,0.9523809523809523,0.986873508353222,0.9958333333333333,,1.0,0.9914346895074947,0.9875,0.9949892627057981,0.9955947136563876,0.9814814814814815,0.8731707317073171,0.9846938775510204,0.9408672798948752,0.9888268156424581,0.9618008185538881,1.0,0.9391304347826087,0.95,0.9887892376681614,0.9912967798085291,0.9526748971193416,0.976878612716763,0.9753086419753086,1.0
-2,1.0,0.9775910364145658,1.0,0.5738045738045738,0.9956331877729258,0.9980353634577603,0.9838056680161943,0.978494623655914,0.9964028776978417,0.992822966507177,0.972027972027972,0.9838308457711443,1.0,1.0,,0.9956616052060737,0.9811676082862524,0.9936260623229461,1.0,0.9932432432432432,0.9015317286652079,0.987603305785124,0.9411764705882353,1.0,0.9817415730337079,1.0,0.936,0.9849624060150376,0.9952038369304557,0.9834926151172894,0.9694323144104804,0.9411764705882353,1.0,1.0
-1,0.9918478260869565,0.9730941704035875,0.9886363636363636,0.5877551020408164,1.0,0.9980430528375733,0.9846796657381616,0.9891304347826086,1.0,0.997275204359673,0.9752650176678446,0.9835841313269493,0.997872340425532,1.0,0.9636363636363636,0.9917864476386037,0.9882121807465619,0.994060876020787,0.99581589958159,0.9846153846153847,0.8862559241706162,0.9950248756218906,0.9181692094313454,1.0,0.9825033647375505,1.0,0.9530516431924883,0.9629629629629629,0.9900497512437811,0.9893992932862191,0.9744186046511628,0.9739583333333334,0.9857142857142858,1.0
0,1.0,0.9797979797979798,0.9852941176470589,0.5599128540305011,0.9952153110047847,0.9967914438502674,0.9856733524355301,1.0,1.0,0.9946808510638298,0.9829931972789115,0.9803646563814866,0.9942965779467681,,0.92,0.9906103286384976,0.9705882352941176,0.9923371647509579,0.996078431372549,0.9888888888888889,0.8910411622276029,0.9950248756218906,0.946980854197349,0.994535519125683,0.9766536964980544,1.0,0.9441340782122905,0.984,0.9845474613686535,0.9913710450623202,0.9487179487179487,0.9543147208121827,0.9873417721518988,1.0
1,0.9971751412429378,0.989247311827957,1.0,0.5948827292110874,0.9840425531914894,0.9956663055254604,0.976158940397351,0.9772727272727273,1.0,0.9862542955326461,0.9807692307692307,0.9857142857142858,1.0,,,0.997872340425532,0.9950248756218906,0.9936170212765958,0.9963235294117647,0.9726775956284153,0.8810457516339869,0.995260663507109,0.9389416553595658,1.0,0.9785714285714285,1.0,0.9010989010989011,0.9710144927536232,0.9951338199513382,0.9893522626441881,0.9680365296803652,0.9651741293532339,0.971830985915493,1.0
2,1.0,0.9862258953168044,1.0,0.6080760095011877,0.9955156950672646,0.998898678414097,0.979381443298969,0.9347826086956522,0.9962264150943396,0.9945280437756497,0.9727272727272728,0.9815864022662889,0.9981060606060606,,0.9787234042553191,0.9892008639308856,0.9979919678714859,0.9943938332165382,1.0,0.9948979591836735,0.8941736028537456,0.995260663507109,0.953551912568306,1.0,0.9871495327102804,1.0,0.933920704845815,0.9523809523809523,0.9932126696832579,0.9898897058823529,0.9737470167064439,0.9692307692307692,0.9883720930232558,1.0
3,0.9968652037617555,0.9754098360655737,1.0,0.5708154506437768,0.9947916666666666,0.9895348837209302,0.974320241691843,0.9690721649484536,0.9922178988326849,0.9943100995732574,0.9735973597359736,0.9753086419753086,0.9914893617021276,1.0,,0.9953810623556582,0.9931192660550459,0.9950617283950617,0.9917695473251029,0.9633507853403142,0.8972972972972973,0.9842931937172775,0.9456366237482118,1.0,0.9863523573200993,1.0,0.89,0.9642857142857143,0.9910514541387024,0.9871244635193133,0.9720101781170484,0.9595959595959596,0.9871794871794872,0.9978768577494692
4,0.9940828402366864,0.974169741697417,0.9871794871794872,0.5860566448801743,1.0,0.9988165680473373,0.9799382716049383,0.9625,0.9886792452830189,1.0,0.9769230769230769,0.9745508982035929,0.9954128440366973,1.0,,0.9957716701902748,0.9978494623655914,0.9873217115689382,0.9907834101382489,0.9473684210526315,0.895500725689405,,0.9594383775351014,1.0,0.9883313885647608,1.0,0.9027027027027027,0.9912280701754386,0.9976190476190476,0.9866666666666667,0.968421052631579,0.9841269841269841,1.0,1.0
5,0.9904153354632588,0.9874476987447699,0.9871794871794872,0.5827814569536424,1.0,0.9987228607918263,0.9842767295597484,0.9787234042553191,0.992619926199262,0.9939024390243902,0.9818181818181818,0.9867060561299852,0.9974554707379135,,,0.9941348973607038,0.9934354485776805,0.9916222391469917,1.0,0.9696969696969697,0.8875562218890555,0.9888268156424581,0.964221824686941,1.0,0.9872093023255814,1.0,0.9289340101522843,0.9789473684210527,0.9945652173913043,0.9905561385099685,0.9575070821529745,0.9473684210526315,1.0,1.0
6,1.0,0.9836065573770492,0.9767441860465116,0.5382775119617225,1.0,0.9987745098039216,0.9735915492957746,0.9306930693069307,0.9960159362549801,0.995260663507109,0.9920634920634921,0.980072463768116,0.9946236559139785,,,0.9971509971509972,0.9950738916256158,0.9928952042628775,0.9948453608247423,0.9565217391304348,0.9079159935379645,1.0,0.9399624765478424,1.0,0.9886363636363636,1.0,0.9156626506024096,0.9904761904761905,1.0,0.985524728588661,0.9863760217983651,0.9947643979057592,0.9833333333333333,1.0
7,0.996969696969697,0.958904109589041,1.0,0.5537757437070938,0.9751552795031055,0.9963942307692307,,0.9777777777777777,0.9966777408637874,0.9943262411347518,0.9875,0.9883720930232558,1.0,,0.972972972972973,1.0,1.0,0.9887640449438202,1.0,0.9685534591194969,0.8898426323319027,0.9807692307692307,0.9330218068535826,1.0,0.9925053533190579,1.0,0.9285714285714286,0.9468085106382979,0.9917808219178083,0.9905771495877503,0.9691211401425178,0.961352657004831,,1.0
