cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.0110803324099723,0.03559322033898305,0.7261904761904762,0.35351089588377727,0.16607773851590105,0.02047082906857728,0.007309941520467836,0.023809523809523808,0.06474820143884892,0.03167420814479638,0.04568527918781726,,0.007633587786259542,,,,0.014084507042253521,0.024237685691946835,0.1,0.627906976744186,0.048841059602649006,0.03773584905660377,0.03619909502262444,0.21739130434782608,0.07658959537572255,0.23404255319148937,0.06521739130434782,0.6,0.010582010582010581,0.06885998469778118,0.015384615384615385,0.10743801652892562,0.012658227848101266,
-18,0.02373887240356083,0.04216867469879518,0.5915492957746479,0.37222222222222223,0.15765765765765766,0.016826923076923076,0.005357142857142857,0.022058823529411766,0.07633587786259542,0.03723404255319149,0.06756756756756757,0.011235955056179775,0.002380952380952381,,,,0.0228310502283105,0.02964254577157803,0.087248322147651,0.5147058823529411,0.05620915032679739,0.013157894736842105,0.017543859649122806,0.17937219730941703,0.08541666666666667,0.16129032258064516,0.03414634146341464,0.5280898876404494,0.019444444444444445,0.0730207532667179,0.004201680672268907,0.1276595744680851,0.14473684210526316,
-17,0.016129032258064516,0.05592841163310962,0.463768115942029,0.37270341207349084,0.1721311475409836,0.016209476309226933,0.003676470588235294,0.015748031496062992,0.06201550387596899,0.022727272727272728,0.027777777777777776,0.015151515151515152,0.008130081300813009,,0.0625,,0.03669724770642202,0.02119071644803229,0.08,0.6575342465753424,0.05112219451371571,0.022556390977443608,0.04430379746835443,0.192090395480226,0.08785046728971962,0.23076923076923078,0.046511627906976744,0.591304347826087,0.006557377049180328,0.0730050933786078,0.010830324909747292,0.09433962264150944,0.044444444444444446,
-16,0.015015015015015015,0.05489260143198091,0.5662650602409639,0.33251231527093594,0.2079207920792079,0.020737327188940093,0.007142857142857143,0.016260162601626018,0.03278688524590164,0.037698412698412696,0.050724637681159424,0.022988505747126436,0.01951219512195122,,,,0.040145985401459854,0.016304347826086956,0.041379310344827586,,0.05269761606022585,0.007142857142857143,0.011834319526627219,0.2328767123287671,0.07708333333333334,0.03571428571428571,0.02702702702702703,0.6206896551724138,0.013793103448275862,0.06465155331654072,0.028688524590163935,0.058823529411764705,0.06593406593406594,
-15,0.008,0.05432098765432099,0.6829268292682927,0.341645885286783,0.15639810426540285,0.026066350710900472,0.0048,0.018867924528301886,0.07746478873239436,0.03777335984095427,0.06474820143884892,0.01282051282051282,0.009852216748768473,,,0.011494252873563218,0.017985611510791366,0.02459791863765374,0.10218978102189781,0.5072463768115942,0.04519119351100811,0.029411764705882353,0.0425531914893617,0.2,0.07848101265822785,0.1388888888888889,0.05106382978723404,0.6363636363636364,0.0031446540880503146,0.04588744588744589,0.017241379310344827,0.07079646017699115,0.06578947368421052,
-14,0.008583690987124463,0.03823529411764706,0.5616438356164384,0.33121019108280253,0.08108108108108109,0.024793388429752067,0.007797270955165692,0.03389830508474576,0.03968253968253968,0.03609625668449198,0.05172413793103448,0.011063829787234043,0.015432098765432098,,,0.0165016501650165,0.01565217391304348,0.02392947103274559,0.125,0.6415094339622641,0.054307116104868915,,0.0392156862745098,0.23741007194244604,0.10080645161290322,0.13636363636363635,0.04081632653061224,0.5,0.00949367088607595,0.06308169596690796,0.013333333333333334,0.1076923076923077,0.0392156862745098,
-13,0.014164305949008499,0.05034324942791762,0.6341463414634146,0.334,0.16532258064516128,0.019933554817275746,0.004651162790697674,0.031007751937984496,0.05263157894736842,0.039473684210526314,0.040229885057471264,0.025806451612903226,0.008347245409015025,0.0625,0.17647058823529413,0.02390438247011952,0.036585365853658534,0.03625815808556925,0.09937888198757763,0.5405405405405406,0.048162230671736375,0.010309278350515464,0.02628696604600219,0.2062780269058296,0.07848101265822785,0.15217391304347827,0.04186046511627907,0.6907216494845361,0.016241299303944315,0.07463952502120441,0.008988764044943821,0.08450704225352113,0.0641025641025641,0.014014014014014014
-12,0.018518518518518517,0.04526748971193416,0.5,0.32839506172839505,0.19101123595505617,0.012218045112781954,0.0043907793633369925,0.05555555555555555,0.08021390374331551,0.045454545454545456,0.01718213058419244,0.028205128205128206,0.011650485436893204,,,0.02877697841726619,0.02027027027027027,0.02553191489361702,0.09848484848484848,0.5652173913043478,0.04642409033877039,0.013157894736842105,0.017366136034732273,0.25961538461538464,0.06703146374829001,0.1794871794871795,0.04672897196261682,0.55,0.012048192771084338,0.07156133828996282,0.01263157894736842,0.08943089430894309,0.038461538461538464,0.01443298969072165
-11,0.01812688821752266,0.04421052631578947,0.5909090909090909,0.5382585751978892,0.14553990610328638,0.01865284974093264,0.010050251256281407,0.00684931506849315,0.055970149253731345,0.041112454655380895,0.04932735426008968,0.028469750889679714,0.0200445434298441,,,0.025423728813559324,0.028119507908611598,0.03571428571428571,0.1434108527131783,0.6588235294117647,0.04183535762483131,0.007518796992481203,0.02768729641693811,0.205,0.08136094674556213,0.2222222222222222,0.0593607305936073,0.717391304347826,0.03117505995203837,0.08512628624883069,0.01639344262295082,0.10071942446043165,0.011363636363636364,0.006756756756756757
-10,0.01440922190201729,0.04612159329140461,0.6707317073170732,0.5432098765432098,0.1509433962264151,0.03058676654182272,0.009776536312849162,0.022388059701492536,0.05970149253731343,0.05298759864712514,0.01951219512195122,0.017977528089887642,0.011764705882352941,,0.125,0.03017241379310345,0.0196078431372549,0.04026115342763874,0.1596244131455399,0.6261682242990654,0.043202033036848796,,0.03142857142857143,0.2182741116751269,0.07395993836671803,0.13513513513513514,0.03982300884955752,0.5181818181818182,0.012437810945273632,0.07596067917783736,0.014492753623188406,0.0684931506849315,0.029850746268656716,0.014141414141414142
