cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,4127,4215,1799,6066,2577,6878,10015,1138,498,1952,6909,2187,7869,6008,759,526,711,2901,2674,2514,843,7045,509,354,1692,2044,4557,1326,6433,1803,4120,1029,1946,2414,3806,8193,502,3338,6214,2841,2423,133
-11,4101,4458,2139,5496,2453,9179,9009,1286,474,1567,6633,1513,7725,5358,249,526,673,2909,2711,2404,825,6433,741,296,1541,2009,4465,1204,7608,1675,3780,959,1942,1733,3671,9158,674,4166,5894,2046,1300,130
-10,4031,4872,1761,5178,2367,10631,10086,1257,492,1269,6533,1422,7571,5631,220,560,583,2711,2621,2479,808,6705,701,316,1494,2006,4268,1217,7185,1639,4379,943,1847,1820,3339,8875,539,5515,6341,2785,2717,143
-9,3914,4309,1713,5098,2293,7233,10146,1331,337,1327,6282,1409,7169,5815,243,557,582,2611,2529,2463,832,6719,620,316,1581,1992,4250,1099,7069,1492,4260,860,1828,1698,3645,8516,894,4512,6046,2573,2656,136
-8,3695,4024,1769,5905,2168,5816,8432,1147,281,1316,5792,1306,6737,5374,227,492,606,2527,2438,2337,650,5991,656,292,1442,1783,3781,1098,6395,1331,4104,737,1812,1671,3328,8503,672,4288,5966,2359,2272,109
-7,3315,3960,1721,5400,2174,6075,7769,1063,248,1413,5558,1197,6682,5230,206,499,604,2424,2677,2211,738,5512,571,310,1437,639,4112,1015,6532,1291,4088,796,1814,1586,3266,8078,625,3913,5885,2273,2381,90
-6,3531,4681,2155,6613,2394,8902,10034,1251,751,1450,5737,1536,7218,5707,209,495,627,2516,2685,2328,977,7755,656,254,1564,2422,4485,1207,6900,1523,4277,824,1886,1759,3352,9949,674,4555,6253,2574,2186,117
-5,3676,4988,2268,6222,2341,8177,10485,1305,360,1580,5611,1546,8136,6081,224,501,747,2450,2679,2673,867,7472,632,389,1507,2304,4146,1232,6536,1622,4174,815,1899,1803,3867,9960,912,4775,6307,2755,2730,105
-4,4973,4916,2152,6326,2311,8137,12883,1192,482,1624,5808,1533,7838,5868,222,535,720,2602,3043,2656,890,7354,691,333,1611,2176,4417,1264,6415,1628,3729,850,1997,1754,4019,10173,804,5178,6566,2186,2678,116
-3,3815,4767,2163,6458,2424,8431,11093,1305,411,1626,6611,1564,7983,6104,172,532,774,2616,2978,2779,869,7610,648,300,1567,2283,4197,1192,7865,1568,4195,991,2062,1811,4181,10329,798,4994,6515,2111,2882,102
-2,4180,4481,2197,5831,2345,8674,12003,1252,418,1718,6565,1585,7769,5213,272,552,661,2590,2914,2775,879,7486,617,188,1605,2368,4701,1327,7508,1544,4288,952,2086,1798,4073,10460,710,4365,6730,1925,2728,123
-1,3972,5575,2187,6589,2503,8558,11963,1300,433,1713,6496,1446,7972,6431,222,558,785,2628,2840,2840,495,7839,674,348,1594,2468,4284,1332,7753,1613,4279,957,2613,1839,4011,10407,844,4360,6841,2292,2909,137
0,3807,4672,2081,6618,2437,8544,11551,1275,464,1830,6433,1598,7292,6621,227,659,661,2651,2718,2516,493,7382,630,358,1718,2526,4309,1304,7147,1714,4365,851,2277,1832,4046,9677,846,4199,7075,2230,2753,130
1,4134,4617,2223,7157,2554,8512,11802,1418,431,1802,6889,1583,8113,6603,217,616,690,2612,3125,3034,884,7492,741,399,1792,2625,4153,1356,7705,1634,4867,1047,2113,2186,4315,10238,790,4530,6910,2299,3151,150
2,3891,4696,2263,6698,2425,8768,11543,1369,454,1724,6612,1565,7580,6915,252,590,768,2763,2731,2648,800,7818,706,388,1572,2612,4312,1291,7037,1572,4607,981,2305,1619,4151,10139,797,4227,6942,2147,2906,125
3,3732,4722,2130,6656,2271,7701,10830,1328,441,1664,6078,1445,7078,6206,211,666,735,2507,2710,2569,777,7571,682,331,1606,2395,3909,1247,6664,1302,4667,963,1961,1682,3980,10391,703,4135,6727,2036,2837,97
4,3616,4131,2147,6404,2237,7803,11280,1283,407,1658,6060,1504,6999,5671,220,551,885,2572,2512,2477,776,7280,698,344,1669,2181,3736,1248,6460,1235,4431,871,2043,1691,4183,9517,361,4128,6482,2061,2770,122
5,3481,3995,2032,5894,2339,7416,10469,1189,371,1511,5619,1359,6786,5269,201,544,676,2365,2652,2203,743,7055,551,344,1558,2371,3579,1137,5919,1025,4303,919,2051,1459,3757,8544,405,3965,6342,1869,2367,100
6,3076,3467,2111,6121,2167,7367,9516,1116,408,1594,5191,1292,5632,4827,197,463,647,2273,1959,2002,758,6366,565,339,1555,2138,3429,1133,5545,1238,4382,703,1917,1497,3272,8013,340,3321,6405,2092,2384,118
7,3666,4429,2253,6458,2435,8097,11412,1209,422,1736,6034,1492,7176,5637,209,584,708,2382,2377,2353,761,7470,644,303,1655,2299,3709,1287,6264,1190,4771,929,2020,1602,4035,8725,375,4331,6506,1993,2384,102
8,4035,4192,2246,6452,2348,8301,11612,1100,389,1648,6229,1535,7175,5847,245,509,668,2455,2544,2676,851,7686,592,389,1661,2328,3605,1157,6230,1045,4639,942,2313,1553,4085,10315,444,4215,6660,1961,2782,150
9,3880,4318,2100,6136,2382,8863,11286,1325,398,1855,6305,1696,7675,6086,212,576,778,2511,2498,2575,859,7839,647,345,1781,2496,3720,1179,7187,1089,4753,935,2380,1648,4288,10451,402,4446,7002,2086,3059,149
10,3821,4732,2244,6763,2503,8608,11479,1381,411,1760,5580,1723,5388,6913,236,624,722,2498,2064,2066,805,8008,486,339,1808,2824,3714,1086,7056,1646,4563,936,2297,1671,4367,10481,391,3683,6680,1935,2764,117
11,4011,4677,2242,6512,2587,8636,11898,1317,410,1814,6042,1659,8349,6125,205,600,765,2426,2536,2782,855,7701,429,308,1509,2783,3945,1075,6870,1512,4638,966,2414,1719,4295,10745,418,4465,6736,2010,2890,131
12,3783,4736,2224,6608,2364,8825,11416,1355,459,1885,6489,1550,7932,6235,229,487,729,2544,2716,2752,914,8059,514,367,1788,2774,3954,1157,7259,1426,4528,873,2262,1757,4262,10099,401,4285,6880,2025,3072,172
13,3724,4780,2276,6874,2679,8388,11841,1384,483,1705,6456,1191,7932,6297,228,471,680,2625,2383,2871,934,7656,497,227,1801,2745,4099,1200,7439,1513,4813,998,2335,1803,4419,10126,433,4205,7118,2165,2913,138
14,4618,4919,2457,7167,2658,8775,11805,1443,504,1677,6361,1147,7753,6089,190,441,689,2615,3712,3222,928,7717,626,230,1972,2833,4029,1141,7474,1474,4597,991,2289,2098,4406,10507,438,4409,6929,2236,3036,148
15,4141,4664,2301,6930,2582,8732,11328,1413,418,1695,6251,1857,7593,5736,235,425,643,2447,3125,2894,718,7540,608,453,1821,2630,3728,1136,7308,1530,4897,968,2296,1880,4278,11045,410,4877,7033,2088,3151,142
16,3938,4625,2223,6393,2524,8491,11195,1352,451,1662,6172,1612,7294,5709,228,448,686,2457,3032,2869,891,7611,634,367,1743,2592,3909,1164,7236,1471,4559,964,2167,1746,4241,10662,352,4689,6617,2094,2945,104
17,3854,4340,2121,6212,2414,8268,10764,1288,446,1755,5738,1601,6891,6374,225,501,641,2491,3139,2659,887,7782,559,358,1664,2615,3798,1076,7073,1406,4464,910,2130,1649,4055,10567,457,4355,6567,2027,3296,132
18,3630,4239,2124,5686,2244,8127,10492,1223,459,1635,5104,1491,6629,5260,216,470,591,2267,2801,2502,773,7267,508,332,1588,2436,3879,1015,6501,1352,4449,824,2104,1486,4041,9815,320,4884,6315,1909,2704,133
19,3466,3725,2162,5749,2155,7810,9998,1202,382,1671,5216,1441,6350,4886,204,378,607,2222,2583,2425,866,7230,545,404,1580,2300,3653,939,6266,1353,4343,811,2183,1628,3592,9471,324,3910,6375,1869,2890,99
20,3728,3735,2227,6422,2419,8273,10559,1331,421,1708,5477,1478,5817,5733,225,228,595,2171,2917,2335,915,7035,596,361,1712,2702,3976,1057,6806,1296,4720,760,2064,1645,3554,9749,353,4029,6877,2019,2904,90
21,3974,4364,2199,6418,2360,8401,11587,1352,358,1825,6041,1542,7236,6422,220,270,636,2293,2959,2801,926,8018,584,367,1645,2735,3723,1063,7225,1464,4752,828,2337,1703,4126,11052,393,4435,6681,1864,3155,167
