cycle,AL,AR,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,,,,,1.0,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0014204545454545455,,,,,,
-12,1.0,,,,1.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.001564945226917058,,,,,,
-11,,,,1.0,1.0,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.002434001123385134,,,,,,
-10,,0.0,,1.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0028328611898017,,,,,,
-9,1.0,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.003815039529325244,,,,,,
-8,,,,1.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.005221932114882507,,,,,,
-7,1.0,,,1.0,1.0,0.16071428571428573,,0.0,1.0,,1.0,,,,,,0.0,,,,,,,,1.0,,,,1.0,,,1.0,0.009113901971044829,,,,,,
-6,1.0,,,0.0,1.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,1.0,,,0.0010869565217391304,,,,,,
-5,1.0,,,1.0,1.0,0.0,,0.0,,1.0,,,,,,,0.0,,,,,,,,0.0,1.0,,,,1.0,,,0.002466091245376079,,,,,,
-4,,,1.0,1.0,1.0,0.0,,0.0,,0.5,1.0,1.0,,,,,0.0,,,,0.0,,,,,,,,,,,,0.004629629629629629,,,0.0,,,
-3,1.0,,,0.0,0.75,0.0,,0.0,,1.0,,,,,,,0.0,,,,,,,,0.0,,,,,1.0,,,0.002325581395348837,,,,,,
-2,0.3333333333333333,,,0.0,0.19047619047619047,0.0,,0.0,,0.5,1.0,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,0.013298408220834173,,,,,,
-1,0.5,,0.7142857142857143,0.5,0.0,0.0,,0.0,,1.0,0.0,0.6666666666666666,,,,0.5,0.0,,,,,,,,,,1.0,,,0.0,,,0.009401709401709401,,,,,0.0,
0,0.0,,0.0,0.2857142857142857,1.0,0.3333333333333333,,0.0,,0.0,,0.0,,1.0,0.0,,,,,,,,,,0.0,,,,,1.0,,0.0,0.01912568306010929,,,,,,
1,0.05,,,0.5,0.32142857142857145,0.0,,0.0,,,,,,,,0.0,0.29285714285714287,,,0.0,1.0,,,0.0,0.0,,,0.0,,,,,0.016405617067242778,,,,,0.17857142857142858,
2,0.2,,,0.175,0.21103896103896103,0.07417582417582418,0.0,0.0,,1.0,0.0,0.5,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,0.0,0.005037783375314861,,0.0,0.0,,0.0,
3,0.1,,,0.0,0.058823529411764705,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.4,0.0,0.0,,,,,0.0,0.08928571428571429,,,,0.0,0.0,,0.16666666666666666,0.00336176980913823,,0.0,,,0.08928571428571429,
4,0.03720238095238095,,0.0,0.06666666666666667,0.0,0.0,,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,,0.0,0.0,0.0,,0.2261904761904762,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.125,,0.13571428571428573,0.0039824136612718235,,,0.0,,0.5,
5,0.0,0.0,0.023809523809523808,0.013100436681222707,0.0004313319530710835,0.0017889087656529517,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005868936359590565,,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0037735849056603774,0.003952569169960474,0.0,0.0,0.0,0.041666666666666664,0.013157894736842105,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.16071428571428573,0.0,0.0,0.0,0.0,0.0,0.002191380569758948,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0023923444976076554,0.0,0.0,0.01268472906403941,0.0,0.0034782608695652175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.002421307506053269,,0.0,0.0,0.0,0.0,0.0
