cycle,AL,AR,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV,WY
-13,,,,,1.0,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0014204545454545455,,,,,
-12,1.0,,,,1.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.001564945226917058,,,,,
-11,,,,1.0,1.0,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.001310615989515072,,,,,
-10,,0.0,,1.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0028328611898017,,,,,
-9,1.0,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.002574002574002574,,,,,
-8,,,,1.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0039164490861618795,,,,,
-7,1.0,,,0.25,1.0,0.0,,0.0,1.0,,1.0,,,,,,0.0,,,,,,,,1.0,,,,1.0,,,0.0,0.008547008547008548,,,,,
-6,1.0,,,0.0,1.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,1.0,,,0.0010869565217391304,,,,,
-5,1.0,,,1.0,1.0,0.0,,0.0,,1.0,,,,,,,0.0,,,,,,,,0.0,1.0,,,,1.0,,,0.002466091245376079,,,,,
-4,,,0.0,0.5,1.0,0.0,,0.0,,0.5,1.0,1.0,,,,,0.0,,,,0.0,,,,,,,,,,,,0.004629629629629629,,0.0,,,
-3,1.0,,,0.0,0.5535714285714286,0.0,,0.0,,1.0,,,,,,,0.0,,,,,,,,0.0,,,,,1.0,,,0.0009136212624584717,,,,,
-2,0.3333333333333333,,,0.0,0.0,0.0,,0.0,,0.5,1.0,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,0.005238766874874068,,,,,
-1,0.5,,0.5,0.5,0.0,0.0,,0.0,,1.0,0.0,0.6666666666666666,,,,0.0,0.0,,,,,,,,,,1.0,,,0.0,,,0.003601953601953602,,,,0.0,
0,0.0,,0.0,0.2806122448979592,1.0,0.11904761904761905,,0.0,,0.0,,0.0,,1.0,0.0,,,,,,,,,,0.0,,,,,0.0,,0.0,0.008879781420765027,,,,,
1,0.0,,,0.4107142857142857,0.07142857142857142,0.0,,0.0,,,,,,,,0.0,0.0642857142857143,,,0.0,0.6071428571428571,,,0.0,0.0,,,0.0,,,,,0.008709154739400487,,,,0.0,
2,0.0,,,0.025,0.09090909090909091,0.0,0.0,0.0,,1.0,0.0,0.5,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,0.0,0.0027887729399064414,0.0,0.0,,0.0,
3,0.07142857142857142,,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.4,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0020242914979757085,0.0,,,0.0,
4,0.0,,0.0,0.06666666666666667,0.0,0.0,,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.05803571428571429,,0.1,0.001784121320249777,,0.0,,0.5,
5,0.0,0.0,0.023809523809523808,0.013100436681222707,0.0,0.0017889087656529517,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003977525589675122,0.0,0.0,0.0,0.0,0.0
