cycle,AL,AR,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MN,MO,MS,MT,NC,ND,NE,NV,NY,OH,OK,OR,PA,SC,TN,TX,VA,WA,WV
-13,,,,,1.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0014204545454545455,,,
-12,1.0,,,,1.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.0,,,
-11,,,,1.0,1.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.001310615989515072,,,
-10,,0.0,,1.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,1.0,,0.0028328611898017,,,
-9,1.0,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,0.002574002574002574,,,
-8,,,,0.5,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0039164490861618795,,,
-7,1.0,,,0.0,1.0,0.0,,0.0,1.0,,1.0,,,,,0.0,,,,,,1.0,,,,1.0,,0.0,0.007326007326007326,,,
-6,0.7857142857142857,,,0.0,0.6666666666666666,0.0,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,1.0,,0.0010869565217391304,,,
-5,1.0,,,0.8928571428571429,1.0,0.0,,0.0,,1.0,,,,,,0.0,,,,,,0.0,0.0,,,,1.0,,0.002466091245376079,,,
-4,,,0.0,0.5,0.0,0.0,,0.0,,0.39285714285714285,0.9642857142857143,1.0,,,,0.0,,,,0.0,,,,,,,,,0.00318287037037037,,0.0,
-3,1.0,,,0.0,0.35714285714285715,0.0,,0.0,,1.0,,,,,,0.0,,,,,,0.0,,,,,1.0,,0.0,,,
-2,0.3333333333333333,,,0.0,0.0,0.0,,0.0,,0.5,1.0,,,,,0.0,,,,0.0,,0.0,,,,,,,0.0,,,
-1,0.14285714285714285,,0.20535714285714285,0.5,0.0,0.0,,0.0,,1.0,0.0,0.6666666666666666,,,0.0,0.0,,,,,,,,1.0,,,0.0,,0.0017094017094017094,,,0.0
0,0.0,,0.0,0.10204081632653061,1.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,0.0,,,,,0.0,0.0,0.004976580796252928,,,
1,0.0,,,0.125,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,,,0.005333513367539832,,,0.0
2,0.0,,,0.0,0.09090909090909091,0.0,0.0,0.0,,1.0,0.0,0.5,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.002204030226700252,0.0,0.0,0.0
3,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.4,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0009398496240601504,0.0,,0.0
