cycle,AL,AR,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NM,NV,NY,OH,OK,OR,PA,SC,TN,TX,VA,WA,WV
-13,,,,,1.0,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0014204545454545455,,,
-12,1.0,,,,1.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.0009501453163424994,,,
-11,,,,1.0,1.0,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.001310615989515072,,,
-10,,0.0,,1.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,0.0028328611898017,,,
-9,1.0,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,0.002574002574002574,,,
-8,,,,0.9642857142857143,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0039164490861618795,,,
-7,1.0,,,0.0,1.0,0.0,,0.0,1.0,,1.0,,,,,,0.0,,,,,,,1.0,,,,1.0,,0.0,0.008198151055293913,,,
-6,1.0,,,0.0,0.8333333333333334,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,1.0,,0.0010869565217391304,,,
-5,1.0,,,1.0,1.0,0.0,,0.0,,1.0,,,,,,,0.0,,,,,,,0.0,0.6428571428571429,,,,1.0,,0.002466091245376079,,,
-4,,,0.0,0.5,0.32142857142857145,0.0,,0.0,,0.5,1.0,1.0,,,,,0.0,,,,0.0,,,,,,,,,,0.004588293650793651,,0.0,
-3,1.0,,,0.0,0.5,0.0,,0.0,,1.0,,,,,,,0.0,,,,,,,0.0,,,,,1.0,,0.0,,,
-2,0.3333333333333333,,,0.0,0.0,0.0,,0.0,,0.5,1.0,,,,,,0.0,,,,0.0,,,0.0,,,,,,,0.0007555913761837598,,,
-1,0.5,,0.5,0.5,0.0,0.0,,0.0,,1.0,0.0,0.6666666666666666,,,,0.0,0.0,,,,,,,,,1.0,,,0.0,,0.002136752136752137,,,0.0
0,0.0,,0.0,0.14285714285714285,1.0,0.0,,0.0,,0.0,,0.0,,0.75,0.0,,,,,,,,,0.0,,,,,0.0,0.0,0.00546448087431694,,,
1,0.0,,,0.13839285714285715,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,,,0.005671077504725898,,,0.0
2,0.0,,,0.0,0.09090909090909091,0.0,0.0,0.0,,1.0,0.0,0.5,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0025188916876574307,0.0,0.0,0.0
3,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.4,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.001156737998843262,0.0,,0.0
4,0.0,,0.0,0.05238095238095238,0.0,0.0,,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.04642857142857143,0.0009239199694150631,,0.0,0.5
