cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,ME,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WY
-19,0.14879017695919106,0.11150532184490623,0.21613832853025935,0.1868941450174486,0.2437299035369775,0.13829586245985265,0.1110908094281016,0.15483870967741936,0.15065502183406113,0.13010842368640535,0.1840958605664488,0.1288888888888889,0.10551330798479087,0.168,,0.14814814814814814,0.14402173913043478,0.09257142857142857,0.17721518987341772,0.20636232183433176,0.24390243902439024,0.1681260945709282,0.18019359642591215,0.21516623085543518,0.1410090556274256,0.15384615384615385,0.12717291857273558,0.22684010152284265,0.085995085995086,0.14756944444444445,0.3916786226685796,0.16695957820738136,0.12586960038828668,0.14081455805892548,0.14869281045751634,0.21076746849942726,0.1553398058252427
-18,0.1489607390300231,0.1116751269035533,0.20068027210884354,0.18787322002756085,0.2162985529322163,0.14061847053907228,0.11749734888653235,0.14775160599571735,0.16312849162011173,0.14057315233785822,0.16774193548387098,0.1573546180159635,0.11446409989594172,0.125,,0.24705882352941178,0.16997167138810199,0.08258064516129032,0.22388059701492538,0.2211090400745573,0.22818791946308725,0.13095238095238096,0.2010443864229765,0.2195632665270715,0.1636904761904762,0.17011494252873563,0.12292051756007394,0.24343964473153007,0.10541310541310542,0.14849624060150377,0.39800995024875624,0.15898174831892412,0.1346344690704598,0.13313432835820896,0.12345679012345678,0.19041614123581338,0.0945945945945946
-17,0.15167840861997514,0.10497688332880065,0.20469798657718122,0.18803418803418803,0.20601851851851852,0.13542819207789333,0.11312026913372582,0.1571072319201995,0.14534883720930233,0.17814641182834476,0.18541033434650456,0.1517150395778364,0.1289742051589682,0.20430107526881722,,0.16666666666666666,0.18862275449101795,0.11471321695760599,0.13157894736842105,0.21858576206402294,0.20121951219512196,0.15384615384615385,0.20515097690941386,0.21913236929922136,0.1444991789819376,0.15813424345847554,0.1373517786561265,0.24980237154150198,0.09836065573770492,0.11873840445269017,0.4144,0.16227390180878554,0.1403631284916201,0.12089136490250696,0.27365728900255754,0.22950819672131148,0.06944444444444445
-16,0.1583363735862824,0.12145319543887563,0.23835616438356164,0.1984974298141558,0.2192513368983957,0.14119091467157766,0.11868221812973194,0.18045112781954886,0.15083798882681565,0.16747572815533981,0.17862165963431786,0.14981729598051158,0.123335263462652,0.16666666666666666,,0.14285714285714285,0.16971279373368145,0.08349705304518663,0.21839080459770116,0.20675011175681718,0.22988505747126436,0.1556420233463035,0.20382695507487522,0.20522388059701493,0.18225039619651348,0.17400881057268722,0.12047101449275362,0.2537616917446116,0.11796246648793565,0.1471415182755389,0.4067796610169492,0.18912529550827423,0.1383123511398435,0.10949330227140361,0.24390243902439024,0.2277456647398844,0.10576923076923077
-15,0.15735669952537423,0.11609864228318094,0.18789808917197454,0.1832439125051589,0.20425867507886436,0.13741895001045806,0.11608222490931076,0.2026315789473684,0.18510158013544017,0.1706648389307745,0.1631504922644163,0.13807531380753138,0.12458836443468715,0.2222222222222222,,0.11971830985915492,0.1323943661971831,0.08874458874458875,0.19298245614035087,0.21435228331780057,0.22297297297297297,0.17311608961303462,0.2374749498997996,0.21044303797468356,0.14705882352941177,0.16017316017316016,0.11716621253405994,0.2740909090909091,0.11081794195250659,0.13443830570902393,0.3905775075987842,0.17130307467057102,0.13821138211382114,0.15232292460015232,0.18706697459584296,0.2106508875739645,0.1
-14,0.15478164731896074,0.11429678419217358,0.2222222222222222,0.14986376021798364,0.22264631043256997,0.1386618225855283,0.11959876543209877,0.1952191235059761,0.16373477672530445,0.13367609254498714,0.1705150976909414,0.09857557040211773,0.11416309012875536,0.06896551724137931,,0.08641975308641975,0.11972371450498849,0.08042488619119878,0.2926829268292683,0.21451822916666666,0.2391304347826087,0.16507936507936508,0.2198581560283688,0.20066197765825403,0.13861386138613863,0.16486486486486487,0.14488636363636365,0.30284552845528456,0.11009174311926606,0.10625,0.40700218818380746,0.14530892448512586,0.10819808572617562,0.09427809072042692,0.2788104089219331,0.18864774624373956,0.19767441860465115
-13,0.15831517792302105,0.11137756461497468,0.1783625730994152,0.150976290097629,0.19428571428571428,0.13131313131313133,0.11304096106527717,0.18995633187772926,0.17189189189189188,0.1539306449082065,0.1695906432748538,0.16401149125097936,0.08344549125168237,0.13333333333333333,,0.10945273631840796,0.18282710280373832,0.09355095541401273,0.12121212121212122,0.19108474060550737,0.20408163265306123,0.04537444933920705,0.21553884711779447,0.22237960339943344,0.14950980392156862,0.14980392156862746,0.1342512908777969,0.275621456607065,0.10951008645533142,0.12015810276679842,0.3923512747875354,0.1541044776119403,0.12640252454417952,0.14313854235062376,0.2691415313225058,0.20451843043995244,0.13253012048192772
-12,0.15043630017452006,0.11297071129707113,0.23008849557522124,0.1943273284783442,0.2010981468771448,0.1236344719958384,0.10943873962582641,0.18137254901960784,0.11268248175182481,0.15219496449322142,0.11005353955978585,0.16242424242424242,0.10220264317180616,0.14516129032258066,0.15028901734104047,0.09433962264150944,0.17707082833133253,0.10142067876874507,0.17567567567567569,0.20403155127081507,0.20422535211267606,0.0643236074270557,0.21927710843373494,0.22984421973216726,0.13168724279835392,0.1659237246161466,0.10833333333333334,0.291482463896257,0.12527472527472527,0.13502454991816695,0.4114977307110439,0.16851704996034894,0.12067481494233087,0.14450296247531272,0.251685393258427,0.22429906542056074,0.16346153846153846
-11,0.14445219818562458,0.10591004184100418,0.18072289156626506,0.18281718281718282,0.21686746987951808,0.14248656661108022,0.10540581237765397,0.18886679920477137,0.1712676056338028,0.14237743451981194,0.13712686567164178,0.1610646179174098,0.10853391684901531,0.14173228346456693,0.19170984455958548,0.13089005235602094,0.1782608695652174,0.09622563251762754,0.1643835616438356,0.20874359984245766,0.2857142857142857,0.07168983174835405,0.21829710144927536,0.21622347569164652,0.1530758226037196,0.17545638945233266,0.1240234375,0.2688482515239012,0.1431924882629108,0.12480739599383667,0.4031496062992126,0.1549067315490673,0.12170528922695914,0.1403448275862069,0.23623853211009174,0.22422680412371135,0.1568627450980392
-10,0.1429584959205392,0.1475237091675448,0.16083916083916083,0.1695464362850972,0.22888713496448304,0.09100706502215304,0.10877587036739933,0.2003968253968254,0.1751448808757244,0.13588614029142662,0.1447004608294931,0.16210045662100456,0.11079545454545454,0.1693548387096774,0.1641025641025641,0.09016393442622951,0.19361022364217254,0.0975609756097561,0.13636363636363635,0.20791893413398385,0.18787878787878787,0.06641509433962264,0.23732057416267943,0.219097995545657,0.13798219584569732,0.15704500978473582,0.10079840319361277,0.27593289969188634,0.09399477806788512,0.12212529738302934,0.40705563093622793,0.15449915110356535,0.11703204047217539,0.12996480643539468,0.2248587570621469,0.21597300337457817,0.12931034482758622
