cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MO,MS,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.2459016393442623,,,0.09523809523809523,,0.31718061674008813,0.5277777777777778,0.14285714285714285,0.6172839506172839,0.46551724137931033,0.2857142857142857,,,,0.13333333333333333,0.5813953488372093,0.4260869565217391,0.325,0.022222222222222223,0.43283582089552236,,0.4,0.08888888888888889,0.02127659574468085,0.375,,0.04918032786885246,0.18421052631578946,0.25925925925925924,0.5424836601307189,,,
-18,0.24242424242424243,,,0.15,0.08823529411764706,0.2683982683982684,0.49162011173184356,,0.5466666666666666,0.49056603773584906,0.38235294117647056,0.3958333333333333,,,,0.6086956521739131,0.4020618556701031,0.5098039215686274,,0.3333333333333333,,0.5,0.08620689655172414,,0.25,0.5094339622641509,0.05,,0.2490272373540856,0.4891304347826087,,,
-17,0.2807017543859649,0.38095238095238093,,0.1,0.12244897959183673,0.29064039408866993,0.5656565656565656,,0.5507246376811594,0.3541666666666667,0.3448275862068966,0.2857142857142857,0.4146341463414634,,0.04,0.68,0.368,0.36363636363636365,,,,,0.17142857142857143,0.029411764705882353,,0.5925925925925926,,0.11627906976744186,0.2713178294573643,0.49504950495049505,,,
-16,0.2727272727272727,0.5555555555555556,,0.05454545454545454,0.07142857142857142,0.3203463203463203,0.518324607329843,0.21428571428571427,0.3387096774193548,0.3953488372093023,0.4230769230769231,0.33962264150943394,0.45,,,,0.3697478991596639,0.3181818181818182,0.03125,0.3484848484848485,,0.42857142857142855,0.0784313725490196,0.12903225806451613,0.4,0.4791666666666667,,0.18181818181818182,0.2838983050847458,0.47413793103448276,,,
-15,0.24074074074074073,0.5238095238095238,,0.045454545454545456,0.11627906976744186,0.28901734104046245,0.5555555555555556,,0.5517241379310345,0.4745762711864407,0.27586206896551724,,,,0.045454545454545456,0.6285714285714286,0.3983050847457627,0.42105263157894735,0.037037037037037035,,0.3333333333333333,0.2857142857142857,0.15517241379310345,,0.2,0.5540540540540541,0.03225806451612903,,0.25742574257425743,0.4268292682926829,0.18181818181818182,,
-14,0.3448275862068966,0.5714285714285714,,0.05714285714285714,,0.3359375,0.5454545454545454,,0.4827586206896552,0.26744186046511625,0.2916666666666667,0.23595505617977527,0.5217391304347826,,0.21052631578947367,0.5909090909090909,0.3958333333333333,0.5,,0.4,,,0.04,,,,,0.1,0.22727272727272727,0.5,,,
-13,,0.37037037037037035,,0.07692307692307693,0.1388888888888889,0.2880658436213992,0.557632398753894,,0.41818181818181815,0.2920353982300885,0.24242424242424243,0.13705583756345177,0.5476190476190477,,0.14942528735632185,0.5492957746478874,0.4411764705882353,0.625,0.029411764705882353,0.36923076923076925,0.45454545454545453,0.4065934065934066,0.1111111111111111,0.034482758620689655,0.2,0.51,0.03896103896103896,0.17543859649122806,0.27459016393442626,0.4148148148148148,0.2,,0.06779661016949153
-12,0.2857142857142857,0.35,,0.11475409836065574,0.0784313725490196,0.2564102564102564,0.43686868686868685,,0.4557823129251701,0.32575757575757575,0.14285714285714285,0.15577889447236182,0.45,,0.24,0.6129032258064516,0.4945054945054945,0.44,,0.2,,0.39805825242718446,0.07692307692307693,0.021739130434782608,0.45454545454545453,0.6292134831460674,0.016129032258064516,0.16666666666666666,0.2636363636363636,0.5096774193548387,0.1,,
-11,0.323943661971831,0.5555555555555556,0.2,0.023255813953488372,0.05660377358490566,0.28205128205128205,0.4960212201591512,,0.5606060606060606,0.2638888888888889,0.2558139534883721,0.13131313131313133,0.618421052631579,0.3333333333333333,0.2261904761904762,0.5510204081632653,0.3592233009708738,0.5111111111111111,,0.44155844155844154,0.39473684210526316,0.42424242424242425,0.16279069767441862,0.09259259259259259,0.42857142857142855,0.5757575757575758,,0.19607843137254902,0.24623115577889448,0.536,0.16666666666666666,,
-10,0.36486486486486486,,,,0.06976744186046512,0.20540540540540542,0.4336283185840708,0.1,0.5031847133757962,0.23478260869565218,0.1794871794871795,0.12994350282485875,0.4423076923076923,,0.19834710743801653,0.5510204081632653,0.4235294117647059,0.42592592592592593,,0.423728813559322,,0.415929203539823,0.20689655172413793,0.05128205128205128,0.2857142857142857,0.6237623762376238,0.024691358024691357,0.15217391304347827,0.27350427350427353,0.5384615384615384,,,0.13513513513513514
