cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MO,MS,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.953125,,,0.6461538461538462,,0.9869565217391304,1.0,1.0,1.0,0.9508196721311475,0.9655172413793104,,,,1.0,0.9772727272727273,0.9663865546218487,1.0,1.0,0.9054054054054054,,1.0,1.0,0.9791666666666666,1.0,,0.9838709677419355,1.0,0.9773755656108597,1.0,,,
-18,0.9565217391304348,,,0.6666666666666666,1.0,1.0,1.0,,0.974025974025974,0.9636363636363636,1.0,1.0,,,,0.9787234042553191,0.9797979797979798,1.0,,0.9130434782608695,,1.0,1.0,,1.0,0.9464285714285714,0.975609756097561,,0.9884615384615385,1.0,,,
-17,0.9661016949152542,0.9545454545454546,,0.7575757575757576,0.98,0.9854368932038835,0.99,,0.971830985915493,0.9795918367346939,1.0,1.0,0.9761904761904762,,1.0,0.9615384615384616,0.9615384615384616,1.0,,,,,0.9722222222222222,0.9714285714285714,,0.9878048780487805,,0.9772727272727273,0.9847328244274809,1.0,,,
-16,0.9322033898305084,0.9,,0.6790123456790124,1.0,1.0,0.9896373056994818,1.0,1.0,1.0,0.9629629629629629,0.9464285714285714,0.975609756097561,,,,0.9754098360655737,1.0,1.0,0.9041095890410958,,0.9459459459459459,1.0,1.0,1.0,1.0,,1.0,0.9752066115702479,1.0,,,
-15,0.9,0.9767441860465116,,0.7586206896551724,1.0,0.9942528735632183,1.0,,0.9666666666666667,1.0,1.0,,,,1.0,0.9722222222222222,0.9915966386554622,1.0,1.0,,1.0,1.0,0.9830508474576272,,1.0,0.9487179487179487,1.0,,0.9805825242718447,1.0,1.0,,
-14,1.0,1.0,,0.660377358490566,,0.9846153846153847,0.9777777777777777,,0.9830508474576272,0.9885057471264368,0.96,0.967391304347826,1.0,,0.9743589743589743,1.0,0.96,1.0,,0.9302325581395349,,,0.9615384615384616,,,,,1.0,0.9777777777777777,1.0,,,
-13,,0.9473684210526315,,0.7386363636363636,1.0,0.9798387096774194,0.9727272727272728,,0.9482758620689655,0.9658119658119658,0.9166666666666666,0.9752475247524752,0.9767441860465116,,0.9456521739130435,0.9861111111111112,0.9927007299270073,1.0,1.0,0.9154929577464789,0.9705882352941176,0.9191919191919192,1.0,0.9354838709677419,1.0,0.9090909090909091,0.9625,1.0,0.9838709677419355,0.9926470588235294,1.0,,1.0
-12,0.9506172839506173,0.967741935483871,,0.7349397590361446,1.0,0.9820143884892086,0.9875311720698254,,0.98,0.9850746268656716,0.9459459459459459,0.943127962085308,1.0,,1.0,1.0,0.9629629629629629,0.9803921568627451,,0.8823529411764706,,0.9903846153846154,0.975,0.92,1.0,0.9175257731958762,1.0,1.0,0.990990990990991,0.9935897435897436,0.9090909090909091,,
-11,0.9861111111111112,1.0,1.0,0.9555555555555556,0.9814814814814815,0.9927272727272727,0.9792207792207792,,1.0,0.9664429530201343,1.0,0.9658536585365853,1.0,1.0,0.9655172413793104,0.9607843137254902,0.9903846153846154,1.0,,0.8279569892473119,1.0,0.9339622641509434,1.0,0.9310344827586207,1.0,0.9252336448598131,,0.9444444444444444,0.9851485148514851,1.0,0.8571428571428571,,
-10,0.961038961038961,,,,1.0,0.9910714285714286,0.9941348973607038,1.0,0.9691358024691358,0.9829059829059829,0.975,0.9833333333333333,1.0,,1.0,0.9607843137254902,1.0,1.0,,0.8676470588235294,,0.9495798319327731,1.0,1.0,1.0,0.9439252336448598,1.0,0.9387755102040817,0.9873417721518988,0.994535519125683,,,1.0
-9,0.9473684210526315,0.9454545454545454,,0.8648648648648649,0.9523809523809523,0.9962546816479401,0.9807162534435262,,1.0,0.9803921568627451,0.9215686274509803,0.9766081871345029,,,1.0,0.961038961038961,0.9689922480620154,0.9777777777777777,,0.9875,1.0,0.9615384615384616,1.0,0.9318181818181818,,0.9,1.0,0.9782608695652174,0.9839357429718876,0.9926470588235294,,1.0,1.0
-8,0.9850746268656716,0.9069767441860465,,0.7868852459016393,1.0,0.9838056680161943,0.9880239520958084,,0.986013986013986,1.0,0.95,0.9696969696969697,0.9444444444444444,,0.9818181818181818,0.9692307692307692,0.9747899159663865,1.0,1.0,0.9230769230769231,,0.9572649572649573,1.0,0.9230769230769231,,0.946236559139785,1.0,1.0,0.9720930232558139,1.0,1.0,,
-7,0.9482758620689655,,,,,0.9960159362549801,0.9864130434782609,,1.0,0.9814814814814815,,0.9611111111111111,,,0.9893617021276596,0.9642857142857143,0.9431818181818182,0.9473684210526315,1.0,0.9302325581395349,,0.978494623655914,1.0,0.9743589743589743,1.0,0.9,0.9761904761904762,0.9818181818181818,0.9838709677419355,0.9920634920634921,,,
-6,0.9607843137254902,0.9767441860465116,,0.6666666666666666,1.0,0.990625,0.9850374064837906,1.0,0.9704142011834319,1.0,1.0,0.9521531100478469,0.9772727272727273,,0.9907407407407407,1.0,0.9907407407407407,0.9787234042553191,0.9777777777777777,0.863013698630137,1.0,0.9418604651162791,1.0,0.9830508474576272,1.0,0.9878048780487805,1.0,1.0,0.9857651245551602,0.9919354838709677,1.0,,
-5,0.9701492537313433,0.9629629629629629,,,1.0,0.9965635738831615,0.9804469273743017,,0.9840425531914894,0.9764705882352941,0.9761904761904762,0.9701492537313433,0.9666666666666667,,0.9904761904761905,1.0,1.0,1.0,,0.9270833333333334,1.0,0.9183673469387755,0.9642857142857143,0.9772727272727273,1.0,0.9,0.9841269841269841,0.9841269841269841,0.9695817490494296,0.9586776859504132,1.0,,
-4,0.9841269841269841,0.9130434782608695,,,1.0,0.997093023255814,0.9880952380952381,,0.9646017699115044,0.9933774834437086,0.9743589743589743,0.9671532846715328,,0.875,0.9838709677419355,0.9487179487179487,1.0,1.0,0.98,0.8709677419354839,,0.9326923076923077,1.0,0.9387755102040817,1.0,0.9212598425196851,0.975,0.9571428571428572,0.9697986577181208,0.989247311827957,1.0,,1.0
