cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MO,MS,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.6885245901639344,,,0.7380952380952381,,0.6035242290748899,0.4666666666666667,0.7142857142857143,0.3333333333333333,0.5,0.5,,,,0.8,0.3953488372093023,0.5478260869565217,0.575,0.26666666666666666,0.4925373134328358,,0.5714285714285714,0.6888888888888889,0.9148936170212766,0.5,,0.4262295081967213,0.7894736842105263,0.6851851851851852,0.40522875816993464,,,
-18,0.696969696969697,,,0.65,0.8823529411764706,0.6753246753246753,0.4972067039106145,,0.38666666666666666,0.4528301886792453,0.5588235294117647,0.5833333333333334,,,,0.30434782608695654,0.5773195876288659,0.4117647058823529,,0.6190476190476191,,0.47058823529411764,0.7068965517241379,,0.5,0.4528301886792453,0.3,,0.6381322957198443,0.4673913043478261,,,
-17,0.6842105263157895,0.5476190476190477,,0.7,0.8163265306122449,0.6157635467980296,0.41414141414141414,,0.391304347826087,0.6041666666666666,0.6206896551724138,0.6530612244897959,0.5609756097560976,,0.92,0.28,0.584,0.6136363636363636,,,,,0.6857142857142857,0.8823529411764706,,0.3950617283950617,,0.813953488372093,0.6627906976744186,0.49504950495049505,,,
-16,0.6727272727272727,0.4074074074074074,,0.7454545454545455,0.8333333333333334,0.6103896103896104,0.45549738219895286,0.7142857142857143,0.5806451612903226,0.5116279069767442,0.5384615384615384,0.6415094339622641,0.525,,,,0.6218487394957983,0.5909090909090909,0.21875,0.6363636363636364,,0.5428571428571428,0.5686274509803921,0.8387096774193549,0.4,0.5,,0.75,0.6313559322033898,0.49137931034482757,,,
-15,0.7222222222222222,0.42857142857142855,,0.7954545454545454,0.8372093023255814,0.6011560693641619,0.42424242424242425,,0.3793103448275862,0.4745762711864407,0.6896551724137931,,,,0.8636363636363636,0.3142857142857143,0.559322033898305,0.42105263157894735,0.3333333333333333,,0.625,0.6285714285714286,0.6896551724137931,,0.4,0.43243243243243246,0.3870967741935484,,0.6831683168316832,0.5365853658536586,0.6363636363636364,,
-14,0.6206896551724138,0.35714285714285715,,0.7714285714285715,,0.609375,0.4318181818181818,,0.41379310344827586,0.7209302325581395,0.625,0.7303370786516854,0.45652173913043476,,0.7368421052631579,0.3409090909090909,0.5833333333333334,0.45,,0.5,,,0.8,,,,,0.7333333333333333,0.6875,0.4473684210526316,,,
-13,,0.6111111111111112,,0.7538461538461538,0.8055555555555556,0.6419753086419753,0.42679127725856697,,0.4727272727272727,0.5752212389380531,0.7272727272727273,0.8121827411167513,0.42857142857142855,,0.8045977011494253,0.4225352112676056,0.5367647058823529,0.32142857142857145,0.17647058823529413,0.5692307692307692,0.5151515151515151,0.5494505494505495,0.6666666666666666,0.896551724137931,0.6,0.47,0.4025974025974026,0.7894736842105263,0.639344262295082,0.5333333333333333,0.6,,0.8813559322033898
-12,0.6883116883116883,0.6166666666666667,,0.7377049180327869,0.8235294117647058,0.684981684981685,0.5505050505050505,,0.4013605442176871,0.5909090909090909,0.8,0.8090452261306532,0.525,,0.71,0.3387096774193548,0.47802197802197804,0.4,,0.7111111111111111,,0.5728155339805825,0.6666666666666666,0.9565217391304348,0.45454545454545453,0.3146067415730337,0.5161290322580645,0.7592592592592593,0.6363636363636364,0.45161290322580644,0.8,,
-11,0.647887323943662,0.3888888888888889,0.6,0.7906976744186046,0.8490566037735849,0.6410256410256411,0.4854111405835544,,0.3560606060606061,0.6666666666666666,0.6744186046511628,0.8232323232323232,0.3684210526315789,0.3333333333333333,0.75,0.3673469387755102,0.5825242718446602,0.4,,0.5194805194805194,0.5526315789473685,0.5353535353535354,0.6976744186046512,0.7592592592592593,0.14285714285714285,0.41414141414141414,,0.7647058823529411,0.6532663316582915,0.44,0.6666666666666666,,
-10,0.6081081081081081,,,,0.8604651162790697,0.7315315315315315,0.5191740412979351,0.85,0.36942675159235666,0.6347826086956522,0.717948717948718,0.8192090395480226,0.5,,0.768595041322314,0.40816326530612246,0.5294117647058824,0.46296296296296297,,0.5423728813559322,,0.5132743362831859,0.4482758620689655,0.8461538461538461,0.42857142857142855,0.33663366336633666,0.43209876543209874,0.7608695652173914,0.6153846153846154,0.41208791208791207,,,0.8108108108108109
