cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MO,MS,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.06557377049180328,,,0.16666666666666666,,0.07929515418502203,0.005555555555555556,0.14285714285714285,0.04938271604938271,0.034482758620689655,0.21428571428571427,,,,0.06666666666666667,0.023255813953488372,0.02608695652173913,0.1,0.7111111111111111,0.07462686567164178,,0.02857142857142857,0.2222222222222222,0.06382978723404255,0.125,,0.5245901639344263,0.02631578947368421,0.05555555555555555,0.05228758169934641,,,
-18,0.06060606060606061,,,0.2,0.029411764705882353,0.05627705627705628,0.0111731843575419,,0.06666666666666667,0.05660377358490566,0.058823529411764705,0.020833333333333332,,,,0.08695652173913043,0.020618556701030927,0.0784313725490196,,0.047619047619047616,,0.029411764705882353,0.20689655172413793,,0.25,0.03773584905660377,0.65,,0.11284046692607004,0.043478260869565216,,,
-17,0.03508771929824561,0.07142857142857142,,0.2,0.061224489795918366,0.09359605911330049,0.020202020202020204,,0.057971014492753624,0.041666666666666664,0.034482758620689655,0.061224489795918366,0.024390243902439025,,0.04,0.04,0.048,0.022727272727272728,,,,,0.14285714285714285,0.08823529411764706,,0.012345679012345678,,0.06976744186046512,0.06589147286821706,0.009900990099009901,,,
-16,0.05454545454545454,0.037037037037037035,,0.2,0.09523809523809523,0.06926406926406926,0.02617801047120419,0.07142857142857142,0.08064516129032258,0.09302325581395349,0.038461538461538464,0.018867924528301886,0.025,,,,0.008403361344537815,0.09090909090909091,0.75,0.015151515151515152,,0.02857142857142857,0.35294117647058826,0.03225806451612903,0.2,0.020833333333333332,,0.06818181818181818,0.0847457627118644,0.034482758620689655,,,
-15,0.037037037037037035,0.047619047619047616,,0.1590909090909091,0.046511627906976744,0.10982658959537572,0.020202020202020204,,0.06896551724137931,0.05084745762711865,0.034482758620689655,,,,0.09090909090909091,0.05714285714285714,0.0423728813559322,0.15789473684210525,0.6296296296296297,,0.041666666666666664,0.08571428571428572,0.15517241379310345,,0.4,0.013513513513513514,0.5806451612903226,,0.0594059405940594,0.036585365853658534,0.18181818181818182,,
-14,0.034482758620689655,0.07142857142857142,,0.17142857142857143,,0.0546875,0.022727272727272728,,0.10344827586206896,0.011627906976744186,0.08333333333333333,0.033707865168539325,0.021739130434782608,,0.05263157894736842,0.06818181818181818,0.020833333333333332,0.05,,0.1,,,0.16,,,,,0.16666666666666666,0.08522727272727272,0.05263157894736842,,,
-13,,0.018518518518518517,,0.16923076923076924,0.05555555555555555,0.06995884773662552,0.01557632398753894,,0.10909090909090909,0.13274336283185842,0.030303030303030304,0.050761421319796954,0.023809523809523808,,0.04597701149425287,0.028169014084507043,0.022058823529411766,0.05357142857142857,0.7941176470588235,0.06153846153846154,0.030303030303030304,0.04395604395604396,0.2222222222222222,0.06896551724137931,0.2,0.02,0.5584415584415584,0.03508771929824561,0.0860655737704918,0.05185185185185185,0.2,,0.05084745762711865
-12,0.025974025974025976,0.03333333333333333,,0.14754098360655737,0.09803921568627451,0.05860805860805861,0.012626262626262626,,0.14285714285714285,0.08333333333333333,0.05714285714285714,0.035175879396984924,0.025,,0.05,0.04838709677419355,0.027472527472527472,0.16,,0.08888888888888889,,0.02912621359223301,0.2564102564102564,0.021739130434782608,0.09090909090909091,0.056179775280898875,0.46774193548387094,0.07407407407407407,0.1,0.03870967741935484,0.1,,
-11,0.028169014084507043,0.05555555555555555,0.2,0.18604651162790697,0.09433962264150944,0.07692307692307693,0.01856763925729443,,0.08333333333333333,0.06944444444444445,0.06976744186046512,0.045454545454545456,0.013157894736842105,0.3333333333333333,0.023809523809523808,0.08163265306122448,0.05825242718446602,0.08888888888888889,,0.03896103896103896,0.05263157894736842,0.04040404040404041,0.13953488372093023,0.14814814814814814,0.42857142857142855,0.010101010101010102,,0.0392156862745098,0.10050251256281408,0.024,0.16666666666666666,,
-10,0.02702702702702703,,,,0.06976744186046512,0.06306306306306306,0.0471976401179941,0.05,0.12738853503184713,0.13043478260869565,0.10256410256410256,0.05084745762711865,0.057692307692307696,,0.03305785123966942,0.04081632653061224,0.047058823529411764,0.1111111111111111,,0.03389830508474576,,0.07079646017699115,0.3448275862068966,0.10256410256410256,0.2857142857142857,0.039603960396039604,0.5432098765432098,0.08695652173913043,0.1111111111111111,0.04945054945054945,,,0.05405405405405406
