cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,3652,3714,1672,4966,2291,5781,5631,1206,468,614,3674,1184,813,5663,0,461,374,1954,1161,745,324,5720,220,280,630,1871,5919,1050,2375,1674,2815,559,1404,1516,3041,6093,394,2296,4137,1362,0,95
-11,3866,3923,1774,4842,2291,5801,5802,1107,478,651,3359,1211,830,5457,0,457,407,2120,1211,710,348,5615,231,310,696,1961,3977,1099,2365,1610,2779,618,1430,1630,3026,6300,437,2261,4192,1332,0,105
-10,3706,3902,1756,5262,2261,5569,5526,1075,450,654,3258,1138,738,5412,0,443,409,2126,1304,857,300,5632,225,309,639,1901,4341,1055,2300,1595,2639,609,1399,1230,3092,6475,383,2099,4056,1384,0,117
-9,3809,3865,1801,4959,2234,5661,5534,1086,457,613,3211,1180,703,5241,0,465,467,2123,1203,754,333,5616,192,285,627,1891,4115,1027,2209,1477,2444,600,1492,879,3011,6208,395,1897,4355,1333,0,119
-8,2910,2790,1362,3807,1662,4313,4185,877,312,536,2544,939,521,4086,0,416,352,1538,898,638,216,4211,165,192,493,1284,3120,787,1699,1067,1745,522,1047,678,2141,4820,316,1424,3034,1104,0,91
-7,3187,3096,1295,4268,1779,4965,6471,989,414,484,7315,1120,11935,5362,0,495,697,2073,2821,2867,373,6198,581,253,1677,1486,3163,959,5638,1473,2262,1240,1358,799,3475,6886,346,4711,3715,1141,4298,87
-6,4003,3920,1761,6785,2488,7902,8463,1209,511,1352,6807,2041,7469,5601,617,517,739,2940,2588,2486,1142,7249,522,295,1754,2026,4268,1321,6582,1902,3529,975,1907,2019,3972,7931,461,3332,5809,3570,2503,125
-5,4104,4013,1657,5737,2569,6627,7881,1173,482,1150,6919,1648,7549,5412,268,556,698,2899,2620,2412,835,7164,602,318,1575,2017,4676,1266,6293,1753,3685,1004,1872,1816,3725,7468,565,3951,6037,2179,1577,139
-4,4205,5325,2285,5275,2377,6707,7466,1335,473,958,6620,1484,7403,5717,222,550,659,2862,2635,2312,830,6899,721,266,1607,2150,4277,1164,8422,1747,4097,976,1919,1837,3513,7537,693,5163,6002,2478,2364,155
-3,3812,4299,1640,5180,2335,9387,7513,1242,454,828,6322,1366,6992,5319,230,555,576,2610,2442,2522,805,6851,628,289,1524,1865,4207,1243,6971,1689,4030,885,1837,1710,3474,7350,609,4472,5999,2568,2665,126
