cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.35036496350364965,0.2490842490842491,0.07317073170731707,0.038834951456310676,0.07142857142857142,0.32532751091703055,,0.08695652173913043,0.38461538461538464,0.34536082474226804,0.1875,0.15602836879432624,0.47540983606557374,,,0.1864406779661017,0.484472049689441,0.31376975169300225,,0.3170731707317073,,0.34959349593495936,,0.3493975903614458,0.15463917525773196,0.06097560975609756,0.42857142857142855,0.49230769230769234,0.043859649122807015,0.3023255813953488,0.2587763289869609,0.34,,0.21176470588235294,
-12,0.3405994550408719,0.2838063439065108,0.022727272727272728,0.15853658536585366,0.05,0.3059006211180124,0.45305164319248825,,0.4,0.36152219873150104,0.18333333333333332,0.1875,0.4197080291970803,,,0.0759493670886076,,0.3048543689320388,,0.3333333333333333,,0.39285714285714285,0.19718309859154928,0.37383177570093457,0.13609467455621302,0.12,0.5454545454545454,0.45251396648044695,0.034482758620689655,0.35403726708074534,0.25647451963241436,0.30275229357798167,,0.2916666666666667,
-11,0.3276699029126214,0.27669172932330827,,0.08333333333333333,0.05970149253731343,0.3229018492176387,0.44421487603305787,,0.37037037037037035,0.38717339667458434,0.17557251908396945,0.17708333333333334,0.437984496124031,,,,0.4689265536723164,0.30584192439862545,,0.24193548387096775,0.047619047619047616,0.36333333333333334,0.21666666666666667,0.32061068702290074,0.1144578313253012,0.04950495049504951,0.5405405405405406,0.4549763033175355,0.023121387283236993,0.3611111111111111,0.2874493927125506,0.2830188679245283,,0.2711864406779661,
-10,0.32891246684350134,0.27988338192419826,0.022222222222222223,0.14184397163120568,0.16666666666666666,0.36550632911392406,,0.10909090909090909,0.41,0.30434782608695654,0.21666666666666667,0.17592592592592593,,,,,0.5783132530120482,0.28383458646616544,0.2,,,0.38170347003154576,,0.29927007299270075,0.14427860696517414,0.07272727272727272,0.7391304347826086,0.4658385093167702,0.022388059701492536,0.24528301886792453,0.25942156003505695,0.2579185520361991,,0.2553191489361702,
-9,0.34347826086956523,0.270516717325228,,0.10795454545454546,0.05357142857142857,0.3261494252873563,0.4376470588235294,0.18604651162790697,0.38636363636363635,0.32264957264957267,0.1885245901639344,0.24731182795698925,0.47619047619047616,,,,0.5391304347826087,0.2782931354359926,,0.32142857142857145,,0.33447098976109213,,0.37142857142857144,0.16939890710382513,0.07894736842105263,0.3888888888888889,0.4782608695652174,0.03773584905660377,0.2625,0.2817021276595745,0.25510204081632654,,0.2549019607843137,
-8,0.3458646616541353,0.24199288256227758,0.08695652173913043,0.13768115942028986,0.0784313725490196,0.35315985130111527,,0.0967741935483871,0.37254901960784315,0.38596491228070173,0.24347826086956523,,,,,,0.5561797752808989,0.27309236947791166,,0.3404255319148936,,0.3137254901960784,0.2830188679245283,0.3867924528301887,0.14093959731543623,0.08333333333333333,0.6956521739130435,0.47651006711409394,0.03076923076923077,0.2937062937062937,0.2938816449348044,0.34146341463414637,,0.1891891891891892,
-7,0.33787465940054495,0.24399260628465805,0.03773584905660377,0.15469613259668508,0.0851063829787234,0.32575757575757575,0.4375,,0.35294117647058826,0.24274661508704062,0.1981981981981982,0.11678526580159063,,,,0.22967479674796748,0.4458204334365325,0.3302238805970149,,0.6328125,0.05,0.4166666666666667,0.24390243902439024,0.19435736677115986,0.14388489208633093,0.046875,0.52,0.40540540540540543,0.022900763358778626,0.19557195571955718,0.2492725509214355,0.2275132275132275,,0.2872340425531915,0.20300751879699247
-6,0.34977578475336324,0.2669616519174041,0.034482758620689655,0.15469613259668508,0.05970149253731343,0.2553191489361702,0.42121684867394693,0.18,0.391812865497076,0.26560587515299877,0.30268199233716475,0.10473815461346633,0.42724458204334365,0.2727272727272727,0.18181818181818182,0.17784256559766765,0.47739602169981915,0.29207920792079206,,0.5850340136054422,,0.396,,0.23056994818652848,0.10091743119266056,0.03260869565217391,0.7083333333333334,0.5026737967914439,0.03954802259887006,0.21052631578947367,0.263016157989228,0.17866004962779156,,0.26956521739130435,0.15734265734265734
-5,0.3292929292929293,0.2391304347826087,0.021739130434782608,0.1179245283018868,0.058823529411764705,0.318118948824343,0.4358523725834798,,0.41237113402061853,0.25986078886310904,0.3224043715846995,0.12020905923344948,0.41274238227146814,,,0.13186813186813187,0.44939965694682676,0.35855855855855856,,0.5538461538461539,,0.33240997229916897,,0.2727272727272727,0.08227848101265822,0.08035714285714286,0.5227272727272727,0.48292682926829267,0.02631578947368421,0.23809523809523808,0.2696629213483146,0.2262210796915167,,0.3246753246753247,0.1583710407239819
-4,0.3556910569105691,0.28487518355359764,0.043478260869565216,0.08636363636363636,0.06153846153846154,0.2804718217562254,0.3938356164383562,,0.36,0.2775175644028103,0.3072289156626506,0.09703504043126684,0.3181818181818182,,,0.2893401015228426,0.48214285714285715,0.35570469798657717,,0.5785714285714286,,0.34226190476190477,,0.20168067226890757,0.14093959731543623,0.07547169811320754,0.5,0.3877551020408163,0.030303030303030304,0.20642201834862386,0.24354561101549052,0.3089770354906054,,0.2,0.18134715025906736
-3,0.3743961352657005,0.25693160813308685,0.10526315789473684,0.08597285067873303,0.05555555555555555,0.2563868613138686,0.4366438356164384,,0.31451612903225806,0.29619181946403383,0.36666666666666664,0.11964980544747082,0.4083969465648855,,,0.23939393939393938,0.4947916666666667,0.31543624161073824,,0.6166666666666667,,0.3250883392226148,,0.25507246376811593,0.1286549707602339,0.0625,0.4230769230769231,0.494949494949495,0.041379310344827586,0.25146198830409355,0.24432334241598547,0.20045045045045046,0.23076923076923078,0.13385826771653545,0.14
