cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.6386861313868614,0.7216117216117216,0.2682926829268293,0.5339805825242718,0.75,0.6506550218340611,,0.8260869565217391,0.5384615384615384,0.634020618556701,0.7875,0.8297872340425532,0.5191256830601093,,,0.7966101694915254,0.484472049689441,0.6681715575620768,,0.6097560975609756,,0.6260162601626016,,0.6265060240963856,0.5463917525773195,0.7560975609756098,0.2857142857142857,0.49230769230769234,0.30701754385964913,0.6589147286821705,0.6639919759277834,0.648,,0.7058823529411765,
-12,0.6294277929155313,0.679465776293823,0.2727272727272727,0.4695121951219512,0.7,0.6739130434782609,0.5422535211267606,,0.5294117647058824,0.6046511627906976,0.7916666666666666,0.7678571428571429,0.5766423357664233,,,0.9113924050632911,,0.6796116504854369,,0.5789473684210527,,0.5604395604395604,0.7887323943661971,0.5981308411214953,0.650887573964497,0.73,0.22727272727272727,0.5027932960893855,0.3931034482758621,0.6149068322981367,0.672514619883041,0.6926605504587156,,0.5833333333333334,
-11,0.6504854368932039,0.6887218045112782,,0.48214285714285715,0.7611940298507462,0.6614509246088194,0.5537190082644629,,0.5462962962962963,0.5890736342042755,0.7633587786259542,0.8020833333333334,0.5581395348837209,,,,0.519774011299435,0.6804123711340206,,0.6612903225806451,0.47619047619047616,0.57,0.7666666666666667,0.6564885496183206,0.608433734939759,0.801980198019802,0.24324324324324326,0.5118483412322274,0.2658959537572254,0.6180555555555556,0.617004048582996,0.6792452830188679,,0.6949152542372882,
-10,0.649867374005305,0.6865889212827988,0.4666666666666667,0.3546099290780142,0.7592592592592593,0.6107594936708861,,0.8727272727272727,0.54,0.6521739130434783,0.7583333333333333,0.7777777777777778,,,,,0.40160642570281124,0.693609022556391,0.6,,,0.5772870662460567,,0.6496350364963503,0.5671641791044776,0.7909090909090909,0.13043478260869565,0.515527950310559,0.44776119402985076,0.7358490566037735,0.6625766871165644,0.7239819004524887,,0.6914893617021277,
-9,0.65,0.6945288753799392,,0.45454545454545453,0.75,0.6566091954022989,0.5552941176470588,0.7906976744186046,0.5454545454545454,0.6452991452991453,0.7704918032786885,0.7419354838709677,0.5194805194805194,,,,0.45217391304347826,0.6975881261595547,,0.6071428571428571,,0.6040955631399317,,0.5904761904761905,0.5956284153005464,0.7894736842105263,0.3333333333333333,0.4927536231884058,0.3710691823899371,0.7125,0.6485106382978724,0.7346938775510204,,0.696078431372549,
-8,0.6240601503759399,0.7170818505338078,0.21739130434782608,0.427536231884058,0.7450980392156863,0.6096654275092936,,0.8709677419354839,0.5490196078431373,0.5664160401002506,0.7478260869565218,,,,,,0.43820224719101125,0.7048192771084337,,0.6170212765957447,,0.6274509803921569,0.6981132075471698,0.5943396226415094,0.697986577181208,0.75,0.13043478260869565,0.5033557046979866,0.4076923076923077,0.6923076923076923,0.6359077231695085,0.6341463414634146,,0.7027027027027027,
-7,0.6457765667574932,0.7024029574861368,0.33962264150943394,0.4143646408839779,0.6595744680851063,0.6571969696969697,0.55859375,,0.5882352941176471,0.7330754352030948,0.7387387387387387,0.8752616157388029,,,,0.733739837398374,0.5340557275541795,0.625,,0.25,0.5,0.5343137254901961,0.7317073170731707,0.7774294670846394,0.5899280575539568,0.828125,0.4,0.5608108108108109,0.33587786259541985,0.7896678966789668,0.6954413191076625,0.7605820105820106,,0.6063829787234043,0.7894736842105263
-6,0.6300448430493274,0.6976401179941003,0.3448275862068966,0.4143646408839779,0.746268656716418,0.7335359675785208,0.5756630265210608,0.78,0.49122807017543857,0.7160342717258262,0.6781609195402298,0.8836242726517041,0.5634674922600619,0.6363636363636364,0.7727272727272727,0.7813411078717201,0.5081374321880651,0.6782178217821783,,0.3197278911564626,,0.56,,0.7512953367875648,0.5504587155963303,0.7934782608695652,0.16666666666666666,0.45989304812834225,0.3615819209039548,0.7675438596491229,0.6903052064631957,0.8039702233250621,,0.6608695652173913,0.8391608391608392
-5,0.6383838383838384,0.717391304347826,0.32608695652173914,0.4481132075471698,0.75,0.6597510373443983,0.5571177504393673,,0.5051546391752577,0.7064965197215777,0.6338797814207651,0.8658536585365854,0.5817174515235457,,,0.8534798534798534,0.5283018867924528,0.6108108108108108,,0.3384615384615385,,0.631578947368421,,0.6978609625668449,0.620253164556962,0.8125,0.25,0.4926829268292683,0.3881578947368421,0.7380952380952381,0.6704119850187266,0.7609254498714653,,0.5974025974025974,0.8280542986425339
-4,0.6239837398373984,0.6769456681350955,0.34782608695652173,0.38181818181818183,0.7846153846153846,0.6959370904325033,0.6027397260273972,,0.5371428571428571,0.6873536299765808,0.6506024096385542,0.8957771787960467,0.6678321678321678,,,0.6903553299492385,0.5017857142857143,0.6129753914988815,,0.36428571428571427,,0.6160714285714286,,0.7703081232492998,0.6375838926174496,0.8584905660377359,0.3888888888888889,0.5663265306122449,0.4,0.7889908256880734,0.6721170395869192,0.6764091858037579,,0.7238095238095238,0.7927461139896373
