cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.010948905109489052,0.029304029304029304,0.6585365853658537,0.42718446601941745,0.17857142857142858,0.024017467248908297,,0.08695652173913043,0.07692307692307693,0.020618556701030927,0.025,0.014184397163120567,0.00546448087431694,,,0.01694915254237288,0.031055900621118012,0.01805869074492099,,0.07317073170731707,,0.024390243902439025,,0.024096385542168676,0.29896907216494845,0.18292682926829268,0.2857142857142857,0.015384615384615385,0.6491228070175439,0.03875968992248062,0.07723169508525576,0.012,,0.08235294117647059,
-12,0.02997275204359673,0.03672787979966611,0.7045454545454546,0.3719512195121951,0.25,0.020186335403726708,0.004694835680751174,,0.07058823529411765,0.03382663847780127,0.025,0.044642857142857144,0.0036496350364963502,,,0.012658227848101266,,0.015533980582524271,,0.08771929824561403,,0.046703296703296704,0.014084507042253521,0.028037383177570093,0.21301775147928995,0.15,0.22727272727272727,0.0446927374301676,0.5724137931034483,0.031055900621118012,0.07101086048454469,0.0045871559633027525,,0.125,
-11,0.021844660194174758,0.03458646616541353,,0.43452380952380953,0.1791044776119403,0.015647226173541962,0.002066115702479339,,0.08333333333333333,0.023752969121140142,0.061068702290076333,0.020833333333333332,0.003875968992248062,,,,0.011299435028248588,0.013745704467353952,,0.0967741935483871,0.47619047619047616,0.06666666666666667,0.016666666666666666,0.022900763358778626,0.27710843373493976,0.1485148514851485,0.21621621621621623,0.03317535545023697,0.7109826589595376,0.020833333333333332,0.09554655870445344,0.03773584905660377,,0.03389830508474576,
-10,0.021220159151193633,0.033527696793002916,0.5111111111111111,0.5035460992907801,0.07407407407407407,0.023734177215189875,,0.01818181818181818,0.05,0.043478260869565216,0.025,0.046296296296296294,,,,,0.020080321285140562,0.022556390977443608,0.2,,,0.04100946372239748,,0.051094890510948905,0.2885572139303483,0.13636363636363635,0.13043478260869565,0.018633540372670808,0.5298507462686567,0.018867924528301886,0.07800175284837861,0.01809954751131222,,0.05319148936170213,
-9,0.006521739130434782,0.034954407294832825,,0.4375,0.19642857142857142,0.017241379310344827,0.007058823529411765,0.023255813953488372,0.06818181818181818,0.03205128205128205,0.040983606557377046,0.010752688172043012,0.004329004329004329,,,,0.008695652173913044,0.02411873840445269,,0.07142857142857142,,0.06143344709897611,,0.0380952380952381,0.23497267759562843,0.13157894736842105,0.2777777777777778,0.028985507246376812,0.5911949685534591,0.025,0.06978723404255319,0.01020408163265306,,0.049019607843137254,
-8,0.03007518796992481,0.04092526690391459,0.6956521739130435,0.43478260869565216,0.17647058823529413,0.03717472118959108,,0.03225806451612903,0.0784313725490196,0.047619047619047616,0.008695652173913044,,,,,,0.0056179775280898875,0.02208835341365462,,0.0425531914893617,,0.058823529411764705,0.018867924528301886,0.018867924528301886,0.1610738255033557,0.16666666666666666,0.17391304347826086,0.020134228187919462,0.5615384615384615,0.013986013986013986,0.07021063189568706,0.024390243902439025,,0.10810810810810811,
-7,0.01634877384196185,0.053604436229205174,0.6226415094339622,0.430939226519337,0.2553191489361702,0.017045454545454544,0.00390625,,0.058823529411764705,0.024177949709864602,0.06306306306306306,0.00795311845960653,,,,0.036585365853658534,0.020123839009287926,0.04477611940298507,,0.1171875,0.45,0.049019607843137254,0.024390243902439025,0.02821316614420063,0.26618705035971224,0.125,0.08,0.033783783783783786,0.6412213740458015,0.014760147601476014,0.055286129970902036,0.011904761904761904,,0.10638297872340426,0.007518796992481203
-6,0.020179372197309416,0.035398230088495575,0.6206896551724138,0.430939226519337,0.19402985074626866,0.011144883485309016,0.0031201248049922,0.04,0.11695906432748537,0.01835985312117503,0.019157088122605363,0.011637572734829594,0.009287925696594427,0.09090909090909091,0.045454545454545456,0.04081632653061224,0.014466546112115732,0.0297029702970297,,0.09523809523809523,,0.044,,0.018134715025906734,0.3486238532110092,0.17391304347826086,0.125,0.0374331550802139,0.5988700564971752,0.021929824561403508,0.0466786355475763,0.017369727047146403,,0.06956521739130435,0.0034965034965034965
-5,0.03232323232323232,0.043478260869565216,0.6521739130434783,0.4339622641509434,0.19117647058823528,0.022130013831258646,0.007029876977152899,,0.08247422680412371,0.033642691415313224,0.04371584699453552,0.013937282229965157,0.00554016620498615,,,0.014652014652014652,0.022298456260720412,0.03063063063063063,,0.1076923076923077,,0.036011080332409975,,0.029411764705882353,0.2974683544303797,0.10714285714285714,0.22727272727272727,0.024390243902439025,0.5855263157894737,0.023809523809523808,0.0599250936329588,0.012853470437017995,,0.07792207792207792,0.013574660633484163
-4,0.02032520325203252,0.0381791483113069,0.6086956521739131,0.5318181818181819,0.15384615384615385,0.023591087811271297,0.003424657534246575,,0.10285714285714286,0.0351288056206089,0.04216867469879518,0.0071877807726864335,0.013986013986013986,,,0.02030456852791878,0.01607142857142857,0.03131991051454139,,0.05714285714285714,,0.041666666666666664,,0.028011204481792718,0.2214765100671141,0.0660377358490566,0.1111111111111111,0.04591836734693878,0.5696969696969697,0.0045871559633027525,0.08433734939759036,0.014613778705636743,,0.0761904761904762,0.025906735751295335
