AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
0.08521303258145363,0.0701926216127979,0.10782241014799154,0.11118251928020566,0.10594735131621709,0.08219343905096235,0.06774250753679731,0.13949104618284638,0.11974789915966387,0.09940119760479042,0.08279695728496196,0.14597815292949354,0.042536736272235115,0.06430622009569378,0.07661290322580645,0.10062893081761007,0.0912280701754386,0.10294117647058823,0.05862646566164154,0.0546875,0.14502164502164502,0.12944212825094303,0.22535211267605634,0.15517241379310345,0.10734463276836158,0.14471153846153847,0.13417190775681342,0.09081081081081081,0.12749003984063745,0.08273208273208273,0.19991889699918897,0.07418397626112759,0.09083728278041074,0.23581847649918963,0.11900264450321119,0.07738384328962279,0.14017094017094017,0.1038961038961039,0.1580240174672489,0.1482889733840304,0.08695652173913043
0.09599096555618294,0.07849462365591398,0.10120068610634649,0.12263226649248857,0.10157958687727825,0.0864356800589753,0.08071249652101307,0.15582558970693353,0.13345864661654136,0.10724365004703669,0.08890030832476875,0.1687732342007435,0.11812865497076024,0.07129065795336403,0.07664233576642336,0.10309278350515463,0.11832611832611832,0.1332391713747646,0.08473282442748091,0.07783882783882784,0.17833333333333334,0.15831856981800613,0.19170984455958548,0.16203703703703703,0.09540636042402827,0.168026706231454,0.13212170716765367,0.14165890027958994,0.1240276577355229,0.08214423447743927,0.18717237126117792,0.07350901525658807,0.10357583230579531,0.2525706940874036,0.12305854241338113,0.08214544575984538,0.15572625698324022,0.1460473425636445,0.17939016247496106,0.1518413597733711,0.09826589595375723
0.08856814826964081,0.07003444316877153,0.10467380720545277,0.11928571428571429,0.0977361776229865,0.08032635209016738,0.0705460835186558,0.16824324324324325,0.12277867528271405,0.11677631578947369,0.09864116758933066,0.13444767441860464,0.11073059360730593,0.07586962476033964,0.09291338582677165,0.06278026905829596,0.11907983761840325,0.10294695481335953,0.0725319006044325,0.07539353769676885,0.13161659513590845,0.15997621171573,0.19444444444444445,0.17748091603053434,0.09108341323106424,0.1604977664326739,0.1266480965645311,0.0945945945945946,0.11595330739299611,0.07553829862336746,0.17290086319644257,0.0673289183222958,0.09875846501128668,0.1770091556459817,0.12087912087912088,0.08027867095391211,0.147953216374269,0.13008130081300814,0.16905992724487842,0.14912718204488778,0.0861244019138756
0.09344206591913014,0.06271940088930494,0.10702179176755448,0.1067823119579127,0.08597701149425287,0.08518423963917965,0.07692307692307693,0.14938030006523156,0.1195079086115993,0.08164852255054432,0.10614676414838885,0.15092936802973977,0.10718358038768529,0.06992103374012922,0.09666080843585237,0.08247422680412371,0.1373283395755306,0.11960784313725491,0.065,0.07034372501998401,0.14444444444444443,0.14068441064638784,0.21271393643031786,0.1360153256704981,0.09200438116100766,0.1505700871898055,0.11716769286490401,0.09414758269720101,0.11740041928721175,0.07646400596792241,0.17058823529411765,0.07201889020070838,0.10083565459610028,0.17509157509157508,0.127227858513847,0.07902865054851421,0.12154340836012861,0.11673469387755102,0.16026871401151632,0.1457592686642966,0.09649122807017543
0.08858548976027941,0.07386228258279724,0.08640291041382446,0.1116567961866243,0.08118327402135231,0.0772049637711335,0.07392657125077785,0.15108834827144688,0.14953271028037382,0.11588330632090761,0.10126916975145425,0.14693295292439373,0.0967741935483871,0.06771053745239103,0.08791208791208792,0.11061946902654868,0.11171960569550932,0.11628787878787879,0.06352324819908317,0.078003120124805,0.15178571428571427,0.1454197912071754,0.1872037914691943,0.14570858283433133,0.10262008733624454,0.16296296296296298,0.11619655845307787,0.1283891547049442,0.11343048444269398,0.08072614909231364,0.18104708979233694,0.07649667405764966,0.08215593929879644,0.2759961127308066,0.12050797081869764,0.08740165966160146,0.12184873949579832,0.11530893349075168,0.15315155807365438,0.13806514341273698,0.0794979079497908
0.08906691800188501,0.07674647425385372,0.08583333333333333,0.10485516115871073,0.08811959087332809,0.07817996142062862,0.06986444212721585,0.15737410071942445,0.10337078651685393,0.08781558726673985,0.08172651689368476,0.14285714285714285,0.05673170056731701,0.06661150186181217,0.06204379562043796,0.1282051282051282,0.08614232209737828,0.11163337250293771,0.06072874493927125,0.054411764705882354,0.13333333333333333,0.14385964912280702,0.14198782961460446,0.1246376811594203,0.12084592145015106,0.15330307614725164,0.11307713574785734,0.08579088471849866,0.10120608285264814,0.09758771929824561,0.19488188976377951,0.06629834254143646,0.09429477020602219,0.2927170868347339,0.10830449826989619,0.07147415443522655,0.1549942594718714,0.049754730203223546,0.16700317277184887,0.125,0.10588235294117647
0.10866091403004155,0.07154359328272372,0.08948863636363637,0.11230292065133109,0.08643617021276596,0.0774314682688697,0.08288739610611408,0.17079889807162535,0.12013536379018612,0.11737089201877934,0.09873323397913562,0.1381703470031546,0.12491807576353388,0.06740348692403487,0.09738372093023256,0.14035087719298245,0.10670194003527336,0.11898446381205002,0.09967105263157895,0.06417466093284817,0.12968299711815562,0.15685718337824422,0.22896039603960397,0.13417190775681342,0.09537299338999056,0.17391304347826086,0.1329416085200147,0.12965722801788376,0.1297037630104083,0.08941485864562787,0.18918219461697722,0.06753554502369669,0.09713701431492842,0.2898172323759791,0.12213565536205316,0.07733705401634443,0.14269535673839184,0.09095541401273885,0.17699943809702193,0.14354760753987433,0.09090909090909091
0.09838069049801405,0.07187033482618896,0.07846003898635477,0.11256940938919738,0.09336806251252254,0.08153611801491222,0.07917188033215788,0.15941140404659718,0.13694267515923567,0.08739255014326648,0.10232843137254902,0.1392081736909323,0.11658063703890217,0.0712215952417264,0.08392603129445235,0.09386281588447654,0.09877622377622378,0.12209080503624571,0.10680529300567108,0.07269789983844911,0.15789473684210525,0.16653279785809907,0.23781212841854935,0.14285714285714285,0.09314586994727592,0.17677946324387397,0.13398914518317503,0.12234794908062235,0.1362940275650842,0.08698606863744479,0.19396751740139212,0.08740894901144641,0.10396294390118374,0.22788605697151423,0.11630532971996387,0.0894403379091869,0.13764510779436154,0.08840153741804205,0.17523778816701596,0.13061602593793423,0.1044776119402985
0.08606821106821107,0.06792975970425139,0.08738461538461538,0.1197420939514891,0.09921436588103255,0.08402100525131283,0.06969733510189316,0.1623931623931624,0.08117443868739206,0.09976798143851508,0.09434960963345243,0.12720306513409962,0.11099351766106628,0.07152635181382615,0.05855855855855856,0.10975609756097561,0.10027598896044158,0.11802488960256925,0.10052539404553415,0.05640345056403451,0.14890510948905109,0.1425342775350309,0.22570194384449244,0.13432835820895522,0.094662638469285,0.16049382716049382,0.11950599346167817,0.1151662611516626,0.11985617259288853,0.07651054701465856,0.18983300589390964,0.0764904386951631,0.09404702351175588,0.27145169994603346,0.1200855843808505,0.0779434334575751,0.12781954887218044,0.10779551237566505,0.16373549067886037,0.1366120218579235,0.1288888888888889
0.0858376224472854,0.05815870025900636,0.08476912474155755,0.1133148831488315,0.1142317677602077,0.06403251599147121,0.06584207896051975,0.15432873274780426,0.07049180327868852,0.1094306049822064,0.08432618480275351,0.10871440897325281,0.10463650371200449,0.07465877322808749,0.07745504840940526,0.11885245901639344,0.11907270811380401,0.12121212121212122,0.1077757685352622,0.06013639181649101,0.10325318246110325,0.13956105796285875,0.20833333333333334,0.14102564102564102,0.0940940940940941,0.13320079522862824,0.11610279164355704,0.1029641185647426,0.11655683690280066,0.08102843786521231,0.1953204476093591,0.08,0.093717277486911,0.2709308372334893,0.12726370627635822,0.07530477937210055,0.14732965009208104,0.1207325344788605,0.1643094115592806,0.1482213438735178,0.07849829351535836
