cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-12,0.3465625,0.23046398046398045,0.39723032069970843,0.40792487402656896,0.3457005674378001,0.3298824355150026,0.32535512745670364,0.5018115942028986,0.36622807017543857,0.36482084690553745,0.4108552631578947,0.4075785582255083,0.3050430504305043,0.287787610619469,0.3036876355748373,0.4144385026737968,0.4099770642201835,0.3796940194714882,0.20647773279352227,0.35185185185185186,0.4493096646942801,0.2222222222222222,0.5202020202020202,0.373015873015873,0.4537680384820951,0.4179760094610576,0.4580952380952381,0.37614259597806216,0.32547864506627394,0.480673555300421,0.34151329243353784,0.3603988603988604,0.5494722955145118,0.39460703715882933,0.28136810279667424,0.26595744680851063,0.31556728232189973,0.46656534954407297,0.4693376941946034,0.28421052631578947
-11,0.34618834080717487,0.2292809702570026,0.39067854694996573,0.4154761904761905,0.33173286774334354,0.3300122356231428,0.313206149286905,0.5024533856722276,0.32762312633832974,0.38863287250384027,0.40951492537313433,0.3718861209964413,0.3253012048192771,0.2875733137829912,0.27571115973741794,0.40786240786240785,0.379492600422833,0.3753315649867374,0.2533039647577093,0.2959770114942529,0.42912032355915064,0.3614457831325301,0.48704663212435234,0.33189655172413796,0.4563997960224375,0.40080462660296706,0.4249317561419472,0.3919481721425266,0.3290468986384266,0.4688736955739475,0.3412844036697248,0.36083916083916084,0.5496932515337424,0.3674818241903503,0.2879712746858169,0.2,0.3082302313071544,0.47058823529411764,0.480168776371308,0.4095238095238095
-10,0.3543356207111666,0.21530963302752293,0.40986977381768336,0.40140246493837656,0.30782839451570104,0.31937363437727606,0.32732615083251715,0.4760112888052681,0.3325635103926097,0.3654434250764526,0.41774094536525475,0.3992502343017807,0.3089430894308943,0.2991120976692564,0.30248306997742663,0.39364303178484106,0.4050632911392405,0.3582474226804124,0.24833333333333332,0.2733333333333333,0.40689792663476876,0.36231884057971014,0.4563106796116505,0.38341158059467917,0.47290899526564967,0.39391845196959224,0.4018957345971564,0.3678215472235406,0.3074154067674586,0.4914740431981811,0.3563218390804598,0.365975696926376,0.5796747967479675,0.37710219922380334,0.2742876759354617,0.16483516483516483,0.30612244897959184,0.47953648915187375,0.4650974025974026,0.3333333333333333
-9,0.3361599030890369,0.23006766696087083,0.3829219479653102,0.3935483870967742,0.2963294538943599,0.3166397415185784,0.3280701754385965,0.4669767441860465,0.32207207207207206,0.3833605220228385,0.4092183120523202,0.3712737127371274,0.32432432432432434,0.2948032097821934,0.3225806451612903,0.41755888650963596,0.429020429544264,0.3534361851332398,0.2306368330464716,0.2972972972972973,0.410828025477707,0.3584905660377358,0.41208791208791207,0.4178628389154705,0.45848757271285034,0.3888213851761847,0.44011684518013633,0.3916256157635468,0.3056197074672825,0.5155482815057283,0.3435700575815739,0.353887399463807,0.6006825938566553,0.3862504151444703,0.27965793304221254,0.2,0.28642384105960267,0.4727898966704937,0.4702430846605197,0.3277310924369748
-8,0.3244744149147164,0.2272,0.39464285714285713,0.3815556865055981,0.3315282791817088,0.3024542829643888,0.3224360664381756,0.4661308840413318,0.31683168316831684,0.3787313432835821,0.40290880503144655,0.3367579908675799,0.29750479846449135,0.28662576687116564,0.3125,0.4147727272727273,0.379108838568298,0.3315696649029982,0.2217741935483871,0.25462962962962965,0.4210809357354127,0.36363636363636365,0.4262295081967213,0.39148073022312374,0.45794392523364486,0.36346153846153845,0.3850063532401525,0.35695876288659795,0.3063646170442287,0.5077363896848137,0.297008547008547,0.37917860553963706,0.6076696165191741,0.355908453993461,0.27099056603773586,0.14754098360655737,0.22963483146067415,0.45023071852340146,0.4788306451612903,0.37362637362637363
-7,0.3341874084919473,0.21751615218951903,0.40551181102362205,0.4026500811249324,0.31478358628442943,0.33480639730639733,0.3374558303886926,0.5015479876160991,0.26865671641791045,0.4049586776859504,0.3993362831858407,0.31317494600431967,0.2950257289879931,0.32277274892806096,0.33002481389578164,0.4540682414698163,0.4,0.3841554559043348,0.24434389140271492,0.23220973782771537,0.4244350282485876,0.3488372093023256,0.42424242424242425,0.36346153846153845,0.49609652235628104,0.42396459057856467,0.3972602739726027,0.36595022624434387,0.3118580765639589,0.5277492291880781,0.3130841121495327,0.3465259454705365,0.6107634543178974,0.40396530359355637,0.28475551294343243,0.06329113924050633,0.2819420783645656,0.46340566384700255,0.472852912142152,0.4367816091954023
-6,0.3226476699317305,0.22853223593964334,0.406827880512091,0.4198187549251379,0.31310289389067525,0.3357751277683135,0.33668607728957123,0.4974958263772955,0.27474747474747474,0.384297520661157,0.40167484839734335,0.35856905158069885,0.3171355498721228,0.2965046203294496,0.31185031185031187,0.4369747899159664,0.3967065868263473,0.3782051282051282,0.23773006134969324,0.2125748502994012,0.42745169522420706,0.3333333333333333,0.5047619047619047,0.3688212927756654,0.4662265109192483,0.394095595126523,0.43430369787568845,0.39384336803983705,0.29678770949720673,0.5114054451802796,0.3333333333333333,0.3494299128101945,0.5289747399702823,0.36292032717358375,0.2939167208848406,0.04716981132075472,0.3375184638109306,0.48111587982832615,0.4675419401896426,0.296
-5,0.33246301131418626,0.20822138635142395,0.40304709141274236,0.4176352705410822,0.3075126508369015,0.3453249913103928,0.3196822594880847,0.4862068965517241,0.21814254859611232,0.392235609103079,0.3878007834359261,0.3033006244424621,0.2985257985257985,0.2979542232124772,0.30528375733855184,0.4375,0.40559796437659035,0.38881987577639754,0.22736030828516376,0.2231404958677686,0.416983282674772,0.4057971014492754,0.40512820512820513,0.3674293405114401,0.48065173116089616,0.39798973481608213,0.4248151191454396,0.38029465930018413,0.30559757942511345,0.501577287066246,0.35148514851485146,0.3469520103761349,0.5842511013215859,0.3709009869468322,0.2944359884999154,0.02727272727272727,0.3474827245804541,0.4794188861985472,0.4760357432981316,0.2949640287769784
-4,0.3220733838089691,0.2592397043294615,0.40055632823365783,0.4139603542808941,0.33403449726546064,0.3371399352309528,0.3127292736610418,0.5116479723899914,0.18322295805739514,0.4009508716323296,0.4070307960488088,0.30859375,0.31016731016731014,0.307015829587649,0.3067961165048544,0.40816326530612246,0.40906775343861435,0.3632596685082873,0.23404255319148937,0.16714697406340057,0.43837994214079073,0.24705882352941178,0.46987951807228917,0.38591549295774646,0.49952335557673977,0.3881225157820902,0.44364937388193204,0.36951605608322025,0.2740963855421687,0.5115511551155115,0.34554973821989526,0.3630448926480156,0.5846488840500816,0.3396032831737346,0.28866507340389214,0.03409090909090909,0.3519874476987448,0.4609544468546638,0.45803921568627454,0.24516129032258063
-3,0.3207606973058637,0.20150375939849624,0.3856103476151981,0.4126538544590801,0.3408993576017131,0.23594717774921117,0.31067007270583613,0.4968944099378882,0.18636363636363637,0.420863309352518,0.3989427860696517,0.31186440677966104,0.2641509433962264,0.29115758956305654,0.32684824902723736,0.4707379134860051,0.4063192904656319,0.367948717948718,0.2890262751159196,0.12427745664739884,0.4115936409461031,0.20930232558139536,0.46596858638743455,0.32127351664254705,0.4952908587257618,0.37413834086047065,0.3970223325062035,0.375682382133995,0.2932098765432099,0.5105660377358491,0.3236363636363636,0.35220994475138123,0.5690058479532164,0.34366391184573003,0.29791988997765173,0.0,0.37051352843732743,0.46985854189336235,0.47458952306489444,0.3333333333333333
-2,0.3067133312122176,0.19914417379855168,0.41697147037307974,0.42757335817419656,0.34233409610983984,0.3326794821498627,0.3091488937612119,0.4955116696588869,0.3418803418803419,0.3944954128440367,0.3945533045499834,0.27442371020856204,0.30474934036939316,0.31091122409073135,0.34303534303534305,0.4666666666666667,0.39454235361000567,0.3613933236574746,0.28324697754749567,0.11152416356877323,0.409545644018341,0.3787878787878788,0.5,0.3610223642172524,0.5239064089521872,0.3861607142857143,0.39241803278688525,0.36910994764397903,0.2859866539561487,0.5134028294862248,0.3213572854291417,0.33842946490618486,0.5909638554216867,0.3578632797908106,0.29044798222880414,0.0,0.38964732650739475,0.4702089817696754,0.5046649703138253,0.36283185840707965
-1,0.30805848350901055,0.19707565162110616,0.4062262718299165,0.42189308030548484,0.30846681922196795,0.3275175421960933,0.3310240311755791,0.49070631970260226,0.3058823529411765,0.45454545454545453,0.3986842105263158,0.23264311814859928,0.2582025677603424,0.30595611285266455,0.3030973451327434,0.5298329355608592,0.416435313714603,0.33100558659217877,0.29174311926605506,0.26881720430107525,0.4039963252181902,0.21568627450980393,0.4336734693877551,0.36891679748822603,0.46924603174603174,0.36585365853658536,0.44041450777202074,0.3531317494600432,0.28780934922089824,0.5162755488266465,0.3326530612244898,0.3250836120401338,0.5982853643600735,0.33820306793279764,0.2887680480030002,0.0,0.3610280932456665,0.4665929203539823,0.47513812154696133,0.3486238532110092
0,0.3108535300316122,0.18587360594795538,0.38652482269503546,0.41054852320675106,0.3361884368308351,0.3321137535340096,0.30128980249899234,0.507537688442211,0.35893416927899685,0.4113821138211382,0.3782784129119032,0.21386603995299647,0.30422535211267604,0.31504571903574397,0.28752642706131076,0.4088397790055249,0.40129640542133177,0.3318042813455658,0.31711409395973156,0.39037433155080214,0.39114024632499006,0.3076923076923077,0.46153846153846156,0.345642540620384,0.5250158328055732,0.3761041376104138,0.40710382513661203,0.3531540847983454,0.2875751503006012,0.5234170101161484,0.3181818181818182,0.34083162917518744,0.6022659511031604,0.30950598802395207,0.2872767043383157,0.0,0.3827848101265823,0.4811300409747682,0.47794117647058826,0.375
1,0.3048628428927681,0.21957236842105263,0.3821614583333333,0.4130849036629261,0.368535419382877,0.3176256613756614,0.3189412427257368,0.492344883158743,0.3595505617977528,0.39580209895052476,0.39899586532782044,0.2038647342995169,0.26964933494558646,0.3006255585344057,0.28663793103448276,0.3821138211382114,0.39882854100106496,0.3358116480793061,0.3068362480127186,0.39705882352941174,0.39756228714823444,0.2571428571428571,0.5,0.381021897810219,0.5322153574580759,0.3736288848263254,0.4197838736492103,0.32245301681503463,0.2703165098374679,0.5205058099794941,0.3504950495049505,0.3312020460358056,0.6211072664359861,0.30256241787122207,0.2891747410624791,0.2653061224489796,0.3680892337536372,0.4675297113752122,0.45534407027818447,0.3162393162393162
2,0.3103845268247755,0.22852512155591573,0.40027510316368636,0.42337938363443145,0.3473460721868365,0.332799743877061,0.31779898933183603,0.5228645383951682,0.40093240093240096,0.4352409638554217,0.40256566890653633,0.3743482794577685,0.2997737556561086,0.30415162454873645,0.34552845528455284,0.3548387096774194,0.42230252968508003,0.363953488372093,0.30873493975903615,0.4110787172011662,0.40865297218687513,0.3673469387755102,0.375,0.4097902097902098,0.5351793009532456,0.3822232536551404,0.41119221411192214,0.376101860920666,0.265625,0.5146198830409356,0.3107142857142857,0.3482849604221636,0.5905598243688255,0.30246189917936694,0.3004149377593361,0.2830188679245283,0.3751269035532995,0.46548785683851723,0.4572784810126582,0.2773109243697479
3,0.36363636363636365,0.2153484729835552,0.3830242510699001,0.4280450801907239,0.3483241408570216,0.328521013795316,0.3316346530772246,0.5347222222222222,0.35294117647058826,0.432348367029549,0.4110546378653113,0.44295991778006166,0.3083756345177665,0.3044722719141324,0.3410526315789474,0.3948412698412698,0.37936593229446536,0.37467018469656993,0.25877192982456143,0.4010989010989011,0.4472446868534888,0.25862068965517243,0.4644808743169399,0.3726027397260274,0.5357643758765779,0.37288523090992226,0.38022165387894286,0.37348227294803304,0.2537688442211055,0.5127208480565371,0.3877917414721723,0.29788519637462235,0.6019845644983461,0.3177461516119663,0.3028975741239892,0.3274336283185841,0.33560924369747897,0.47872127872127873,0.474481658692185,0.35353535353535354
4,0.34616449736914984,0.2659248956884562,0.409578270192995,0.42546026044005386,0.3458140513251998,0.31455832563865804,0.3175292784284095,0.5094509450945095,0.3309178743961353,0.43243243243243246,0.3969422423556059,0.4073684210526316,0.2929171668667467,0.3007636577246916,0.3032128514056225,0.38114754098360654,0.3754152823920266,0.36222509702457956,0.29428989751098095,0.37237237237237236,0.44071506749361544,0.35294117647058826,0.46616541353383456,0.36086956521739133,0.5231187669990934,0.3526989935956084,0.4417277913610432,0.37183958151700086,0.27489361702127657,0.5252890173410405,0.35834896810506567,0.34739884393063586,0.6020293122886133,0.29142185663924797,0.2988375847594446,0.3258426966292135,0.3495197438633938,0.47195479280033487,0.4679715302491103,0.22807017543859648
5,0.3440649496080627,0.27339300244100895,0.4251543209876543,0.4139947570074612,0.3168674698795181,0.33402622321714104,0.30849928876244664,0.5269000853970965,0.3466981132075472,0.41975308641975306,0.40200412614205716,0.41150922909880566,0.29733163913595934,0.2883522727272727,0.31189083820662766,0.4264069264069264,0.406027397260274,0.3388116308470291,0.3069306930693069,0.39644970414201186,0.4463423691050873,0.30666666666666664,0.0,0.3786407766990291,0.5132252559726962,0.3530973451327434,0.4324540367705835,0.37839147286821706,0.23662207357859533,0.531283518055059,0.3408304498269896,0.34289057928613226,0.6288659793814433,0.2887716212254471,0.3022798097424963,0.4155844155844156,0.410727969348659,0.46774193548387094,0.4709507042253521,0.3282442748091603
6,0.34306569343065696,0.2783720323506392,0.39783393501805053,0.4195557400871912,0.3383983572895277,0.32205789804908747,0.3053859964093357,0.49479583666933546,0.36225596529284165,0.3963838664812239,0.4018045112781955,0.4528301886792453,0.31666666666666665,0.2999349381912817,0.3159722222222222,0.4179389312977099,0.39622641509433965,0.33672172808132145,0.31728045325779036,0.45345345345345345,0.4369401648154783,0.16923076923076924,0.4444444444444444,0.3663624511082138,0.5378943056124539,0.3551532033426184,0.414576802507837,0.4179254783484391,0.2528548123980424,0.5288600288600288,0.33025830258302585,0.312948123154787,0.6094349972572682,0.28840494408475575,0.30523880350355315,0.31746031746031744,0.42181340341655715,0.4738531244100434,0.4534803583735355,0.2642857142857143
7,0.34842803576579173,0.20572246065808297,0.4083916083916084,0.41217489634376175,0.3316266246553761,0.32383784629832524,0.3122568093385214,0.4901639344262295,0.35083532219570407,0.4450063211125158,0.385940146809712,0.4503171247357294,0.2862644415917843,0.306514054872917,0.2964169381107492,0.4201312910284464,0.4298245614035088,0.3437908496732026,0.27808988764044945,0.4139072847682119,0.44812442817932296,0.4375,0.463302752293578,0.4144144144144144,0.5450558213716108,0.3396452540747843,0.4055087987758225,0.3983092988562904,0.2346185397867104,0.5363606449489964,0.3326848249027237,0.3408045977011494,0.5414389799635702,0.27714457108578283,0.3026515791251478,0.37894736842105264,0.42302543507362783,0.4701050620821394,0.4619217081850534,0.2535211267605634
