cycle,AL,AR,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,,,,,1.0,0.005527210884353741,,0.04336734693877551,,,,,,,,,0.002551020408163265,,,,,,,,,,,,,,,,0.05823138914656772,,,,,,
-12,1.0,,,,1.0,0.019387755102040816,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.05856567979304398,,,,,,
-11,,,,1.0,1.0,0.009183673469387754,,0.002551020408163265,,,,,,,,,0.002551020408163265,,,,,,,,,,,,,,,,0.06045550592451922,,,,,,
-10,,0.002551020408163265,,1.0,,0.00510204081632653,,0.03826530612244898,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.051024021506619645,,,,,,
-9,1.0,,,,,0.014668367346938774,,0.003826530612244898,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.05118128332414047,,,,,,
-8,,,,1.0,,0.007653061224489795,,0.003401360544217687,,,,,,,,,,,,,,,,,,,,,,,,,0.05037432727660255,,,,,,
-7,1.0,,,1.0,1.0,0.27359693877551017,,0.00510204081632653,1.0,,1.0,,,,,,0.002551020408163265,,,,,,,,1.0,,,,1.0,,,0.9362244897959183,0.04766888440357828,,,,,,
-6,1.0,,,0.8469387755102041,1.0,0.00510204081632653,,0.002551020408163265,,,0.7653061224489796,,,,,,0.002551020408163265,,,,,,,,,,,,,1.0,,,0.03848436113575865,,,,,,
-5,1.0,,,1.0,1.0,0.003826530612244898,,0.003401360544217687,,1.0,,,,,,,0.413265306122449,,,,,,,,0.002551020408163265,1.0,,,,1.0,,,0.038180376959661796,,,,,,
-4,,,0.9795918367346939,0.9642857142857143,1.0,0.011479591836734693,,0.009353741496598638,,0.8864795918367347,1.0,1.0,,,,,0.36989795918367346,,,,0.8418367346938775,,,,,,,,,,,,0.03711675642479214,,,0.6785714285714286,,,
-3,1.0,,,0.6607142857142857,0.9496173469387755,0.006802721088435374,,0.00510204081632653,,1.0,,,,,,,0.002551020408163265,,,,,,,,0.002551020408163265,,,,,1.0,,,0.03658637873754153,,,,,,
-2,0.8341836734693878,,,0.8086734693877551,0.7755102040816326,0.1556122448979592,,0.00510204081632653,,0.8533163265306123,1.0,,,,,,0.002551020408163265,,,,0.8163265306122449,,,,0.14285714285714285,,,,,,,,0.041215710543737946,,,,,,
-1,0.8928571428571428,,0.9221938775510204,0.8494897959183674,0.6265306122448979,0.24298469387755103,,0.03571428571428571,,1.0,0.5178571428571429,0.951530612244898,,,,0.8928571428571429,0.260204081632653,,,,,,,,,,1.0,,,0.6403061224489797,,,0.037968777254491534,,,,,0.6696428571428572,
