cycle,AL,AR,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,,,,,1.0,0.005952380952380952,,0.046703296703296704,,,,,,,,,0.0027472527472527475,,,,,,,,,,,,,,,,0.06260146103896104,,,,,,
-12,1.0,,,,1.0,0.02087912087912088,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.06295035168274604,,,,,,
-11,,,,1.0,1.0,0.009890109890109891,,0.0027472527472527475,,,,,,,,,0.0027472527472527475,,,,,,,,,,,,,,,,0.06500511284259647,,,,,,
-10,,0.0027472527472527475,,1.0,,0.005494505494505495,,0.04120879120879121,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.054731033838682566,,,,,,
-9,1.0,,,,,0.015796703296703296,,0.004120879120879121,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.05492030492030492,,,,,,
-8,,,,1.0,,0.008241758241758242,,0.0036630036630036634,,,,,,,,,,,,,,,,,,,,,,,,,0.05393007775514303,,,,,,
-7,1.0,,,1.0,1.0,0.29464285714285715,,0.005494505494505495,1.0,,1.0,,,,,,0.0027472527472527475,,,,,,,,1.0,,,,1.0,,,1.0,0.05067825946946826,,,,,,
-6,1.0,,,0.9120879120879121,1.0,0.005494505494505495,,0.0027472527472527475,,,0.8241758241758241,,,,,,0.0027472527472527475,,,,,,,,,,,,,1.0,,,0.04136108456760631,,,,,,
-5,1.0,,,1.0,1.0,0.004120879120879121,,0.0036630036630036634,,1.0,,,,,,,0.44505494505494503,,,,,,,,0.0027472527472527475,1.0,,,,1.0,,,0.04092762970691454,,,,,,
-4,,,1.0,1.0,1.0,0.012362637362637364,,0.010073260073260074,,0.9162087912087913,1.0,1.0,,,,,0.3983516483516483,,,,0.9065934065934066,,,,,,,,,,,,0.039615766178266176,,,0.7307692307692307,,,
-3,1.0,,,0.7115384615384615,0.9649725274725275,0.007326007326007327,,0.005494505494505495,,1.0,,,,,,,0.0027472527472527475,,,,,,,,0.0027472527472527475,,,,,1.0,,,0.03927613084589829,,,,,,
-2,0.8727106227106227,,,0.8708791208791209,0.8351648351648352,0.16758241758241757,,0.005494505494505495,,0.8804945054945055,1.0,,,,,,0.0027472527472527475,,,,0.8791208791208791,,,,0.15384615384615385,,,,,,,,0.04343681706164076,,,,,,
-1,0.9230769230769231,,0.9546703296703297,0.8763736263736264,0.6747252747252748,0.2616758241758242,,0.038461538461538464,,1.0,0.5576923076923077,0.9734432234432234,,,,0.9615384615384616,0.2802197802197802,,,,,,,,,,1.0,,,0.6895604395604396,,,0.04041983657368273,,,,,0.7211538461538461,
0,0.5054945054945055,,0.5631868131868132,0.6648351648351648,1.0,0.33608058608058605,,0.0036630036630036634,,0.679945054945055,,0.6016483516483516,,1.0,0.6401098901098901,,,,,,,,,,0.0027472527472527475,,,,,1.0,,0.6016483516483516,0.06722512460217378,,,,,,
1,0.47967032967032963,,,0.7826236263736264,0.6497252747252747,0.0956043956043956,,0.005494505494505495,,,,,,,,0.4010989010989011,0.39340659340659345,,,0.5604395604395604,1.0,,,0.5384615384615384,0.21153846153846154,,,0.4368131868131868,,,,,0.09116828351232888,,,,,0.6991758241758241,
2,0.589010989010989,,,0.5263736263736264,0.6700799200799201,0.44209636517328826,0.32967032967032966,0.01098901098901099,,1.0,0.47197802197802197,0.8104395604395604,,,,0.3021978021978022,0.34752747252747257,,,,,,,0.4258241758241758,,,,,,0.39285714285714285,,0.543040293040293,0.07325891992138843,,0.3131868131868132,0.2774725274725275,,0.5425824175824175,
3,0.44120879120879125,,,0.20512820512820515,0.5116354234001292,0.31475667189952905,,0.006868131868131868,,0.24358974358974358,0.3870879120879121,,,,0.5082417582417582,0.49175824175824173,0.6032967032967033,0.29120879120879123,0.6291208791208791,,,,,0.5741758241758241,0.7197802197802198,,,,0.5673076923076923,0.31684981684981683,,0.5013736263736264,0.0705637985496285,,0.2912087912087912,,,0.5494505494505495,
4,0.26911630036630035,,0.3571428571428571,0.3547619047619047,0.32272990167727006,0.24976110845676064,,0.08333333333333333,0.04395604395604396,0.38827838827838823,0.31135531135531136,0.2032967032967033,0.38461538461538464,,0.11057692307692307,0.1726844583987441,0.13553113553113552,,0.7032967032967034,0.15831043956043955,,,0.6565934065934066,,0.4217032967032967,0.25755494505494503,0.26282051282051283,0.3131868131868132,,0.4206730769230769,,0.5697802197802198,0.06537285194733902,,,0.2,,0.75,
5,0.03270369526846211,0.05238095238095238,0.10282574568288853,0.06815346225826575,0.11021526782396347,0.07858420649118324,0.04998922645981469,0.01304945054945055,0.06861263736263737,0.11833094441790093,0.11365830115830117,0.06013431013431013,0.050366300366300375,0.10210622710622712,0.04377880184331798,0.05488898856245795,0.07213812677388835,0.04107796964939822,0.05923763736263736,0.019655602129828934,0.06307234432234432,0.18681318681318682,0.039148351648351655,0.0982546864899806,0.11393467643467645,0.04813496362792137,0.031525851197982346,0.012912087912087913,0.27884615384615385,0.060762766645119586,0.05013736263736264,0.08040865384615384,0.07785808428331793,,0.02893772893772894,0.04127579737335835,0.006410256410256411,0.21414835164835164,0.16025641025641024
6,0.03037273219286067,0.029304029304029304,0.061216561216561216,0.05542193655401203,0.12138405073187682,0.06871131988136668,0.05829670329670329,0.08180708180708181,0.10737179487179488,0.0907677848467322,0.08998895841001103,0.18487993487993487,0.08437990580847723,0.1111111111111111,0.021894771894771896,0.055156382079459,0.06805080165735904,0.03296703296703297,0.047669363603429535,0.02725148414803587,0.03736263736263736,0.03021978021978022,0.03271728271728272,0.03571428571428571,0.11177884615384615,0.05354962497819641,0.1767072213500785,0.041314454775993235,0.13839285714285715,0.08681065478300501,0.05979314802844214,0.08574703442253111,0.05858130182454507,0.03983516483516484,0.016636141636141636,0.030375285092266224,0.013186813186813187,0.0819327731092437,0.11675824175824175
7,0.0249815973500184,0.016272189349112426,0.05577189800490771,0.0677245168624479,0.10850540588443815,0.08073100812231247,0.06608957080655194,0.04807692307692308,0.07008417114800093,0.06282320620555915,0.07371794871794872,0.22174254317111458,0.09581043956043955,0.17513736263736263,0.027472527472527472,0.05624483043837883,0.04815678507538972,0.08408555729984302,0.042624900872323554,0.04579493087557604,0.08023594053005818,0.013736263736263736,0.14148351648351648,0.02655677655677656,0.15765866786274949,0.051501315585822625,0.026385073260073263,0.02601809954751131,0.10566356720202874,0.05372016518513334,0.09761904761904763,0.07067012741859369,0.06767909249749443,,0.0380690737833595,0.032015014688282016,0.08214285714285714,0.08636675824175824,0.07211538461538462
