cycle,AL,AR,CA,CO,FL,GA,IL,IN,KS,KY,LA,MI,MN,MO,MS,ND,NE,NV,NY,OH,OK,OR,PA,SC,TN,TX,WA,WV
-13,,,,,1.0,0.004072681704260651,0.03195488721804511,,,,,,,,0.0018796992481203006,,,,,,,,,,,0.04328114319890636,,
-12,1.0,,,,1.0,0.014285714285714285,,,,,1.0,,,,,,,,,,,,,,,0.043286031981361855,,
-11,,,,1.0,1.0,0.006766917293233083,0.0018796992481203006,,,,,,,,0.0018796992481203006,,,,,,,,,,,0.044891061204781285,,
-10,,0.0018796992481203006,,0.9906015037593985,,0.0037593984962406013,0.02819548872180451,,,,,,,,,,,,,,,,,1.0,,0.03834213721272019,,
-9,1.0,,,,,0.010808270676691729,0.002819548872180451,,1.0,,,,,,,,,,,,,,,,,0.038389893653051545,,
-8,,,,0.9191729323308271,,0.005639097744360902,0.002506265664160401,,,,,,,,,,,,,,,,,,,0.03807740630950745,,
-7,1.0,,,0.75,0.9407894736842105,0.20159774436090225,0.0037593984962406013,1.0,,0.9210526315789473,,,,,0.0018796992481203006,,,,1.0,,,,0.943609022556391,,0.6898496240601504,0.037112010796221326,,
-6,0.9360902255639098,,,0.6240601503759399,0.9166666666666666,0.0037593984962406013,0.0018796992481203006,,,0.5639097744360902,,,,,0.0018796992481203006,,,,,,,,,1.0,,0.028642938868911404,,
-5,1.0,,,0.8890977443609023,0.9548872180451128,0.002819548872180451,0.002506265664160401,,1.0,,,,,,0.3045112781954887,,,,0.0018796992481203006,0.8233082706766918,,,,1.0,,0.02878188071906029,,
-4,,,0.7218045112781954,0.8421052631578947,0.806390977443609,0.008458646616541353,0.006892230576441102,,0.7265037593984962,0.8928571428571429,1.0,,,,0.2725563909774436,,0.6203007518796992,,,,,,,,,0.02824552701197438,0.5,
-3,1.0,,,0.48684210526315785,0.7739661654135339,0.005012531328320802,0.0037593984962406013,,1.0,,,,,,0.0018796992481203006,,,,0.0018796992481203006,,,,,0.9172932330827067,,0.027006469662528416,,
-2,0.7023809523809524,,,0.5958646616541353,0.5714285714285714,0.11466165413533834,0.0037593984962406013,,0.7603383458646616,0.9379699248120301,,,,,0.0018796992481203006,,0.6015037593984962,,0.10526315789473684,,,,,,,0.030684963466494162,,
-1,0.7180451127819549,,0.7429511278195489,0.7575187969924813,0.4616541353383458,0.17904135338345864,0.02631578947368421,,1.0,0.3815789473684211,0.8765664160401002,,,0.6578947368421053,0.19172932330827067,,,,,,0.9229323308270677,,,0.4718045112781955,,0.02842362316046526,,0.4934210526315789
0,0.3458646616541353,,0.38533834586466165,0.49758324382384533,1.0,0.2537593984962406,0.002506265664160401,,0.46522556390977443,,0.4116541353383459,0.8289473684210527,0.43796992481203006,,,,,,0.0018796992481203006,,,,,0.7105263157894737,0.4116541353383459,0.04782447923086404,,
1,0.3281954887218045,,,0.6104323308270676,0.45708020050125314,0.06541353383458648,0.0037593984962406013,,,,,,,0.2744360902255639,0.2830827067669173,0.38345864661654133,0.768796992481203,0.368421052631579,0.14473684210526316,,,0.29887218045112784,,,,0.06405190670437909,,0.4783834586466166
