cycle,AL,AR,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MN,MO,MS,MT,NC,ND,NE,NV,NY,OH,OK,OR,PA,SC,TN,TX,VA,WA,WV
-13,,,,,1.0,0.004551820728291317,,0.03571428571428571,,,,,,,,0.0021008403361344537,,,,,,,,,,,,,0.04820593009931245,,,
-12,1.0,,,,1.0,0.01596638655462185,,,,,,1.0,,,,,,,,,,,,,,,,,0.04837850633211031,,,
-11,,,,1.0,1.0,0.0075630252100840345,,0.0021008403361344537,,,,,,,,0.0021008403361344537,,,,,,,,,,,,,0.05001817240657731,,,
-10,,0.0021008403361344537,,1.0,,0.004201680672268907,,0.03151260504201681,,,,,,,,,,,,,,,,,,,1.0,,0.04251969909776942,,,
-9,1.0,,,,,0.012079831932773108,,0.0031512605042016808,,1.0,,,,,,,,,,,,,,,,,,,0.04260352789764554,,,
-8,,,,0.9684873949579832,,0.0063025210084033615,,0.0028011204481792717,,,,,,,,,,,,,,,,,,,,,0.04217587818417184,,,
-7,1.0,,,0.8382352941176471,1.0,0.22531512605042017,,0.004201680672268907,1.0,,1.0,,,,,0.0021008403361344537,,,,,,1.0,,,,1.0,,0.7710084033613446,0.04067267932814152,,,
-6,0.9873949579831933,,,0.6974789915966386,0.9705882352941176,0.004201680672268907,,0.0021008403361344537,,,0.6302521008403361,,,,,0.0021008403361344537,,,,,,,,,,,1.0,,0.03188481914504932,,,
-5,1.0,,,0.9936974789915967,1.0,0.0031512605042016808,,0.0028011204481792717,,1.0,,,,,,0.3403361344537815,,,,,,0.0021008403361344537,0.9201680672268907,,,,1.0,,0.03187785595125843,,,
-4,,,0.8067226890756303,0.8823529411764706,0.9012605042016807,0.009453781512605043,,0.007703081232492997,,0.8119747899159664,0.9978991596638656,1.0,,,,0.30462184873949577,,,,0.6932773109243697,,,,,,,,,0.03129619903516962,,0.5588235294117647,
-3,1.0,,,0.5441176470588236,0.8650210084033614,0.0056022408963585435,,0.004201680672268907,,1.0,,,,,,0.0021008403361344537,,,,,,0.0021008403361344537,,,,,1.0,,0.030183701387531757,,,
-2,0.7457983193277311,,,0.6659663865546218,0.6386554621848739,0.1281512605042017,,0.004201680672268907,,0.7909663865546219,1.0,,,,,0.0021008403361344537,,,,0.6722689075630253,,0.11764705882352941,,,,,,,0.034294959168434655,,,
-1,0.8025210084033614,,0.8303571428571428,0.7878151260504201,0.5159663865546218,0.20010504201680673,,0.02941176470588235,,1.0,0.4264705882352941,0.9012605042016807,,,0.7352941176470589,0.21428571428571427,,,,,,,,1.0,,,0.5273109243697479,,0.03170652876535229,,,0.5514705882352942
0,0.3865546218487395,,0.43067226890756305,0.5561224489795918,1.0,0.28361344537815125,,0.0028011204481792717,,0.5199579831932774,,0.46008403361344535,0.9264705882352942,0.4894957983193277,,,,,,,,0.0021008403361344537,,,,,0.7941176470588235,0.46008403361344535,0.053324608531937365,,,
1,0.36680672268907566,,,0.6675420168067226,0.5108543417366946,0.07310924369747898,,0.004201680672268907,,,,,,,0.3067226890756303,0.3163865546218487,,,0.4285714285714286,0.8592436974789915,0.4117647058823529,0.16176470588235295,,,0.33403361344537813,,,,0.07156756842623628,,,0.5346638655462185
2,0.4504201680672269,,,0.4098739495798319,0.5338044308632545,0.33807369101486745,0.25210084033613445,0.008403361344537815,,1.0,0.36092436974789915,0.7373949579831933,,,0.23109243697478993,0.2657563025210084,,,,,0.32563025210084034,,,,,,0.3004201680672269,0.41526610644257705,0.05669358423470144,0.23949579831932774,0.21218487394957983,0.4149159663865546
3,0.34747899159663864,,,0.1568627450980392,0.39236282748393475,0.24069627851140457,,0.005252100840336135,,0.18627450980392157,0.29600840336134454,,,0.3886554621848739,0.3760504201680672,0.5554621848739496,0.22268907563025211,0.4810924369747899,,,0.43907563025210083,0.5504201680672269,,,,0.4338235294117647,0.242296918767507,0.3834033613445378,0.054332664239784986,0.2226890756302521,,0.42016806722689076
