cycle,AL,AR,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MN,MO,MS,ND,NE,NV,NY,OH,OK,OR,PA,SC,TN,TX,VA,WA,WV
-13,,,,,1.0,0.004298941798941799,,0.03373015873015873,,,,,,,,0.001984126984126984,,,,,,,,,,,0.04560673701298701,,,
-12,1.0,,,,1.0,0.015079365079365078,,,,,,1.0,,,,,,,,,,,,,,,0.045690811535881955,,,
-11,,,,1.0,1.0,0.007142857142857143,,0.001984126984126984,,,,,,,,0.001984126984126984,,,,,,,,,,,0.04731219705007385,,,
-10,,0.001984126984126984,,1.0,,0.003968253968253968,,0.029761904761904757,,,,,,,,,,,,,,,,,1.0,,0.04031487476954899,,,
-9,1.0,,,,,0.011408730158730158,,0.002976190476190476,,1.0,,,,,,,,,,,,,,,,,0.04037966537966538,,,
-8,,,,0.9424603174603174,,0.005952380952380952,,0.0026455026455026454,,,,,,,,,,,,,,,,,,,0.04004776410128891,,,
-7,1.0,,,0.7916666666666666,0.9761904761904762,0.21279761904761904,,0.003968253968253968,1.0,,0.9722222222222222,,,,,0.001984126984126984,,,,1.0,,,,0.996031746031746,,0.7281746031746031,0.03882008643913406,,,
-6,0.9603174603174602,,,0.6587301587301587,0.9490740740740741,0.003968253968253968,,0.001984126984126984,,,0.5952380952380952,,,,,0.001984126984126984,,,,,,,,,1.0,,0.030173826777087645,,,
-5,1.0,,,0.9384920634920635,0.9801587301587302,0.002976190476190476,,0.0026455026455026454,,1.0,,,,,,0.32142857142857145,,,,0.001984126984126984,0.8690476190476191,,,,1.0,,0.030243869023153857,,,
-4,,,0.7619047619047619,0.8611111111111112,0.8511904761904762,0.008928571428571428,,0.007275132275132275,,0.7668650793650793,0.9424603174603174,1.0,,,,0.2876984126984127,,0.6547619047619048,,,,,,,,,0.0296861221340388,,0.5277777777777778,
-3,1.0,,,0.513888888888889,0.8169642857142857,0.005291005291005291,,0.003968253968253968,,1.0,,,,,,0.001984126984126984,,,,0.001984126984126984,,,,,0.9682539682539683,,0.028506829088224436,,,
-2,0.7228835978835978,,,0.628968253968254,0.6031746031746031,0.121031746031746,,0.003968253968253968,,0.7748015873015873,0.9900793650793651,,,,,0.001984126984126984,,0.6349206349206349,,0.1111111111111111,,,,,,,0.03238968365907717,,,
-1,0.7579365079365079,,0.7842261904761905,0.7718253968253969,0.48730158730158724,0.18898809523809523,,0.027777777777777776,,1.0,0.4027777777777778,0.8882275132275131,,,0.6944444444444444,0.20238095238095236,,,,,,0.9742063492063492,,,0.498015873015873,,0.030002713336046666,,,0.5208333333333334
0,0.36507936507936506,,0.40674603174603174,0.5252267573696145,1.0,0.26785714285714285,,0.0026455026455026454,,0.4910714285714286,,0.43452380952380953,0.875,0.4623015873015873,,,,,,0.001984126984126984,,,,,0.75,0.43452380952380953,0.050481394743689824,,,
1,0.3464285714285714,,,0.6374007936507936,0.48247354497354494,0.06904761904761905,,0.003968253968253968,,,,,,,0.2896825396825397,0.2988095238095238,0.40476190476190477,0.8115079365079365,0.38888888888888884,0.15277777777777776,,,0.31547619047619047,,,,0.06761034596573348,,,0.5049603174603174
2,0.4253968253968254,,,0.3871031746031746,0.5091991341991342,0.3192918192918193,0.23809523809523808,0.007936507936507936,,1.0,0.3408730158730159,0.7242063492063492,,,0.21825396825396826,0.2509920634920635,,,0.30753968253968256,,,,,,0.2837301587301587,0.3921957671957672,0.05361390987965295,0.2261904761904762,0.2003968253968254,0.39186507936507936
