cycle,AL,AR,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NM,NV,NY,OH,OK,OR,PA,SC,TN,TX,VA,WA,WV
-13,,,,,1.0,0.004836309523809524,,0.03794642857142857,,,,,,,,,0.002232142857142857,,,,,,,,,,,,,,0.051130022321428575,,,
-12,1.0,,,,1.0,0.016964285714285716,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.051402162977867205,,,
-11,,,,1.0,1.0,0.008035714285714285,,0.002232142857142857,,,,,,,,,0.002232142857142857,,,,,,,,,,,,,,0.053062394682643704,,,
-10,,0.002232142857142857,,1.0,,0.004464285714285714,,0.033482142857142856,,,,,,,,,,,,,,,,,,,,,1.0,,0.0450001264670174,,,
-9,1.0,,,,,0.012834821428571428,,0.0033482142857142855,,1.0,,,,,,,,,,,,,,,,,,,,,0.04510537323037323,,,
-8,,,,0.9977678571428572,,0.006696428571428571,,0.002976190476190476,,,,,,,,,,,,,,,,,,,,,,,0.04456709250279746,,,
-7,1.0,,,0.890625,1.0,0.23939732142857142,,0.004464285714285714,1.0,,1.0,,,,,,0.002232142857142857,,,,,,,1.0,,,,1.0,,0.8191964285714286,0.0427568463282749,,,
-6,1.0,,,0.7410714285714286,0.9895833333333334,0.004464285714285714,,0.002232142857142857,,,0.6696428571428571,,,,,,0.002232142857142857,,,,,,,,,,,,1.0,,0.033809685559006215,,,
-5,1.0,,,1.0,1.0,0.0033482142857142855,,0.002976190476190476,,1.0,,,,,,,0.3616071428571429,,,,,,,0.002232142857142857,0.9776785714285714,,,,1.0,,0.03371609124537608,,,
-4,,,0.8571428571428571,0.90625,0.9575892857142857,0.010044642857142856,,0.00818452380952381,,0.8381696428571428,1.0,1.0,,,,,0.3236607142857143,,,,0.7366071428571429,,,,,,,,,,0.03305328207671958,,0.59375,
-3,1.0,,,0.578125,0.8967633928571428,0.005952380952380952,,0.004464285714285714,,1.0,,,,,,,0.002232142857142857,,,,,,,0.002232142857142857,,,,,1.0,,0.032070182724252494,,,
-2,0.7715773809523809,,,0.7075892857142857,0.6785714285714285,0.1361607142857143,,0.004464285714285714,,0.8091517857142857,1.0,,,,,,0.002232142857142857,,,,0.7142857142857143,,,0.125,,,,,,,0.03643839411646182,,,
-1,0.84375,,0.8694196428571428,0.8058035714285714,0.5482142857142857,0.21261160714285715,,0.03125,,1.0,0.453125,0.9159226190476191,,,,0.78125,0.22767857142857142,,,,,,,,,1.0,,,0.5602678571428572,,0.033581349206349205,,,0.5859375
0,0.4107142857142857,,0.4575892857142857,0.5845025510204082,1.0,0.30133928571428575,,0.002976190476190476,,0.5524553571428572,,0.4888392857142857,,0.984375,0.5200892857142857,,,,,,,,,0.002232142857142857,,,,,0.84375,0.4888392857142857,0.056346360265417644,,,
1,0.38973214285714286,,,0.7014508928571429,0.542782738095238,0.07767857142857142,,0.004464285714285714,,,,,,,,0.32589285714285715,0.33616071428571426,,,0.4553571428571429,0.9129464285714286,,0.4375,0.171875,,,0.3549107142857143,,,,0.07570719686740482,,,0.5680803571428572
2,0.47857142857142854,,,0.43549107142857146,0.5614853896103896,0.35920329670329665,0.26785714285714285,0.008928571428571428,,1.0,0.3834821428571429,0.7522321428571428,,,,0.24553571428571427,0.28236607142857145,,,,,,0.34598214285714285,,,,,,0.31919642857142855,0.44122023809523814,0.06009918136020151,0.2544642857142857,0.22544642857142858,0.4408482142857143
3,0.36919642857142854,,,0.16666666666666666,0.41688550420168063,0.2557397959183673,,0.005580357142857142,,0.19791666666666666,0.31450892857142854,,,,0.4129464285714286,0.39955357142857145,0.5651785714285714,0.23660714285714285,0.5111607142857143,,,,0.46651785714285715,0.5848214285714286,,,,0.4609375,0.2574404761904762,0.40736607142857145,0.057669715153267784,0.23660714285714285,,0.44642857142857145
4,0.21865699404761904,,0.29017857142857145,0.29985119047619047,0.26221804511278196,0.20293090062111802,,0.06770833333333333,0.03571428571428571,0.34672619047619047,0.25297619047619047,0.16517857142857142,0.3125,,0.08984375,0.14030612244897958,0.11011904761904762,,0.5714285714285715,0.12862723214285715,,0.5334821428571429,,0.3426339285714286,0.20926339285714285,0.21354166666666666,0.2544642857142857,,0.35323660714285715,0.47834821428571433,0.05344200012743724,,0.1625,0.703125
