cycle,AL,AR,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV,WY
-13,,,,,1.0,0.005158730158730159,,0.04047619047619048,,,,,,,,,0.002380952380952381,,,,,,,,,,,,,,,,0.05444399350649351,,,,,
-12,1.0,,,,1.0,0.018095238095238095,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.05476563082196885,,,,,
-11,,,,1.0,1.0,0.008571428571428572,,0.002380952380952381,,,,,,,,,0.002380952380952381,,,,,,,,,,,,,,,,0.05651251326218561,,,,,
-10,,0.002380952380952381,,1.0,,0.004761904761904762,,0.03571428571428572,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.04781127748549845,,,,,
-9,1.0,,,,,0.01369047619047619,,0.0035714285714285718,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.04794079794079794,,,,,
-8,,,,1.0,,0.007142857142857142,,0.003174603174603175,,,,,,,,,,,,,,,,,,,,,,,,,0.047277135397239836,,,,,
-7,1.0,,,0.95,1.0,0.25535714285714284,,0.004761904761904762,1.0,,1.0,,,,,,0.002380952380952381,,,,,,,,1.0,,,,1.0,,,0.8738095238095238,0.04506075934647363,,,,,
-6,1.0,,,0.7904761904761904,1.0,0.004761904761904762,,0.002380952380952381,,,0.7142857142857143,,,,,,0.002380952380952381,,,,,,,,,,,,,1.0,,,0.03599120082815735,,,,,
-5,1.0,,,1.0,1.0,0.0035714285714285718,,0.003174603174603175,,1.0,,,,,,,0.38571428571428573,,,,,,,,0.002380952380952381,1.0,,,,1.0,,,0.03579942457870942,,,,,
-4,,,0.9142857142857143,0.9333333333333333,1.0,0.010714285714285714,,0.00873015873015873,,0.8607142857142858,1.0,1.0,,,,,0.34523809523809523,,,,0.7857142857142857,,,,,,,,,,,,0.034950947971781304,,0.6333333333333333,,,
-3,1.0,,,0.6166666666666667,0.9232142857142858,0.00634920634920635,,0.004761904761904762,,1.0,,,,,,,0.002380952380952381,,,,,,,,0.002380952380952381,,,,,1.0,,,0.03420819490586933,,,,,
-2,0.8007936507936507,,,0.7547619047619047,0.7238095238095239,0.14523809523809525,,0.004761904761904762,,0.8297619047619047,1.0,,,,,,0.002380952380952381,,,,0.7619047619047619,,,,0.13333333333333333,,,,,,,,0.03881724763248036,,,,,
-1,0.8666666666666667,,0.8940476190476191,0.8261904761904761,0.5847619047619047,0.22678571428571428,,0.03333333333333333,,1.0,0.48333333333333334,0.9325396825396824,,,,0.8333333333333334,0.24285714285714285,,,,,,,,,,1.0,,,0.5976190476190476,,,0.03567765567765568,,,,0.625,
0,0.4380952380952381,,0.4880952380952381,0.6139455782312925,1.0,0.32142857142857145,,0.003174603174603175,,0.5892857142857143,,0.5214285714285715,,1.0,0.5547619047619048,,,,,,,,,,0.002380952380952381,,,,,0.9,,0.5214285714285715,0.05973848555815769,,,,,
1,0.41571428571428576,,,0.7389880952380953,0.578968253968254,0.08285714285714285,,0.004761904761904762,,,,,,,,0.3476190476190476,0.3585714285714286,,,0.48571428571428577,0.9738095238095238,,,0.4666666666666667,0.18333333333333332,,,0.37857142857142856,,,,,0.0803762714915834,,,,0.6059523809523809,
2,0.5104761904761904,,,0.46452380952380956,0.5928571428571429,0.3831501831501832,0.2857142857142857,0.009523809523809525,,1.0,0.409047619047619,0.769047619047619,,,,0.2619047619047619,0.30119047619047623,,,,,,,0.36904761904761907,,,,,,0.3404761904761905,,0.4706349206349207,0.06393786733837112,0.2714285714285714,0.24047619047619048,,0.47023809523809523,
3,0.3938095238095238,,,0.17777777777777778,0.44467787114845936,0.27278911564625846,,0.005952380952380952,,0.2111111111111111,0.3354761904761905,,,,0.44047619047619047,0.4261904761904762,0.5761904761904761,0.2523809523809524,0.5452380952380952,,,,,0.4976190476190476,0.6238095238095238,,,,0.4916666666666667,0.27460317460317457,,0.43452380952380953,0.06143724696356276,0.2523809523809524,,,0.47619047619047616,
4,0.23323412698412696,,0.3095238095238095,0.3163492063492063,0.2796992481203007,0.21645962732919255,,0.07222222222222223,0.0380952380952381,0.35873015873015873,0.2698412698412698,0.1761904761904762,0.3333333333333333,,0.09583333333333334,0.14965986394557823,0.11746031746031745,,0.6095238095238095,0.13720238095238096,,,0.569047619047619,,0.36547619047619045,0.22321428571428573,0.22777777777777777,0.2714285714285714,,0.3767857142857143,,0.5071428571428571,0.05694320547130539,,0.17333333333333334,,0.7166666666666667,
5,0.02834320256600049,0.0453968253968254,0.09229024943310657,0.060813058847993345,0.09551989878076836,0.06834483346111253,0.04332399626517274,0.01130952380952381,0.05946428571428571,0.10448585231193927,0.098503861003861,0.05211640211640212,0.043650793650793655,0.0884920634920635,0.03794162826420891,0.04757045675413023,0.06251970987070324,0.035600907029478455,0.05133928571428571,0.017034855179185078,0.05466269841269841,0.1619047619047619,0.033928571428571426,0.08515406162464986,0.09874338624338624,0.04171696847753186,0.027322404371584702,0.011190476190476192,0.24166666666666664,0.0526610644257703,0.04345238095238095,0.0696875,0.06805740987983978,0.02507936507936508,0.03577235772357724,0.005555555555555557,0.1855952380952381,0.1388888888888889
