rosters
AL-Blount
AL-Cherokee
AL-Chilton
AL-Choctaw
AL-Clay
AL-Covington
AL-DeKalb
AL-Etowah
AL-Franklin
AL-Jefferson
AL-Jefferson_Birmingham
AL-Limestone
AL-Marion
AL-Marshall
AL-Mobile
AL-Monroe
AL-Pickens
AL-Pike
AL-Randolph
AL-Shelby
AL-St_Clair
AL-Washington
AR-Benton
AR-Boone
AR-Calhoun
AR-Columbia
AR-Craighead
AR-Crittenden
AR-Cross
AR-Drew
AR-Dumas
AR-Franklin
AR-Hempstead
AR-Howard
AR-Izard
AR-Jefferson
AR-Johnson
AR-Lincoln
AR-Marion
AR-Monroe
AR-Nevada
AR-Newton
AR-Poinsett
AR-Pope
AR-Pulaski
AR-Randolph
AR-Searcy
AR-Washington
AR-White
AR-Yell
AZ-Yuma
CA-Kern
CA-Kings
CA-Mariposa
CA-Mendocino
CA-Merced
CA-Monterey
CA-San_Mateo
CA-Santa_Cruz
CA-Sutter
CA-Tehama
CO-Arapahoe
CO-Bent
CO-Jefferson
CO-Larimer
CO-Pueblo
FL-Alachua
FL-Bradford
FL-Broward
FL-Clay
FL-DeSoto
FL-Escambia
FL-Flagler
FL-Indian_River
FL-Leon
FL-Levy
FL-Nassau
FL-Okaloosa
FL-Osceola
FL-Pasco
FL-Putnam
FL-Santa_Rosa
FL-St_Lucie
FL-Suwannee
FL-Taylor
FL-Walton
FL-Washington
GA-Bartow
GA-Bulloch
GA-Burke
GA-Carroll
GA-Catoosa
GA-Clayton
GA-Cobb
GA-Columbia
GA-Coweta
GA-Dawson
GA-Decatur
GA-Douglas
GA-Effingham
GA-Floyd
GA-Gordon
GA-Hall
GA-Haralson
GA-Houston
GA-Jackson
GA-Liberty
GA-Lumpkin
GA-Madison
GA-Monroe
GA-Newton
GA-Oconee
GA-Paulding
GA-Pickens
GA-Pierce
GA-Polk
GA-Rabun
GA-Rockdale
GA-Sumter
GA-Tattnall
GA-Toombs
GA-Union
GA-Upson
GA-Whitfield
IA-Buena_Vista
IA-Clinton
IA-Dallas
IA-Dickinson
IA-Ida
IA-Linn
IA-Osceola
IA-Pottawattamie
IA-Scott
IA-Story
ID-Elmore
ID-Power
IL-Champaign
IL-Crawford
IL-Douglas
IL-Kendall
IL-Macon
IL-Peoria
IL-Randolph
IL-Will
IL-Woodford
IN-Boone
IN-Dearborn
IN-Delaware
IN-Dubois
IN-Grant
IN-Hamilton
IN-Hancock
IN-Howard
IN-Jackson
IN-Knox
IN-La_Porte
IN-Lake
IN-Madison
IN-Marion
IN-Montgomery
IN-Perry
IN-Porter
IN-Pulaski
IN-Ripley
IN-Scott
IN-Shelby
IN-St_Joseph
IN-Starke
IN-Steuben
IN-Tippecanoe
IN-Vigo
IN-Washington
IN-Whitley
KS-Brown
KS-Chase
KS-Cherokee
KS-Coffey
KS-Crawford
KS-Dickinson
KS-Doniphan
KS-Finney
KS-Geary
KS-Jackson
KS-Jefferson
KS-Labette
KS-Marion
KS-McPherson
KS-Pratt
KS-Reno
KS-Rooks
KS-Shawnee
KS-Sumner
KS-Thomas
KS-Wabaunsee
KS-Wyandotte
KY-Adair
KY-Barren
KY-Bell
KY-Big_Sandy
KY-Boone
KY-Boyle
KY-Breckinridge
KY-Bullitt
KY-Calloway
KY-Campbell
KY-Carroll
KY-Carter
KY-Casey
KY-Christian
KY-Clark
KY-Clay
KY-Daviess
KY-Fulton
KY-Grant
KY-Graves
KY-Hardin
KY-Harlan
KY-Hopkins
KY-Jackson
KY-Jessamine
KY-Kenton
KY-Larue
KY-Laurel
KY-Letcher
KY-Mason
KY-McCracken
KY-Montgomery
KY-Muhlenberg
KY-Nelson
KY-Ohio
KY-Oldham
