rosters
AL-Autauga
AL-Blount
AL-Butler
AL-Calhoun
AL-Chambers
AL-Cherokee
AL-Chilton
AL-Choctaw
AL-Clay
AL-Cleburne
AL-Covington
AL-Dale
AL-DeKalb
AL-Etowah
AL-Franklin
AL-Greene
AL-Jefferson
AL-Jefferson_Birmingham
AL-Limestone
AL-Marion
AL-Marshall
AL-Mobile
AL-Monroe
AL-Pickens
AL-Randolph
AL-Shelby
AL-Washington
AR-Benton
AR-Boone
AR-Calhoun
AR-Columbia
AR-Craighead
AR-Crittenden
AR-Cross
AR-Dumas
AR-Franklin
AR-Hempstead
AR-Howard
AR-Izard
AR-Jefferson
AR-Johnson
AR-Lincoln
AR-Marion
AR-Monroe
AR-Nevada
AR-Newton
AR-Pulaski
AR-Randolph
AR-Searcy
AR-Washington
AR-White
AR-Yell
AZ-Apache
AZ-Navajo
AZ-Pima
AZ-Yuma
CA-Fresno
CA-Humboldt
CA-Inyo
CA-Kern
CA-Kings
CA-Marin
CA-Mariposa
CA-Mendocino
CA-Merced
CA-Mono
CA-Napa
CA-Nevada
CA-San_Mateo
CA-Santa_Barbara
CA-Santa_Cruz
CA-Sutter
CA-Tehama
CO-Adams
CO-Arapahoe
CO-Bent
CO-Jefferson
CO-Larimer
CO-Pueblo
FL-Alachua
FL-Bradford
FL-Broward
FL-Clay
FL-Columbia
FL-DeSoto
FL-Escambia
FL-Flagler
FL-Hamilton
FL-Indian_River
FL-Leon
FL-Levy
FL-Monroe
FL-Okaloosa
FL-Orange
FL-Osceola
FL-Pasco
FL-Putnam
FL-Santa_Rosa
FL-St_Lucie
FL-Suwannee
FL-Taylor
FL-Walton
FL-Washington
GA-Athens_Clarke
GA-Bartow
GA-Bulloch
GA-Burke
GA-Carroll
GA-Catoosa
GA-Clayton
GA-Cobb
GA-Columbia
GA-Coweta
GA-Dawson
GA-Decatur
GA-Douglas
GA-Effingham
GA-Floyd
GA-Gordon
GA-Habersham
GA-Hall
GA-Haralson
GA-Houston
GA-Jackson
GA-Lamar
GA-Liberty
GA-Lumpkin
GA-Madison
GA-Monroe
GA-Oconee
GA-Paulding
GA-Pickens
GA-Pierce
GA-Polk
GA-Rabun
GA-Rockdale
GA-Sumter
GA-Tattnall
GA-Toombs
GA-Troup
GA-Union
GA-Upson
GA-Whitfield
IA-Buena_Vista
IA-Clinton
IA-Dallas
IA-Dickinson
IA-Hardin
IA-Ida
IA-Linn
IA-Pottawattamie
IA-Scott
IA-Sioux
IA-Story
ID-Blaine
ID-Bonneville
ID-Cassia
ID-Elmore
ID-Nez_Perce
ID-Power
ID-Washington
IL-Crawford
IL-Douglas
IL-Kankakee
IL-Kendall
IL-Macon
IL-Randolph
IL-Tazewell
IL-Will
IL-Woodford
IN-Boone
IN-Dearborn
IN-Delaware
IN-Dubois
IN-Grant
IN-Hamilton
IN-Hancock
IN-Hendricks
IN-Howard
IN-Jackson
IN-Knox
IN-La_Porte
IN-Lake
IN-Madison
IN-Marion
IN-Montgomery
IN-Perry
IN-Porter
IN-Pulaski
IN-Ripley
IN-Scott
IN-Shelby
IN-St_Joseph
IN-Starke
IN-Steuben
IN-Tippecanoe
IN-Vigo
IN-Washington
IN-Whitley
KS-Brown
KS-Chase
KS-Cherokee
KS-Coffey
KS-Crawford
KS-Dickinson
KS-Doniphan
KS-Finney
KS-Geary
KS-Jackson
KS-Jefferson
KS-Labette
KS-Marion
KS-McPherson
KS-Phillips
KS-Pratt
KS-Reno
KS-Rooks
KS-Shawnee
KS-Sumner
KS-Thomas
KS-Wabaunsee
KS-Wyandotte
KY-Adair
KY-Allen
KY-Barren
KY-Bell
KY-Big_Sandy
KY-Boone
KY-Boyle
KY-Breckinridge
KY-Bullitt
KY-Calloway
KY-Campbell
KY-Carroll
KY-Carter
KY-Casey
KY-Christian
KY-Clark
KY-Clay
KY-Daviess
KY-Fulton
KY-Grant
KY-Graves
KY-Hardin
KY-Harlan
KY-Hopkins
KY-Jackson
KY-Jessamine
KY-Kenton
KY-Larue
KY-Laurel
KY-Letcher
KY-Logan
KY-Mason
KY-McCracken
KY-Montgomery
KY-Muhlenberg
KY-Nelson
KY-Ohio
KY-Oldham
KY-Pike
KY-Pulaski
KY-Rockcastle
KY-Rowan
KY-Russell
KY-Scott
KY-Shelby
KY-Taylor
KY-Three_Forks
KY-Warren
KY-Webster
KY-Woodford
LA-Acadia
LA-Allen
LA-Assumption
LA-Avoyelles
LA-Beauregard
LA-Bienville
LA-Bogalusa_City
LA-Bossier
LA-Caddo
LA-Calcasieu
LA-Caldwell
LA-Catahoula
LA-Claiborne
LA-Concordia
LA-DeSoto
LA-East_Feliciana
LA-Franklin
LA-Hammond_City
LA-Iberia
LA-Jefferson
LA-LaSalle
LA-Lafourche
LA-Morehouse
LA-Natchitoches
LA-Oakdale
LA-Orleans
LA-Ouachita
LA-Plaquemines
LA-Pointe_Coupee
LA-Rapides
LA-Red_River
LA-Richland
LA-Sabine
LA-St_Charles
LA-St_Helena
LA-St_James
LA-St_John
LA-St_Landry
LA-St_Martin
LA-Sulphur
LA-Tangipahoa
LA-Tensas
LA-Terrebonne
LA-Vernon
LA-Ville_Platte
LA-Webster
LA-West_Baton_Rouge
LA-West_Carroll
LA-West_Feliciana
LA-Winn
LA-Winnfield
MD-Allegany
MD-Anne_Arundel
MD-Calvert
MD-Dorchester
MD-Wicomico
ME-Penobscot
MI-Berrien
MI-Isabella
MI-Kalamazoo
MI-Marquette
MI-Midland
MI-St_Clair
MN-Anoka
MN-Becker
MN-Benton
MN-Clay
MN-Clearwater
MN-Crow_Wing
MN-Dakota
MN-Faribault
MN-Houston
MN-Kandiyohi
MN-Lac_Qui_Parle
MN-Le_Sueur
MN-Lyon
MN-McLeod
MN-Mille_Lacs
MN-Morrison
MN-Nicollet
MN-Pipestone
MN-Polk
MN-Redwood
MN-Renville
MN-Rice
MN-Scott
MN-Sibley
MN-St_Louis
MN-Swift
MN-Todd
MN-Wadena
MN-Wilkin
MN-Winona
MN-Yellow_Medicine
MO-Benton
MO-Bollinger
MO-Boone
MO-Buchanan
MO-Cape_Girardeau
MO-Cass
MO-Cedar
MO-Cooper
MO-Daviess
MO-Greene
MO-Grundy
MO-Howard
MO-Lawrence
MO-Lewis
MO-Marion
MO-McDonald
MO-Mississippi
MO-Monroe
MO-Morgan
MO-Nodaway
MO-Perry
MO-Platte
MO-Randolph
MO-Saline
MO-Scott
MO-Stone
MS-Calhoun
MS-Clay
MS-DeSoto
MS-Forrest
MS-Hancock
