rosters
AL-Autauga
AL-Blount
AL-Calhoun
AL-Cherokee
AL-Chilton
AL-Clay
AL-Covington
AL-Dale
AL-DeKalb
AL-Etowah
AL-Franklin
AL-Jefferson
AL-Jefferson_Birmingham
AL-Limestone
AL-Marion
AL-Marshall
AL-Pickens
AR-Benton
AR-Boone
AR-Calhoun
AR-Columbia
AR-Craighead
AR-Crittenden
AR-Cross
AR-Dumas
AR-Franklin
AR-Hempstead
AR-Howard
AR-Izard
AR-Jefferson
AR-Johnson
AR-Lincoln
AR-Marion
AR-Monroe
AR-Nevada
AR-Newton
AR-Pulaski
AR-Randolph
AR-Searcy
AR-Washington
AR-White
AR-Yell
AZ-Apache
AZ-Yuma
CA-Amador
CA-Inyo
CA-Kings
CA-Marin
CA-Mariposa
CA-Mendocino
CA-Merced
CA-Mono
CA-Napa
CA-San_Mateo
CA-Santa_Cruz
CA-Sutter
CA-Tehama
CO-Boulder
CO-Jefferson
CO-Pueblo
CO-Teller
FL-Alachua
FL-Bradford
FL-Clay
FL-Columbia
FL-DeSoto
FL-Escambia
FL-Flagler
FL-Hamilton
FL-Indian_River
FL-Leon
FL-Levy
FL-Okaloosa
FL-Orange
FL-Osceola
FL-Pasco
FL-Putnam
FL-Santa_Rosa
FL-Suwannee
FL-Taylor
FL-Walton
FL-Washington
GA-Athens_Clarke
GA-Bartow
GA-Catoosa
GA-Cobb
GA-Columbia
GA-Coweta
GA-Dawson
GA-Douglas
GA-Effingham
GA-Floyd
GA-Hall
GA-Houston
GA-Lumpkin
GA-Oconee
GA-Paulding
GA-Pickens
GA-Toombs
GA-Troup
IA-Clinton
IA-Ida
IA-Pottawattamie
IA-Story
IL-Crawford
IL-Douglas
IL-Kankakee
IL-Kendall
IL-Macon
IL-St_Clair
IL-Woodford
IN-Boone
IN-Dearborn
IN-Dubois
IN-Grant
IN-Hancock
IN-Hendricks
IN-Howard
IN-Jackson
IN-Knox
IN-Lake
IN-Madison
IN-Marion
IN-Montgomery
IN-Perry
IN-Porter
IN-Pulaski
IN-Scott
IN-Shelby
IN-St_Joseph
IN-Starke
IN-Steuben
IN-Tippecanoe
IN-Vigo
IN-Washington
IN-Whitley
KS-Brown
KS-Chase
KS-Cherokee
KS-Crawford
KS-Dickinson
KS-Finney
KS-Geary
KS-Jackson
KS-Jefferson
KS-Labette
KS-Marion
KS-McPherson
KS-Rooks
KS-Shawnee
KS-Sumner
KS-Thomas
KS-Wabaunsee
KY-Adair
KY-Allen
KY-Bell
KY-Big_Sandy
KY-Boone
KY-Boyle
KY-Breckinridge
KY-Bullitt
KY-Calloway
KY-Campbell
KY-Carter
KY-Casey
KY-Christian
KY-Clark
KY-Clay
KY-Daviess
KY-Grant
KY-Graves
KY-Hardin
KY-Harlan
KY-Hopkins
KY-Jackson
KY-Jessamine
KY-Kenton
KY-Larue
KY-Laurel
KY-Letcher
KY-Logan
KY-Mason
KY-McCracken
KY-Montgomery
KY-Muhlenberg
KY-Nelson
KY-Ohio
KY-Oldham
KY-Pike
KY-Pulaski
KY-Rockcastle
KY-Rowan
KY-Russell
KY-Scott
KY-Shelby
KY-Taylor
KY-Three_Forks
KY-Warren
KY-Webster
KY-Woodford
LA-Acadia
LA-Allen
LA-Assumption
LA-Bossier
LA-Lafourche
LA-Natchitoches
LA-Ouachita
LA-Rapides
LA-St_Charles
LA-St_James
LA-St_John
LA-Terrebonne
MD-Allegany
MD-Dorchester
MI-Kalamazoo
MI-Midland
MO-Bollinger
MO-Boone
MO-Buchanan
MO-Cape_Girardeau
MO-Cedar
MO-Cooper
MO-Daviess
MO-Greene
MO-Henry
MO-Howard
MO-Lawrence
MO-McDonald
MO-Monroe
MO-Morgan
MO-Perry
MO-Platte
MO-Randolph
MO-Saline
MO-Scott
MO-Stone
MS-Clay
MS-DeSoto
MS-Forrest
MS-Hancock
MS-Harrison
MS-Hinds
MS-Jasper
MS-Jones
MS-Lafayette
MS-Lamar
MS-Lee
MS-Madison
MS-Marion
MS-Perry
MS-Tunica
MT-Big_Horn
MT-Broadwater
NC-Alamance
NC-Alexander
NC-Brunswick
NC-Buncombe
NC-Burke
NC-Cabarrus
NC-Caldwell
NC-Carteret
NC-Cherokee
NC-Cleveland
NC-Columbus
NC-Forsyth
NC-Halifax
NC-Henderson
NC-Hoke
NC-Iredell
NC-Jackson
NC-Johnston
NC-Lincoln
NC-Macon
NC-McDowell
NC-Pender
NC-Randolph
NC-Richmond
NC-Sampson
NC-Transylvania
NE-Buffalo
NE-Cass
NJ-Ocean
NJ-Salem
NM-Curry
NM-Dona_Ana
NM-San_Juan
NM-Socorro
NV-Clark
NV-Nye
NY-Delaware
NY-Greene
NY-Montgomery
NY-Niagara
NY-Oneida
NY-Otsego
NY-Rockland
NY-Seneca
NY-St_Lawrence
NY-Steuben
NY-Ulster
NY-Wayne
NY-Yates
OH-Adams
OH-Allen
OH-Hancock
OH-Holmes
OH-Mahoning
OH-Ottawa
OH-Paulding
OH-Wood
OH-Wyandot
OK-Carter
OK-Comanche
OK-Creek
OK-Mayes
OK-Okmulgee
OK-Pawnee
OK-Pottawatomie
OR-Baker
OR-Benton
OR-Columbia
OR-Crook
OR-Curry
OR-Jackson
OR-Jefferson
OR-Josephine
OR-Klamath
OR-Lane
OR-Marion
OR-Multnomah
OR-Umatilla
PA-Dauphin
PA-Greene
SC-Anderson_City
SC-Beaufort
SC-Cherokee
SC-Chester
SC-Darlington
SC-Florence
SC-Kershaw
SC-Oconee
SC-Sumter
SC-Union
SD-Clay
SD-Pennington
TN-Bradley
TN-Carter
TN-Crockett
TN-Davidson
TN-Giles
TN-Marshall
TN-Rhea
TN-Robertson
TN-Shelby
TN-Sullivan
TX-Angelina
TX-Bell
TX-Brazoria
TX-Calhoun
TX-Coleman
TX-Hardin
TX-Hutchinson
TX-Jim_Wells
TX-Kleberg
TX-Lavaca
TX-League_City
TX-Mansfield
TX-Martin
TX-Milam
TX-Mills
TX-Montgomery
TX-Navarro
TX-Orange
TX-Palo_Pinto
TX-Parmer
TX-Polk
TX-Reagan
TX-Red_River
TX-Rusk
TX-Terry
TX-Titus
TX-Tom_Green
TX-Victoria
TX-Washington
TX-Young
UT-Salt_Lake
VA-Blue_Ridge_Amherst
VA-Blue_Ridge_Halifax
VA-Blue_Ridge_Lynchburg
VA-Chesapeake
VA-New_River_Valley
VA-Pamunkey
VA-Riverside
VA-Rockbridge
VA-Southwest
VA-Virginia_Beach
VA-Warren
VA-Western_Tidewater
WA-Nisqually
WI-Barron
