cycle,AL,AR,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MN,MO,MS,MT,NC,ND,NE,NV,NY,OH,OK,OR,PA,SC,TN,TX,VA,WA,WV
-13,,,,,0.0,0.3333333333333333,,0.0,,,,,,,,0.5,,,,,,,,,,,,,0.2571022727272727,,,
-12,0.0,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.24882629107981222,,,
-11,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.2712975098296199,,,
-10,,0.0,,0.0,,0.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,0.0,,0.26912181303116145,,,
-9,0.0,,,,,0.375,,0.5,,0.0,,,,,,,,,,,,,,,,,,,0.25096525096525096,,,
-8,,,,0.0,,0.2222222222222222,,0.0,,,,,,,,,,,,,,,,,,,,,0.2519582245430809,,,
-7,0.0,,,0.0,0.0,0.0,,1.0,0.0,,0.0,,,,,1.0,,,,,,0.0,,,,0.0,,1.0,0.2783882783882784,,,
-6,0.0,,,0.0,0.0,0.0,,1.0,,,0.0,,,,,0.3333333333333333,,,,,,,,,,,0.0,,0.28695652173913044,,,
-5,0.0,,,0.0,0.0,0.0,,0.3333333333333333,,0.0,,,,,,0.0,,,,,,0.0,0.0,,,,0.0,,0.24167694204685575,,,
-4,,,0.0,0.0,0.0,0.5,,0.3333333333333333,,0.0,0.0,0.0,,,,0.0,,,,1.0,,,,,,,,,0.21064814814814814,,0.0,
-3,0.0,,,0.0,0.25,0.6666666666666666,,0.6666666666666666,,0.0,,,,,,0.5,,,,,,0.0,,,,,0.0,,0.26395348837209304,,,
-2,0.0,,,0.0,0.3333333333333333,0.16666666666666666,,1.0,,0.5,0.0,,,,,0.5,,,,0.0,,0.0,,,,,,,0.25952045133991536,,,
-1,0.0,,0.25,0.0,0.6,0.75,,0.3333333333333333,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,0.0,,,0.0,,0.30256410256410254,,,0.0
0,1.0,,0.0,0.0,0.0,0.0,,0.3333333333333333,,0.0,,0.0,0.0,0.0,,,,,,,,0.0,,,,,0.0,0.0,0.2677595628415301,,,
1,0.2,,,0.0,0.0,0.0,,0.0,,,,,,,0.0,0.8,,,0.0,0.0,0.5,0.5,,,1.0,,,,0.24007561436672967,,,0.0
2,0.6,,,0.1,0.18181818181818182,0.15384615384615385,0.0,0.3333333333333333,,0.0,0.4,0.0,,,1.0,0.5,,,,,0.0,,,,,,0.0,0.3333333333333333,0.2594458438287154,0.0,0.0,0.5
3,0.3,,,0.5,0.23529411764705882,0.14285714285714285,,1.0,,0.0,0.4,,,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,,,,0.0,0.0,0.16666666666666666,0.23987854251012145,0.5,,0.0
