cycle,AL,AR,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,,,,,0.0,0.3333333333333333,,0.0,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.22869318181818182,,,,,,
-12,0.0,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.22535211267605634,,,,,,
-11,,,,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.24115334207077327,,,,,,
-10,,0.0,,0.0,,0.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.24787535410764872,,,,,,
-9,0.0,,,,,0.25,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.23680823680823682,,,,,,
-8,,,,0.0,,0.2222222222222222,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.22715404699738903,,,,,,
-7,0.0,,,0.0,0.0,0.0,,1.0,0.0,,0.0,,,,,,1.0,,,,,,,,0.0,,,,0.0,,,0.0,0.25396825396825395,,,,,,
-6,0.0,,,0.0,0.0,0.0,,0.5,,,0.0,,,,,,0.3333333333333333,,,,,,,,,,,,,0.0,,,0.26413043478260867,,,,,,
-5,0.0,,,0.0,0.0,0.0,,0.3333333333333333,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,0.218249075215783,,,,,,
-4,,,0.0,0.0,0.0,0.5,,0.3333333333333333,,0.0,0.0,0.0,,,,,0.0,,,,1.0,,,,,,,,,,,,0.19328703703703703,,,0.0,,,
-3,0.0,,,0.0,0.0,0.6666666666666666,,0.6666666666666666,,0.0,,,,,,,0.5,,,,,,,,0.0,,,,,0.0,,,0.23604651162790696,,,,,,
-2,0.0,,,0.0,0.3333333333333333,0.16666666666666666,,1.0,,0.0,0.0,,,,,,0.5,,,,0.0,,,,0.0,,,,,,,,0.23695345557122707,,,,,,
-1,0.0,,0.25,0.0,0.4,0.75,,0.3333333333333333,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,0.0,,,0.26666666666666666,,,,,0.0,
0,1.0,,0.0,0.0,0.0,0.0,,0.3333333333333333,,0.0,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,0.0,,0.0,0.22404371584699453,,,,,,
1,0.2,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.6,,,0.0,0.0,,,0.5,0.0,,,1.0,,,,,0.21928166351606806,,,,,0.0,
2,0.2,,,0.1,0.09090909090909091,0.07692307692307693,0.0,0.3333333333333333,,0.0,0.4,0.0,,,,0.0,0.5,,,,,,,0.0,,,,,,0.0,,0.3333333333333333,0.23173803526448364,,0.0,0.0,,0.5,
3,0.1,,,0.3333333333333333,0.23529411764705882,0.14285714285714285,,1.0,,0.0,0.4,,,,0.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,,,,0.0,0.0,,0.16666666666666666,0.21862348178137653,,0.5,,,0.0,
4,0.4166666666666667,,0.4,0.0,0.13157894736842105,0.2608695652173913,,0.0,0.0,0.0,0.4,0.0,0.0,,0.25,0.42857142857142855,0.6666666666666666,,0.3333333333333333,0.75,,,0.0,,0.5,0.75,0.0,0.0,,0.25,,0.4,0.2033898305084746,,,0.0,,0.0,
5,0.25647668393782386,0.4,0.27380952380952384,0.11353711790393013,0.2222222222222222,0.25402504472271914,0.43137254901960786,0.5,0.25,0.2608695652173913,0.2972972972972973,0.0,0.16666666666666666,0.3333333333333333,0.3225806451612903,0.29591836734693877,0.271523178807947,0.2857142857142857,0.3,0.4845360824742268,0.375,0.0,0.25,0.058823529411764705,0.3888888888888889,0.18309859154929578,0.14754098360655737,0.4,0.5,0.23529411764705882,0.5625,0.36875,0.20404984423676012,,0.4666666666666667,0.32926829268292684,0.0,0.2,0.3333333333333333
6,0.2740899357601713,0.1111111111111111,0.31313131313131315,0.1169811320754717,0.2549407114624506,0.26833073322932915,0.38,0.0,0.25,0.32894736842105265,0.23444976076555024,0.07407407407407407,0.42857142857142855,0.2777777777777778,0.12121212121212122,0.31868131868131866,0.20765027322404372,0.53125,0.2857142857142857,0.5057471264367817,0.2,0.0,0.45454545454545453,0.2777777777777778,0.2708333333333333,0.3492063492063492,0.14285714285714285,0.38461538461538464,0.625,0.22119815668202766,0.47058823529411764,0.3841059602649007,0.21694667640613585,0.0,0.4444444444444444,0.3113207547169811,0.2,0.47058823529411764,0.125
