cycle,AL,AR,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-13,,,,,0.0,0.3333333333333333,,0.0,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.21875,,,,,,
-12,0.0,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.21283255086071987,,,,,,
-11,,,,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.22935779816513763,,,,,,
-10,,0.0,,0.0,,0.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.23796033994334279,,,,,,
-9,0.0,,,,,0.25,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.23037323037323038,,,,,,
-8,,,,0.0,,0.2222222222222222,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.21279373368146215,,,,,,
-7,0.0,,,0.0,0.0,0.0,,1.0,0.0,,0.0,,,,,,1.0,,,,,,,,0.0,,,,0.0,,,0.0,0.24053724053724054,,,,,,
-6,0.0,,,0.0,0.0,0.0,,0.5,,,0.0,,,,,,0.3333333333333333,,,,,,,,,,,,,0.0,,,0.2543478260869565,,,,,,
-5,0.0,,,0.0,0.0,0.0,,0.3333333333333333,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,0.21331689272503082,,,,,,
-4,,,0.0,0.0,0.0,0.5,,0.3333333333333333,,0.0,0.0,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,0.1909722222222222,,,0.0,,,
-3,0.0,,,0.0,0.0,0.6666666666666666,,0.6666666666666666,,0.0,,,,,,,0.5,,,,,,,,0.0,,,,,0.0,,,0.22674418604651161,,,,,,
-2,0.0,,,0.0,0.0,0.16666666666666666,,1.0,,0.0,0.0,,,,,,0.5,,,,0.0,,,,0.0,,,,,,,,0.22284908321579688,,,,,,
-1,0.0,,0.25,0.0,0.4,0.75,,0.3333333333333333,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,0.0,,,0.26324786324786326,,,,,0.0,
0,1.0,,0.0,0.0,0.0,0.0,,0.3333333333333333,,0.0,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,0.0,,0.0,0.20765027322404372,,,,,,
1,0.2,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.6,,,0.0,0.0,,,0.5,0.0,,,1.0,,,,,0.20793950850661624,,,,,0.0,
2,0.2,,,0.1,0.09090909090909091,0.07692307692307693,0.0,0.3333333333333333,,0.0,0.4,0.0,,,,0.0,0.5,,,,,,,0.0,,,,,,0.0,,0.3333333333333333,0.2216624685138539,,0.0,0.0,,0.5,
3,0.1,,,0.3333333333333333,0.23529411764705882,0.0,,1.0,,0.0,0.4,,,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,,0.16666666666666666,0.20951417004048584,,0.5,,,0.0,
4,0.4166666666666667,,0.4,0.0,0.13157894736842105,0.2608695652173913,,0.0,0.0,0.0,0.4,0.0,0.0,,0.25,0.42857142857142855,0.6666666666666666,,0.3333333333333333,0.75,,,0.0,,0.5,0.75,0.0,0.0,,0.25,,0.3,0.19446922390722568,,,0.0,,0.0,
5,0.24611398963730569,0.3333333333333333,0.25,0.11353711790393013,0.21739130434782608,0.24508050089445438,0.43137254901960786,0.5,0.25,0.2608695652173913,0.2635135135135135,0.0,0.16666666666666666,0.3333333333333333,0.3225806451612903,0.29591836734693877,0.26490066225165565,0.2857142857142857,0.2625,0.4742268041237113,0.375,0.0,0.25,0.058823529411764705,0.3611111111111111,0.16901408450704225,0.14754098360655737,0.4,0.5,0.21568627450980393,0.5625,0.34375,0.19626168224299065,,0.4666666666666667,0.3170731707317073,0.0,0.2,0.3333333333333333
6,0.26552462526766596,0.1111111111111111,0.2828282828282828,0.1169811320754717,0.2490118577075099,0.24960998439937598,0.38,0.0,0.20833333333333334,0.2894736842105263,0.22009569377990432,0.07407407407407407,0.42857142857142855,0.2222222222222222,0.09090909090909091,0.31868131868131866,0.1912568306010929,0.46875,0.27472527472527475,0.5057471264367817,0.15,0.0,0.45454545454545453,0.2777777777777778,0.25,0.3492063492063492,0.14285714285714285,0.38461538461538464,0.625,0.20506912442396313,0.47058823529411764,0.3708609271523179,0.21037253469685901,0.0,0.3888888888888889,0.29245283018867924,0.2,0.47058823529411764,0.125
7,0.3181818181818182,0.23076923076923078,0.2912621359223301,0.11724137931034483,0.2318548387096774,0.24,0.39622641509433965,0.14285714285714285,0.3404255319148936,0.4117647058823529,0.2828282828282828,0.2857142857142857,0.375,0.25,0.17073170731707318,0.3010752688172043,0.18023255813953487,0.39285714285714285,0.25773195876288657,0.5645161290322581,0.14705882352941177,0.0,0.5,0.1111111111111111,0.2653061224489796,0.22535211267605634,0.25,0.4117647058823529,0.3076923076923077,0.2515923566878981,0.4666666666666667,0.36809815950920244,0.19612590799031476,,0.35714285714285715,0.25742574257425743,0.4,0.1875,0.16666666666666666
