cycle,AL,AR,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV,WY
-13,,,,,0.0,0.3333333333333333,,0.0,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.23863636363636365,,,,,
-12,0.0,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.23161189358372458,,,,,
-11,,,,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.25557011795543905,,,,,
-10,,0.0,,0.0,,0.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.25920679886685555,,,,,
-9,0.0,,,,,0.375,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.24195624195624196,,,,,
-8,,,,0.0,,0.2222222222222222,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.23368146214099217,,,,,
-7,0.0,,,0.0,0.0,0.0,,1.0,0.0,,0.0,,,,,,1.0,,,,,,,,0.0,,,,0.0,,,0.0,0.2600732600732601,,,,,
-6,0.0,,,0.0,0.0,0.0,,1.0,,,0.0,,,,,,0.3333333333333333,,,,,,,,,,,,,0.0,,,0.26956521739130435,,,,,
-5,0.0,,,0.0,0.0,0.0,,0.3333333333333333,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,0.22688039457459927,,,,,
-4,,,0.0,0.0,0.0,0.5,,0.3333333333333333,,0.0,0.0,0.0,,,,,0.0,,,,1.0,,,,,,,,,,,,0.19791666666666666,,0.0,,,
-3,0.0,,,0.0,0.25,0.6666666666666666,,0.6666666666666666,,0.0,,,,,,,0.5,,,,,,,,0.0,,,,,0.0,,,0.24302325581395348,,,,,
-2,0.0,,,0.0,0.3333333333333333,0.16666666666666666,,1.0,,0.5,0.0,,,,,,0.5,,,,0.0,,,,0.0,,,,,,,,0.2397743300423131,,,,,
-1,0.0,,0.25,0.0,0.4,0.75,,0.3333333333333333,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,0.0,,,0.28205128205128205,,,,0.0,
0,1.0,,0.0,0.0,0.0,0.0,,0.3333333333333333,,0.0,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,0.0,,0.0,0.24316939890710382,,,,,
1,0.2,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.8,,,0.0,0.0,,,0.5,0.5,,,1.0,,,,,0.22873345935727787,,,,0.0,
2,0.2,,,0.1,0.09090909090909091,0.15384615384615385,0.0,0.3333333333333333,,0.0,0.4,0.0,,,,1.0,0.5,,,,,,,0.0,,,,,,0.0,,0.3333333333333333,0.2380352644836272,0.0,0.0,,0.5,
3,0.1,,,0.3333333333333333,0.23529411764705882,0.14285714285714285,,1.0,,0.0,0.4,,,,0.0,0.0,0.0,1.0,1.0,,,,,0.0,0.0,,,,0.0,0.0,,0.16666666666666666,0.2236842105263158,0.5,,,0.0,
4,0.4166666666666667,,0.4,0.0,0.13157894736842105,0.2608695652173913,,0.0,0.0,0.0,0.4,0.0,0.0,,0.25,0.42857142857142855,0.6666666666666666,,0.3333333333333333,0.75,,,0.0,,0.5,0.75,0.0,0.5,,0.375,,0.5,0.2149866190900981,,0.0,,0.0,
5,0.266839378238342,0.4,0.27380952380952384,0.11790393013100436,0.23429951690821257,0.26118067978533094,0.43137254901960786,0.5,0.25,0.2753623188405797,0.30405405405405406,0.0,0.16666666666666666,0.3333333333333333,0.3225806451612903,0.30612244897959184,0.2913907284768212,0.2857142857142857,0.3125,0.4845360824742268,0.375,0.0,0.25,0.11764705882352941,0.3888888888888889,0.18309859154929578,0.14754098360655737,0.4,0.5,0.2549019607843137,0.625,0.40625,0.2087227414330218,0.4666666666666667,0.32926829268292684,0.0,0.2,0.3333333333333333
