cycle,AL,AR,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MI,MN,MO,MS,ND,NE,NV,NY,OH,OK,OR,PA,SC,TN,TX,VA,WA,WV
-13,,,,,0.0,0.3333333333333333,,0.0,,,,,,,,0.5,,,,,,,,,,,0.26988636363636365,,,
-12,0.0,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.2644757433489828,,,
-11,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,0.2765399737876802,,,
-10,,0.0,,0.0,,0.0,,0.3333333333333333,,,,,,,,,,,,,,,,,0.0,,0.2776203966005666,,,
-9,0.0,,,,,0.375,,0.5,,0.0,,,,,,,,,,,,,,,,,0.25997425997426,,,
-8,,,,0.0,,0.2222222222222222,,0.0,,,,,,,,,,,,,,,,,,,0.2597911227154047,,,
-7,0.0,,,0.0,0.0,0.0,,1.0,0.0,,0.0,,,,,1.0,,,,0.0,,,,0.0,,1.0,0.28083028083028083,,,
-6,0.5,,,0.0,0.0,0.0,,1.0,,,0.0,,,,,0.3333333333333333,,,,,,,,,0.0,,0.29347826086956524,,,
-5,0.0,,,0.0,0.0,0.0,,0.3333333333333333,,0.0,,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.24537607891491986,,,
-4,,,0.0,0.0,0.0,0.5,,0.3333333333333333,,0.0,0.0,0.0,,,,0.0,,1.0,,,,,,,,,0.2222222222222222,,0.0,
-3,0.0,,,0.0,0.25,0.6666666666666666,,0.6666666666666666,,0.0,,,,,,0.5,,,,0.0,,,,,0.0,,0.2709302325581395,,,
-2,0.0,,,0.0,0.3333333333333333,0.16666666666666666,,1.0,,0.5,0.0,,,,,0.5,,0.0,,0.0,,,,,,,0.27080394922425954,,,
-1,0.0,,0.25,0.0,0.6,0.75,,0.3333333333333333,,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,0.0,,0.3128205128205128,,,0.0
0,1.0,,0.0,0.0,0.0,0.0,,0.3333333333333333,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.27595628415300544,,,
1,0.4,,,0.0,0.0,0.0,,0.0,,,,,,,0.0,0.8,0.0,0.0,0.5,0.5,,,1.0,,,,0.2495274102079395,,,0.0
2,0.6,,,0.1,0.18181818181818182,0.15384615384615385,0.0,0.3333333333333333,,0.0,0.4,0.0,,,1.0,0.5,,,0.0,,,,,,0.0,0.3333333333333333,0.26700251889168763,0.0,0.0,0.5
