cycle,AL,AR,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NM,NV,NY,OH,OK,OR,PA,SC,TN,TX,VA,WA,WV
-13,,,,,0.0,0.3333333333333333,,0.0,,,,,,,,,0.5,,,,,,,,,,,,,,0.24857954545454544,,,
-12,0.0,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.2378716744913928,,,
-11,,,,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.2634338138925295,,,
-10,,0.0,,0.0,,0.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,0.0,,0.26628895184135976,,,
-9,0.0,,,,,0.375,,0.5,,0.0,,,,,,,,,,,,,,,,,,,,,0.2483912483912484,,,
-8,,,,0.0,,0.2222222222222222,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.24412532637075718,,,
-7,0.0,,,0.0,0.0,0.0,,1.0,0.0,,0.0,,,,,,1.0,,,,,,,0.0,,,,0.0,,0.0,0.27106227106227104,,,
-6,0.0,,,0.0,0.0,0.0,,1.0,,,0.0,,,,,,0.3333333333333333,,,,,,,,,,,,0.0,,0.2782608695652174,,,
-5,0.0,,,0.0,0.0,0.0,,0.3333333333333333,,0.0,,,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,0.2318125770653514,,,
-4,,,0.0,0.0,0.0,0.5,,0.3333333333333333,,0.0,0.0,0.0,,,,,0.0,,,,1.0,,,,,,,,,,0.2037037037037037,,0.0,
-3,0.0,,,0.0,0.25,0.6666666666666666,,0.6666666666666666,,0.0,,,,,,,0.5,,,,,,,0.0,,,,,0.0,,0.24883720930232558,,,
-2,0.0,,,0.0,0.3333333333333333,0.16666666666666666,,1.0,,0.5,0.0,,,,,,0.5,,,,0.0,,,0.0,,,,,,,0.25105782792665726,,,
-1,0.0,,0.25,0.0,0.6,0.75,,0.3333333333333333,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,,0.28547008547008546,,,0.0
0,1.0,,0.0,0.0,0.0,0.0,,0.3333333333333333,,0.0,,0.0,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,0.0,0.2568306010928962,,,
1,0.2,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.8,,,0.0,0.0,,0.5,0.5,,,1.0,,,,0.23251417769376181,,,0.0
2,0.2,,,0.1,0.18181818181818182,0.15384615384615385,0.0,0.3333333333333333,,0.0,0.4,0.0,,,,1.0,0.5,,,,,,0.0,,,,,,0.0,0.3333333333333333,0.24937027707808565,0.0,0.0,0.5
3,0.2,,,0.5,0.23529411764705882,0.14285714285714285,,1.0,,0.0,0.4,,,,0.0,0.0,0.0,1.0,1.0,,,,0.0,0.0,,,,0.0,0.0,0.16666666666666666,0.22874493927125505,0.5,,0.0
4,0.5,,0.4,0.06666666666666667,0.13157894736842105,0.2608695652173913,,0.0,0.0,0.0,0.4,0.0,0.0,,0.25,0.42857142857142855,0.6666666666666666,,0.3333333333333333,0.75,,0.0,,0.5,0.75,0.0,0.5,,0.375,0.5,0.2167707404103479,,0.0,0.0
