cycle,AL,AR,CA,CO,FL,GA,IL,IN,KS,KY,LA,MI,MN,MO,MS,ND,NE,NV,NY,OH,OK,OR,PA,SC,TN,TX,WA,WV
-13,,,,,0.0,0.3333333333333333,0.0,,,,,,,,0.5,,,,,,,,,,,0.28125,,
-12,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,0.27386541471048514,,
-11,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,0.28309305373525556,,
-10,,0.0,,0.0,,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,0.0,,0.28753541076487255,,
-9,0.0,,,,,0.375,0.5,,0.0,,,,,,,,,,,,,,,,,0.26640926640926643,,
-8,,,,0.0,,0.2222222222222222,0.0,,,,,,,,,,,,,,,,,,,0.26631853785900783,,
-7,0.0,,,0.0,0.0,0.0,1.0,0.0,,0.0,,,,,1.0,,,,0.0,,,,0.0,,1.0,0.28205128205128205,,
-6,0.5,,,0.0,0.0,0.0,1.0,,,0.0,,,,,0.3333333333333333,,,,,,,,,0.0,,0.29782608695652174,,
-5,0.0,,,0.0,0.0,0.0,0.3333333333333333,,0.0,,,,,,0.0,,,,0.0,1.0,,,,0.0,,0.2564734895191122,,
-4,,,0.0,0.0,0.0,0.5,0.3333333333333333,,0.5,0.0,0.0,,,,0.0,,1.0,,,,,,,,,0.23148148148148148,0.0,
-3,0.0,,,0.0,0.25,0.6666666666666666,0.6666666666666666,,0.0,,,,,,0.5,,,,0.0,,,,,0.0,,0.2755813953488372,,
-2,0.0,,,0.0,0.3333333333333333,0.16666666666666666,1.0,,0.5,0.0,,,,,0.5,,0.0,,0.0,,,,,,,0.2736248236953456,,
-1,0.0,,0.25,0.0,0.6,0.75,0.3333333333333333,,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,0.0,,0.3145299145299145,,0.0
0,1.0,,0.0,0.0,0.0,0.0,0.3333333333333333,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.2786885245901639,,
1,0.4,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.8,0.0,0.0,0.5,0.5,,,1.0,,,,0.2608695652173913,,0.0
