cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,3590,3927,1445,5725,2577,6878,9418,1120,482,1952,6909,2114,7705,5904,759,526,711,2692,2093,2184,843,6424,509,210,1692,2044,4557,1326,6306,1519,4120,932,1946,2414,3655,7252,114,3338,6214,2707,2423,133
-11,3475,4305,2089,5496,2453,6458,8574,1274,457,1567,6633,1463,7588,5310,249,526,673,2664,2126,2056,825,5807,506,174,1541,2009,4465,1204,7496,1408,3780,885,1942,1733,3531,7012,250,4166,5894,1905,1300,130
-10,3382,4731,1761,5178,2367,9459,8439,1248,473,1269,6533,1422,7302,5592,220,560,583,2529,2128,2156,808,6017,515,179,1494,2006,4268,1217,7060,1382,3546,869,1847,1820,3182,7126,135,4427,6332,2633,2717,143
-9,3346,4138,1713,5098,2293,6198,8650,1331,321,1327,6282,1409,6989,5766,243,557,582,2517,1996,2147,832,6212,446,167,1581,1992,4250,1099,7068,1238,3788,860,1828,1698,3499,6858,486,4005,6036,2416,2656,136
-8,3187,3905,1769,4926,2168,5816,7791,1147,261,1316,5792,1306,6543,5333,227,492,606,2449,1881,2047,650,5507,469,190,1442,1783,3781,1098,6395,1143,3609,737,1812,1671,3149,6822,299,3830,5960,2221,2272,109
-7,2844,3832,1721,4856,2174,6075,7580,1063,235,1413,5558,1197,6535,5184,206,499,604,2342,2188,1956,738,5005,407,188,1437,639,4112,1015,6532,1061,3601,796,1814,1586,3092,6530,286,3536,5883,2131,2381,90
-6,3110,4204,1827,5300,2394,6861,8305,1251,751,1450,5737,1449,7012,5649,209,495,627,2418,2118,2014,977,6392,466,194,1564,2422,4485,1207,6704,1181,3763,824,1886,1759,3091,7000,291,4181,6250,2435,2186,117
-5,3329,4662,1911,5179,2341,6840,8621,1305,360,1580,5611,1451,7466,6020,224,501,747,2380,2138,2321,867,6359,465,229,1507,2304,4146,1232,6420,1319,3614,815,1899,1803,3631,7219,525,4358,6213,2606,2730,105
-4,4362,4558,1812,5173,2311,6886,8850,1192,466,1624,5808,1442,7477,5810,222,535,720,2534,2611,2272,890,6288,496,203,1611,2176,4417,1264,6170,1300,3255,850,1997,1754,3810,7406,436,4190,6432,2060,2678,116
-3,3444,4437,1830,5340,2424,7148,8232,1299,396,1626,6611,1466,7579,6045,172,532,774,2477,2558,2396,869,6290,480,179,1567,2283,4197,1192,7638,1223,3790,866,2062,1811,3990,7406,412,4349,6394,1965,2882,102
-2,3799,4176,1829,4779,2345,7291,8901,1237,418,1718,6565,1500,7369,5151,272,552,661,2448,2503,2374,879,6366,519,39,1605,2368,4701,1327,7256,1250,3774,881,2086,1798,3895,7420,374,3709,6614,1782,2728,123
-1,3571,5260,1821,5447,2503,7128,8884,1289,433,1713,6496,1353,7518,6349,222,558,785,2470,2547,2472,495,6533,495,198,1594,2468,4284,1332,7339,1306,3760,872,2613,1839,3809,7337,424,3765,6712,2130,2909,137
0,3413,4364,1727,5513,2437,7132,8673,1265,455,1830,6433,1518,6932,6548,227,659,661,2464,2362,2207,493,6166,448,208,1718,2526,4309,1304,6852,1293,3859,802,2277,1832,3848,6987,489,3601,6926,2070,2753,130
1,3694,4315,1891,6016,2554,7140,8787,1411,415,1802,6889,1498,7678,6525,217,616,690,2425,2684,2663,884,6117,572,216,1792,2625,4153,1356,7409,1327,4294,845,2113,2186,4064,7309,448,3871,6762,2162,3151,150
2,3519,4498,1895,5563,2425,7286,8613,1363,436,1724,6612,1469,7150,6859,252,590,768,2587,2423,2338,800,6469,538,238,1572,2612,4312,1291,6698,1262,4025,911,2305,1619,3971,7380,431,3632,6787,2007,2906,125
