cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
-12,3200,3276,1372,4366,2291,5699,5139,1104,456,614,3040,1082,813,5650,461,374,1744,719,494,324,5070,63,198,630,1871,5919,1050,2188,1358,2613,489,1404,1516,3041,5292,94,1895,3948,1223,95
-11,3345,3463,1459,4200,2291,5721,5399,1019,467,651,3216,1124,830,5456,457,407,1892,754,454,348,4945,83,193,696,1961,3977,1099,2161,1322,2779,545,1430,1630,3026,5570,100,1859,4131,1185,105
-10,3206,3488,1459,4706,2261,5492,5105,1063,433,654,3258,1067,738,5406,443,409,1896,776,600,300,5016,69,206,639,1901,4341,1055,2107,1389,2639,522,1399,1230,3092,5826,91,1813,4056,1232,117
-9,3302,3399,1499,4340,2234,5571,5130,1075,444,613,3211,1107,703,5234,465,467,1909,713,581,333,5024,53,182,627,1891,4115,1027,2030,1299,2444,521,1492,879,3011,5496,75,1812,4355,1193,119
-8,2521,2500,1120,3394,1662,4156,3793,871,303,536,2544,876,521,4075,416,352,1369,567,496,216,3719,44,122,493,1284,3120,787,1552,927,1745,468,1047,678,2141,4240,61,1424,3034,992,91
-7,2732,2786,1016,3698,1779,4752,4528,969,402,484,2712,926,583,4198,403,381,1450,669,442,267,4248,43,165,520,1409,3163,876,1768,1071,1946,428,1137,799,2421,5215,79,1174,2719,1013,87
-6,3369,3645,1406,5076,2488,5870,5667,1198,495,726,3463,1202,782,4978,481,476,2004,780,652,334,5486,81,210,789,1969,4268,1271,2209,1432,2718,555,1491,2019,3301,6148,106,1354,4660,1371,125
-5,3447,3722,1444,4990,2569,5754,5665,1160,463,747,3574,1121,814,4937,511,464,1965,805,519,363,5264,69,195,743,1964,4676,1217,2172,1322,2853,606,1542,1816,3141,5913,110,2026,4956,1231,139
-4,3434,3788,1438,4742,2377,5867,5452,1159,453,631,3442,1024,777,5117,515,441,1963,724,376,347,5185,85,166,710,2098,4277,1118,2211,1328,2727,573,1537,1837,2924,5858,88,1912,4610,1275,155
-3,3155,3325,1237,4631,2335,8557,5089,1127,440,556,3216,885,848,4829,514,393,1804,780,647,346,5158,43,191,691,1805,4207,1209,2015,1296,2650,550,1448,1710,2904,5817,63,1811,4595,1279,126
-2,3143,3038,1367,4294,2185,5098,5017,1114,234,545,3011,911,758,5114,481,330,1759,689,579,269,4798,66,164,626,1966,4032,976,1910,1049,2686,501,1439,1660,2677,5402,43,1758,4498,1179,113
