cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.07216494845360824,0.02,0.0,0.03225806451612903,0.05,0.07116104868913857,0.08794788273615635,0.2,0.1891891891891892,0.03296703296703297,0.1111111111111111,0.34375,0.12030075187969924,0.0,0.0,0.16666666666666666,0.125,0.0,0.0,0.08148148148148149,0.0,0.0,0.10869565217391304,0.044444444444444446,0.07792207792207792,0.16,0.19444444444444445,0.07894736842105263,0.041666666666666664,0.0,0.10227272727272728,0.3392857142857143,0.08955223880597014,0.05970149253731343,0.0,0.12121212121212122,0.12871287128712872,0.0625,0.0,0.3333333333333333
-11,0.08411214953271028,0.0,0.0,0.05555555555555555,0.046511627906976744,0.07665505226480836,0.05539358600583091,0.06896551724137931,0.16666666666666666,0.0375,0.0,0.2,0.12,0.0,0.0,0.13414634146341464,0.1388888888888889,0.06666666666666667,0.0,0.12244897959183673,0.15384615384615385,0.0,0.10416666666666667,0.02040816326530612,0.11538461538461539,0.12903225806451613,0.0684931506849315,0.034482758620689655,0.11428571428571428,0.2857142857142857,0.043010752688172046,0.3076923076923077,0.1267605633802817,0.06395348837209303,0.0,0.16346153846153846,0.08943089430894309,0.038461538461538464,0.0,0.0
-10,0.07692307692307693,0.0,0.2,0.02666666666666667,0.07272727272727272,0.08888888888888889,0.05750798722044728,0.06060606060606061,0.1,0.06,0.0,0.28846153846153844,0.14285714285714285,0.0,0.0,0.1761006289308176,0.08823529411764706,0.0,0.6666666666666666,0.06962025316455696,0.0,0.0,0.175,0.10344827586206896,0.06153846153846154,0.06666666666666667,0.06451612903225806,0.04411764705882353,0.125,0.0,0.06976744186046512,0.29508196721311475,0.10909090909090909,0.054878048780487805,0.5,0.1557377049180328,0.09183673469387756,0.0,0.0,0.3333333333333333
-9,0.09782608695652174,0.0,0.4,0.012658227848101266,0.04081632653061224,0.07630522088353414,0.08116883116883117,0.10869565217391304,0.2,0.056179775280898875,0.0,0.3111111111111111,0.10743801652892562,0.0,0.0,0.16447368421052633,0.0,0.1111111111111111,0.0,0.03164556962025317,0.2,0.0,0.0,0.05357142857142857,0.05454545454545454,0.14285714285714285,0.08196721311475409,0.056818181818181816,0.05128205128205128,0.0,0.06315789473684211,0.3333333333333333,0.09523809523809523,0.05223880597014925,0.1111111111111111,0.13709677419354838,0.12941176470588237,0.1,0.0,0.0
-8,0.031746031746031744,0.03333333333333333,0.0,0.03508771929824561,0.10344827586206896,0.08823529411764706,0.044897959183673466,0.13793103448275862,0.1,0.05970149253731343,0.02857142857142857,0.13793103448275862,0.14705882352941177,0.0,0.0,0.14285714285714285,0.10344827586206896,0.0,0.0,0.08421052631578947,0.0,0.0,0.17391304347826086,0.030303030303030304,0.0,0.19047619047619047,0.01694915254237288,0.02040816326530612,0.0,0.0,0.12790697674418605,0.38095238095238093,0.10869565217391304,0.027522935779816515,0.0,0.06493506493506493,0.17857142857142858,0.0,0.0,0.0
-7,0.11363636363636363,0.0,0.0,0.10126582278481013,0.06666666666666667,0.0975609756097561,0.06934306569343066,0.14285714285714285,0.1794871794871795,0.08450704225352113,0.0,0.11046511627906977,0.15584415584415584,0.0,0.0,0.13138686131386862,0.21875,0.0,0.0,0.045454545454545456,0.047619047619047616,0.0,0.04,0.0,0.014925373134328358,0.2727272727272727,0.0469208211143695,0.10204081632653061,0.08823529411764706,0.0,0.08602150537634409,0.4576271186440678,0.10204081632653061,0.05343511450381679,0.0,0.058823529411764705,0.05555555555555555,0.0,0.05263157894736842,0.5
-6,0.0380952380952381,0.0,0.0,0.035398230088495575,0.08888888888888889,0.10946745562130178,0.04672897196261682,0.2,0.08641975308641975,0.10303030303030303,0.024390243902439025,0.14150943396226415,0.15151515151515152,0.5,0.10526315789473684,0.13142857142857142,0.0990990990990991,0.021739130434782608,0.43333333333333335,0.07777777777777778,0.17647058823529413,0.3333333333333333,0.078125,0.018518518518518517,0.057692307692307696,0.2631578947368421,0.07142857142857142,0.05555555555555555,0.17307692307692307,0.0,0.05161290322580645,0.3853211009174312,0.04597701149425287,0.07272727272727272,0.125,0.07317073170731707,0.11764705882352941,0.13333333333333333,0.0,0.6666666666666666
-5,0.06060606060606061,0.0,0.0,0.02631578947368421,0.02631578947368421,0.090625,0.06547619047619048,0.08333333333333333,0.12037037037037036,0.0625,0.045454545454545456,0.12149532710280374,0.17391304347826086,0.0,0.0,0.18407960199004975,0.1348314606741573,0.06451612903225806,0.4,0.07936507936507936,0.12121212121212122,0.0,0.1111111111111111,0.08333333333333333,0.0975609756097561,0.03773584905660377,0.06930693069306931,0.05172413793103448,0.22580645161290322,0.0,0.10559006211180125,0.4426229508196721,0.08450704225352113,0.06535947712418301,0.0,0.07100591715976332,0.16129032258064516,0.14285714285714285,0.045454545454545456,0.125
-4,0.08108108108108109,0.0,0.0,0.0547945205479452,0.057692307692307696,0.08857142857142856,0.05620608899297424,0.20833333333333334,0.14606741573033707,0.08673469387755102,0.07547169811320754,0.12371134020618557,0.12658227848101267,0.0,0.07142857142857142,0.1638418079096045,0.10204081632653061,0.038461538461538464,0.39285714285714285,0.10869565217391304,0.029411764705882353,0.0,0.018518518518518517,0.0,0.06818181818181818,0.19230769230769232,0.06545454545454546,0.047619047619047616,0.14705882352941177,0.0,0.05357142857142857,0.40860215053763443,0.02564102564102564,0.06666666666666667,0.2,0.10747663551401869,0.10256410256410256,0.0,0.09090909090909091,0.2857142857142857
-3,0.14285714285714285,0.0,0.0,0.056338028169014086,0.05555555555555555,0.06688963210702341,0.061224489795918366,0.12,0.12643678160919541,0.04424778761061947,0.05714285714285714,0.13903743315508021,0.09195402298850575,0.0,0.0,0.13903743315508021,0.08547008547008547,0.044444444444444446,0.42105263157894735,0.04666666666666667,0.05,0.0,0.16666666666666666,0.03773584905660377,0.04285714285714286,0.21428571428571427,0.07662835249042145,0.13333333333333333,0.2553191489361702,0.2,0.04580152671755725,0.3448275862068966,0.09210526315789473,0.056962025316455694,0.0,0.1568627450980392,0.12941176470588237,0.047619047619047616,0.09090909090909091,0.125
-2,0.061224489795918366,0.0,0.0,0.022222222222222223,0.0,0.0935483870967742,0.05947136563876652,0.16129032258064516,0.1702127659574468,0.11347517730496454,0.0,0.13253012048192772,0.1574074074074074,0.0,0.037037037037037035,0.15060240963855423,0.1188118811881188,0.023255813953488372,0.34375,0.0847457627118644,0.23809523809523808,0.0,0.06521739130434782,0.01639344262295082,0.09210526315789473,0.07692307692307693,0.11553784860557768,0.023809523809523808,0.11320754716981132,0.0,0.09941520467836257,0.29577464788732394,0.03333333333333333,0.06993006993006994,0.0,0.17703349282296652,0.1464968152866242,0.0,0.05263157894736842,0.0
-1,0.047058823529411764,0.0,0.0,0.034482758620689655,0.1,0.09090909090909091,0.06345177664974619,0.10526315789473684,0.1308411214953271,0.08633093525179857,0.10526315789473684,0.14093959731543623,0.11403508771929824,0.0,0.08333333333333333,0.21142857142857144,0.1651376146788991,0.05128205128205128,0.33962264150943394,0.07751937984496124,0.15384615384615385,0.0,0.16279069767441862,0.0,0.04819277108433735,0.04,0.09722222222222222,0.058823529411764705,0.16393442622950818,0.1111111111111111,0.06993006993006994,0.4222222222222222,0.09375,0.042682926829268296,0.08333333333333333,0.12921348314606743,0.17482517482517482,0.08333333333333333,0.0,0.2222222222222222
0,0.01020408163265306,0.022222222222222223,0.0,0.013333333333333334,0.08571428571428572,0.07769423558897243,0.05112474437627812,0.3,0.0916030534351145,0.06666666666666667,0.0967741935483871,0.15270935960591134,0.1171875,0.0,0.0,0.18292682926829268,0.0915032679738562,0.0,0.352112676056338,0.047244094488188976,0.09523809523809523,0.0,0.13043478260869565,0.0,0.09523809523809523,0.21428571428571427,0.06751054852320675,0.14893617021276595,0.15254237288135594,0.0,0.10828025477707007,0.38202247191011235,0.0375,0.07608695652173914,0.0,0.11904761904761904,0.1773049645390071,0.10344827586206896,0.041666666666666664,0.0
