cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,1.0,,,,,1.0,0.021978021978021976,,,,,,1.0,,,,,0.0027472527472527475,,,,,,,,,,,,,,,,0.06598549656271965,,,,,,
-18,,,,,1.0,,0.012362637362637362,,0.0027472527472527475,,,,,,,,,,,,,,,,,,,,,,,,,0.07203035060177918,,,,,,
-17,,,,,1.0,1.0,0.006868131868131869,,0.005494505494505495,,,,,,,,,0.0027472527472527475,,,,,,,,,,,,,1.0,,,0.053965875394446826,,,,,,
-16,,0.0027472527472527475,,,,,0.007142857142857143,,0.04120879120879121,,,,,,,,,,,,,,,,,,,,,,,,,0.05553733720603392,,,,,,
-15,1.0,,,,1.0,,0.01620879120879121,,0.0036630036630036634,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.057613476910464,,,,,,
-14,1.0,,,,,1.0,0.035164835164835165,,0.0027472527472527475,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,0.050694148084924784,,,,,,
-13,1.0,,,,0.956043956043956,1.0,0.5068681318681318,,0.0036630036630036634,,,,,,,,,0.0027472527472527475,,,,,,,,1.0,,,,,1.0,,1.0,0.04346757432827648,,,,,,
-12,1.0,,,,,1.0,0.005036630036630037,,0.005494505494505495,,1.0,0.8241758241758241,,,,,,0.2976190476190476,,,,,,,,0.0027472527472527475,1.0,,,,,,,0.041619532428355956,,,,,,
-11,,,,1.0,1.0,1.0,0.0027472527472527475,,0.007554945054945056,,0.9162087912087913,1.0,,,,,,0.0027472527472527475,,,,,,,,,,,,,1.0,,,0.042308337202703404,,,,,,
-10,,,,,,0.9649725274725275,0.010989010989010988,,0.005494505494505495,,1.0,,1.0,,,,,0.2664835164835165,,,,0.9065934065934066,,,,,,,,,,,,0.03943953511925862,,,0.7307692307692307,,,
-9,1.0,,,,0.7115384615384615,0.9075091575091575,0.013736263736263738,,0.005494505494505495,,1.0,1.0,,,,,,0.0027472527472527475,,,,0.8791208791208791,,,,0.0782967032967033,,,,,1.0,,,0.039686664686664694,,,,,,
-8,0.8214285714285715,,,0.9963369963369964,0.9031593406593407,0.8131868131868132,0.31135531135531136,,0.005494505494505495,,0.9203296703296703,0.5576923076923077,1.0,,,,0.9615384615384616,0.21085164835164835,,,,,,,,,,,,,,,,0.04283539899978256,,,,,,
-7,0.7527472527472527,,,0.8296703296703297,0.8818681318681318,0.632554945054945,0.21043956043956044,,0.037545787545787544,,,,0.760989010989011,,,0.6401098901098901,,,,,,,,,,,,1.0,,,0.6895604395604396,,0.6016483516483516,0.045607948086396365,,,,,0.7211538461538461,
-6,0.5302197802197802,,,0.5631868131868132,0.6648351648351648,0.8067765567765569,0.29505494505494506,,0.004578754578754579,,0.679945054945055,,,,1.0,,,0.4807692307692308,,,,,,,,0.0027472527472527475,,,,,1.0,,,0.10103230103230104,,,,,0.4478021978021978,
-5,0.5874542124542125,,,,0.6975908706677938,0.6815300084530853,0.3218210361067504,,0.02197802197802198,,,0.4951923076923077,1.0,,,,0.4010989010989011,0.4285714285714286,,,0.5604395604395604,1.0,,,0.5384615384615384,0.42032967032967034,,,0.4368131868131868,,0.39285714285714285,,0.4340659340659341,0.07616664157760047,,0.3131868131868132,,,0.6785714285714285,
-4,0.5398351648351648,,,,0.3510989010989011,0.5462806424344886,0.4194139194139194,0.32967032967032966,0.006181318681318682,,0.4326923076923077,0.38095238095238093,0.6208791208791209,,,0.3489010989010989,0.39697802197802196,0.33681318681318684,,,,,,,0.4258241758241758,0.5027472527472527,,,,0.3791208791208791,0.34615384615384615,,0.4686813186813187,0.0734549797049797,,0.2664835164835165,0.2774725274725275,,,
-3,0.3342490842490842,,,0.41483516483516486,0.1928071928071928,0.3145007166746297,0.23778998778998778,,0.008241758241758242,,0.6167582417582418,0.4222919937205652,,,,0.3205128205128205,0.12912087912087913,0.42811355311355315,0.29120879120879123,0.6847527472527473,0.20659340659340658,,,0.6565934065934066,0.5741758241758241,0.625,0.3846153846153846,,,0.7554945054945055,0.26263736263736265,,0.5436126373626373,0.06893257496272572,,0.3159340659340659,0.30631868131868134,,0.532967032967033,
-2,0.05175271655718582,0.015796703296703296,,0.12568681318681318,0.1185855428974695,0.1504593290307576,0.0941974691974692,0.03506017791732078,0.05714285714285714,0.03788316946211683,0.1575091575091575,0.12980769230769232,0.14285714285714285,0.09798534798534798,0.18818681318681318,0.029704670329670328,0.07055178863689503,0.08068247541931751,0.013186813186813187,0.0848901098901099,0.020604395604395608,0.08622147083685545,,0.055631868131868135,0.11538461538461539,0.10271672771672773,0.06263736263736264,0.055742644452321875,0.0804945054945055,,0.06712731712731713,0.06436420722135007,0.12588304552590268,0.06872155509258845,,0.05572998430141287,0.04082417582417582,,0.3271728271728272,0.2232142857142857
