cycle,AL,AR,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,1.0,,,,1.0,0.020408163265306124,,,,,,1.0,,,,,0.002551020408163265,,,,,,,,,,,,,,,,0.0613836798369894,,,,,,
-18,,,,1.0,,0.011479591836734693,,0.002551020408163265,,,,,,,,,,,,,,,,,,,,,,,,,0.06707968901846453,,,,,,
-17,,,,1.0,1.0,0.0063775510204081625,,0.00510204081632653,,,,,,,,,0.002551020408163265,,,,,,,,,,,,,1.0,,,0.05021424154077215,,,,,,
-16,,0.002551020408163265,,,,0.006632653061224489,,0.038265306122448974,,,,,,,,,,,,,,,,,,,,,,,,,0.05174438837654428,,,,,,
-15,1.0,,,1.0,,0.015051020408163265,,0.003401360544217687,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.053805668608906974,,,,,,
-14,1.0,,,,1.0,0.0326530612244898,,0.002551020408163265,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,0.04752204279770161,,,,,,
-13,1.0,,,0.9234693877551021,1.0,0.4706632653061224,,0.003401360544217687,,,,,,,,,0.002551020408163265,,,,,,,,1.0,,,,,1.0,,0.9362244897959183,0.04068631982804447,,,,,,
-12,1.0,,,,1.0,0.004676870748299319,,0.00510204081632653,,1.0,0.7653061224489796,,,,,,0.2763605442176871,,,,,,,,0.002551020408163265,1.0,,,,,,,0.03864670868347339,,,,,,
-11,,,0.9795918367346939,0.9761904761904763,1.0,0.002551020408163265,,0.007015306122448979,,0.8864795918367347,1.0,,,,,,0.002551020408163265,,,,,,,,,,,,,1.0,,,0.039621658522563954,,,,,,
-10,,,,,0.9496173469387755,0.010204081632653062,,0.00510204081632653,,1.0,,1.0,,,,,0.24744897959183673,,,,0.8418367346938775,,,,,,,,,,,,0.036901627010251105,,,0.6785714285714286,,,
-9,1.0,,,0.6607142857142857,0.8664965986394558,0.012755102040816327,,0.00510204081632653,,1.0,1.0,,,,,,0.002551020408163265,,,,0.8163265306122449,,,,0.07270408163265306,,,,,1.0,,,0.037202903274331844,,,,,,
-8,0.7627551020408164,,0.9727891156462585,0.8743622448979592,0.7551020408163265,0.2891156462585034,,0.00510204081632653,,0.9022108843537415,0.5178571428571429,1.0,,,,0.8928571428571429,0.19579081632653061,,,,,,,,,,,,,,,,0.0406183021153667,,,,,,
-7,0.7346938775510204,,0.7704081632653061,0.8545918367346939,0.5873724489795918,0.19540816326530613,,0.034863945578231297,,,,0.7066326530612245,,,0.5943877551020408,,,,,,,,,,,,1.0,,,0.6403061224489797,,0.5586734693877551,0.042724093947924,,,,,0.6696428571428572,
-6,0.49234693877551017,,0.5229591836734694,0.6377551020408163,0.7729591836734694,0.288265306122449,,0.004251700680272108,,0.6313775510204082,,,,1.0,,,0.4464285714285714,,,,,,,,0.002551020408163265,,,,,0.9642857142857143,,,0.09472789115646259,,,,,0.41581632653061223,
-5,0.5454931972789115,,,0.6697409733124018,0.6438383045525902,0.2988338192419825,,0.02040816326530612,,,0.4598214285714286,1.0,,,,0.37244897959183676,0.41581632653061223,,,0.5204081632653061,1.0,,,0.5,0.3903061224489796,,,0.40561224489795916,,0.3647959183673469,,0.4030612244897959,0.07141109868604976,,0.29081632653061223,,,0.6301020408163266,
-4,0.5191326530612245,,,0.3260204081632653,0.5090266875981162,0.3894557823129252,0.30612244897959184,0.005739795918367346,,0.41964285714285715,0.35374149659863946,0.576530612244898,,,0.3239795918367347,0.36862244897959184,0.3270408163265306,,,,,,,0.39540816326530615,0.46683673469387754,,,,0.3520408163265306,0.32142857142857145,,0.43520408163265306,0.06829725133296562,,0.24744897959183673,0.2576530612244898,,,
