cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.064,0.0,0.0,0.02040816326530612,0.03508771929824561,0.09627329192546584,0.05357142857142857,0.1724137931034483,0.09848484848484848,0.10555555555555556,0.022727272727272728,0.12093023255813953,0.08421052631578947,0.0,0.07142857142857142,0.1657754010695187,0.1346153846153846,0.02702702702702703,0.46511627906976744,0.07511737089201878,0.10714285714285714,0.2857142857142857,0.11538461538461539,0.05,0.04838709677419355,0.1111111111111111,0.07655502392344497,0.058823529411764705,0.1791044776119403,0.0,0.08441558441558442,0.4,0.09722222222222222,0.1,0.08333333333333333,0.047337278106508875,0.14084507042253522,0.17647058823529413,0.0,0.2
-11,0.0625,0.0,0.0,0.04225352112676056,0.03125,0.08051948051948052,0.05865921787709497,0.21739130434782608,0.168141592920354,0.08421052631578947,0.06666666666666667,0.14285714285714285,0.1962025316455696,0.0,0.0,0.18324607329842932,0.13978494623655913,0.06666666666666667,0.32727272727272727,0.08496732026143791,0.06976744186046512,0.0,0.06382978723404255,0.045454545454545456,0.10752688172043011,0.0425531914893617,0.057777777777777775,0.046153846153846156,0.22058823529411764,0.0,0.06666666666666667,0.3974358974358974,0.04878048780487805,0.0718232044198895,0.13333333333333333,0.1,0.13043478260869565,0.045454545454545456,0.15384615384615385,0.0
-10,0.10185185185185185,0.0,0.0,0.05333333333333334,0.057692307692307696,0.06351550960118169,0.05071521456436931,0.125,0.14615384615384616,0.07926829268292683,0.1,0.09289617486338798,0.11864406779661017,0.0,0.1111111111111111,0.12698412698412698,0.1,0.1,0.3958333333333333,0.09166666666666666,0.07692307692307693,0.0,0.05555555555555555,0.02564102564102564,0.041666666666666664,0.22727272727272727,0.07196969696969698,0.109375,0.2,0.0,0.07236842105263158,0.3645833333333333,0.0684931506849315,0.09574468085106383,0.125,0.16049382716049382,0.11242603550295859,0.05263157894736842,0.10810810810810811,0.2222222222222222
-9,0.12790697674418605,0.0,0.0,0.05660377358490566,0.03773584905660377,0.09915014164305949,0.06716417910447761,0.125,0.08849557522123894,0.06666666666666667,0.019230769230769232,0.15517241379310345,0.09803921568627451,0.0,0.06666666666666667,0.125,0.10091743119266056,0.0,0.4107142857142857,0.08227848101265822,0.0625,0.0,0.14893617021276595,0.029850746268656716,0.10843373493975904,0.2,0.11524163568773234,0.1,0.18333333333333332,0.4,0.06569343065693431,0.32926829268292684,0.06153846153846154,0.07731958762886598,0.0,0.1724137931034483,0.18421052631578946,0.0,0.14285714285714285,0.25
-8,0.05102040816326531,0.0,0.0,0.04938271604938271,0.025,0.08571428571428572,0.05500705218617771,0.23809523809523808,0.14728682170542637,0.10365853658536585,0.04878048780487805,0.12716763005780346,0.16379310344827586,0.0,0.0,0.23195876288659795,0.11607142857142858,0.05128205128205128,0.359375,0.06802721088435375,0.30434782608695654,0.0,0.08163265306122448,0.0,0.014492753623188406,0.03571428571428571,0.1087866108786611,0.025,0.109375,0.125,0.0949367088607595,0.4426229508196721,0.047619047619047616,0.049079754601226995,0.0,0.12340425531914893,0.19021739130434784,0.045454545454545456,0.0,0.0
-7,0.021505376344086023,0.020833333333333332,0.0,0.0136986301369863,0.10526315789473684,0.09246575342465753,0.06676557863501484,0.15789473684210525,0.13245033112582782,0.07633587786259542,0.0967741935483871,0.14673913043478262,0.07207207207207207,0.0,0.0625,0.16666666666666666,0.1276595744680851,0.025,0.34782608695652173,0.07291666666666667,0.18181818181818182,0.0,0.15384615384615385,0.0,0.06896551724137931,0.19230769230769232,0.07936507936507936,0.05660377358490566,0.1836734693877551,0.0,0.06172839506172839,0.41509433962264153,0.06097560975609756,0.06422018348623854,0.09090909090909091,0.12280701754385964,0.17266187050359713,0.08695652173913043,0.041666666666666664,0.3333333333333333
-6,0.02564102564102564,0.01694915254237288,0.0,0.039473684210526314,0.1,0.08401639344262295,0.06432748538011696,0.2727272727272727,0.11920529801324503,0.06111111111111111,0.11764705882352941,0.11320754716981132,0.125,0.0,0.0,0.1711229946524064,0.08461538461538462,0.041666666666666664,0.391304347826087,0.05384615384615385,0.045454545454545456,0.0,0.07692307692307693,0.11764705882352941,0.13924050632911392,0.058823529411764705,0.06611570247933884,0.13725490196078433,0.11538461538461539,0.0,0.10559006211180125,0.29906542056074764,0.07246376811594203,0.09523809523809523,0.1,0.15306122448979592,0.17045454545454544,0.14814814814814814,0.05555555555555555,0.0
-5,0.07547169811320754,0.07462686567164178,0.0,0.07936507936507936,0.11764705882352941,0.07075471698113207,0.054022988505747126,0.18181818181818182,0.15625,0.08,0.07142857142857142,0.12796208530805686,0.10101010101010101,0.0,0.2222222222222222,0.18023255813953487,0.07964601769911504,0.01818181818181818,0.1625,0.09401709401709402,0.14285714285714285,0.0,0.16666666666666666,0.10638297872340426,0.058823529411764705,0.16129032258064516,0.08695652173913043,0.05454545454545454,0.203125,0.0,0.05847953216374269,0.3815789473684211,0.05813953488372093,0.07421875,0.1875,0.15695067264573992,0.16574585635359115,0.07142857142857142,0.10526315789473684,0.0
-4,0.09090909090909091,0.05172413793103448,0.0,0.04054054054054054,0.0,0.081799591002045,0.0655241935483871,0.28846153846153844,0.140625,0.06989247311827956,0.10256410256410256,0.12982456140350876,0.064,0.0,0.0,0.147239263803681,0.09289617486338798,0.06818181818181818,0.2535211267605634,0.11428571428571428,0.0,0.0,0.15217391304347827,0.0,0.10101010101010101,0.05,0.08542713567839195,0.05660377358490566,0.06060606060606061,0.0,0.054187192118226604,0.4020618556701031,0.05263157894736842,0.07421875,0.06666666666666667,0.152,0.1837837837837838,0.0,0.05,0.0
-3,0.05309734513274336,0.0,0.2857142857142857,0.05319148936170213,0.02857142857142857,0.06345733041575492,0.07080610021786492,0.2807017543859649,0.08552631578947369,0.08653846153846154,0.025,0.12350597609561753,0.07317073170731707,0.0,0.07692307692307693,0.1638418079096045,0.1610738255033557,0.014492753623188406,0.2125,0.050314465408805034,0.2727272727272727,0.0,0.09803921568627451,0.0,0.05555555555555555,0.06976744186046512,0.07058823529411765,0.06153846153846154,0.15384615384615385,0.0,0.04782608695652174,0.3723404255319149,0.06930693069306931,0.07333333333333333,0.0,0.1306532663316583,0.14516129032258066,0.1111111111111111,0.041666666666666664,0.25
