AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WY
241.8976814516129,176.46496106785318,642.2298387096774,470.55299539170505,582.6732038123167,765.0186104218362,284.7496300369284,103.90967741935484,111.51382488479263,155.06989247311827,306.4540734807285,100.36744675792262,293.19743112661547,360.9943548387097,223.64900326205148,290.80645161290323,224.36654308549524,51.573934130385744,116.86650882713536,253.27252700714456,115.6,201.3559139784946,127.02745559985502,141.43279569892474,371.85483870967744,503.6492000207114,961.9580645161291,143.57956989247313,115.71299987918327,234.45465393794748,157.51758837107266,504.3465909090909,210.29126696157863,217.2688172043011,553.1079566048304,286.2533783783784,1013.7741935483871,495.27694398339247,151.0905265842152,175.41487455197134,49.76129032258064
246.545039356203,176.7832512315271,644.3839285714286,478.27611758989315,583.5515422077922,774.8354341736695,289.13998939222154,104.96071428571429,112.78826530612245,159.86904761904762,308.8352952852063,102.25145026230832,291.2388821044239,363.6507142857143,231.61837881219904,288.2142857142857,224.16595166680267,53.55193556443556,117.0463529764238,252.25585333519237,120.91428571428571,205.8028911564626,125.70916934189405,136.0967261904762,362.70535714285717,507.656930749828,937.2892857142857,148.5095238095238,122.20941398439919,232.85714285714286,159.77097237475712,503.17654220779224,210.67264656247707,220.375,560.6905419019183,276.2177914110429,1031.482142857143,488.72947387984647,155.9727555053642,179.2862103174603,53.43571428571428
247.20461056876061,176.6496106785317,626.3104838709677,482.9633929818262,563.0524193548387,775.9906339707098,288.32138493227205,105.37857142857142,111.26267281105991,157.0448028673835,307.4220499696512,99.46274398022821,290.4855209810383,362.5838709677419,224.0051830373324,269.56451612903226,217.34075242708505,52.698766824573276,117.09499965224587,248.5798889049295,117.95806451612903,199.8718056137411,127.45319862268938,137.2701612903226,359.10887096774195,506.9624087402268,919.0290322580645,147.252688172043,125.29058964918639,236.1232718894009,162.16932145514204,509.0267595307918,207.94816674122305,225.4005376344086,572.4815536945838,269.7763004001231,1026.4596774193549,479.8402120445149,153.59728420247353,181.79166666666666,54.60322580645161
249.43372395833333,180.97284918146985,627.4916666666667,486.0428880643166,550.0708333333333,781.4570010055304,289.19657136844637,107.16880952380953,112.68571428571428,159.44814814814814,310.52642905386057,98.39473525561526,287.5460464159424,363.6906666666667,224.6841573033708,268.8666666666667,210.7597382244652,55.083704311152765,118.03042004453084,245.3688529565797,120.43333333333334,200.29160173160173,131.4864700374532,142.96666666666667,349.40833333333336,518.504280363831,936.0666666666667,144.1288888888889,123.45280898876405,227.3608348968105,162.02565880253562,514.0751893939394,214.1969183359014,222.13249475890984,572.0164843115685,268.06021164021166,1022.15,485.87687957705026,154.54268774703556,184.09722222222223,54.39333333333333
253.1284287457555,180.8171256502736,634.4596774193549,488.55003291639235,601.8850806451613,785.9850305713684,295.6538623519994,108.16129032258064,114.29723502304148,157.0573476702509,315.74146406109185,98.7149215218232,285.2019481949326,366.2474193548387,230.8915186661834,275.38709677419354,213.8621917637808,54.18973399833749,117.77213275063502,239.72282009301748,118.84516129032258,202.72526183493926,135.5710855382385,145.3790322580645,340.06451612903226,512.6513747216901,932.2774193548387,145.05806451612904,122.82962934701742,221.75893528748423,157.71336659641895,521.4136730205279,216.39415477906456,221.47139379184418,572.443805333847,262.0602682076415,1021.2258064516129,488.94193420635975,155.87154150197628,186.6465053763441,53.516129032258064
252.6023478400286,179.55692557761523,644.8583333333333,492.12433677433677,745.6540064102563,787.627274045713,297.2163887778888,103.70166666666667,116.07380952380953,159.72079772079772,320.6979525351381,96.47504552920013,283.1853820252047,367.7686262626263,230.74069144338807,275.6666666666667,213.8719033676125,52.11425945849023,119.96689205172129,240.1909899220341,119.59,205.13224109224112,141.71067415730337,142.19166666666666,334.38365384615383,502.75167716178953,928.6758974358975,144.45717948717947,124.13366010098711,225.65727812069275,155.57396580105893,526.3926136363636,214.37663071391884,223.5172431865828,563.3982721218568,256.7761335585745,1030.6133333333335,495.63443460061933,154.732279314888,190.09722222222223,53.656666666666666
257.9315935588857,181.22176155324098,669.2701612903226,494.0162072950091,831.3025744416874,790.373564332001,303.51556158127585,109.42903225806451,118.83870967741936,161.4995864350703,333.14050842399416,93.27400842319618,292.2213399503722,368.69384815900946,239.7652605459057,297.16129032258067,216.30241935483872,53.39472748095577,127.16009557945041,240.7577340031729,121.96129032258065,212.0904579291676,150.88709677419354,143.49193548387098,337.4593672456576,505.7876639489543,930.4233250620347,145.38875103391234,125.7852945017631,238.6591226577177,159.63377565305456,521.6975806451613,219.05865102639297,231.02044025157232,577.2244703187631,264.4821222919374,1042.2451612903226,510.14431239388796,157.3779803646564,193.59677419354838,54.27741935483871
261.68951612903226,181.92173121650316,678.9193548387096,489.63071366297174,754.6774193548387,791.6784626663659,310.29815668202764,107.0741935483871,114.39170506912443,162.40501792114696,339.31145717463846,93.90702087286527,286.94193548387096,347.7831801889866,239.55483870967743,297.4193548387097,218.61693548387098,53.037841191066995,128.49701314217444,238.71370967741936,122.4,213.73208525345623,145.2983870967742,139.83064516129033,352.75,509.11981566820276,955.8,146.58494623655915,124.75721561969439,250.4700460829493,162.73344651952462,522.3870967741935,220.98533724340177,236.43583891255832,587.5372208436725,268.26889020254066,1045.5645161290322,504.84719864176566,159.14165497896212,196.34408602150538,56.68387096774194
258.49583333333334,179.30167624521073,680.6060247747748,473.3926640926641,599.65,792.8727564102564,309.7604329004329,104.43,104.91904761904762,154.22962962962964,344.96206896551723,90.1934046345811,292.04205214465935,349.2477777777778,247.79333333333332,294.7,218.5125,50.77239819004525,129.9814814814815,240.12083333333334,121.60666666666667,214.96854296066252,139.5375,140.20833333333334,351.23333333333335,502.14761904761906,976.3433333333334,147.37333333333333,125.53157894736842,250.74285714285713,161.27017543859648,534.375,223.93939393939394,232.81666666666666,585.0435897435898,269.9249006828694,1071.9166666666667,508.8122222222222,160.74202898550723,191.58194444444445,55.6
254.62197580645162,173.83708750463478,654.6555143853532,455.99125392673784,562.2782258064516,791.516129032258,305.1230833682447,103.35161290322581,104.88018433179724,133.17921146953404,344.02280311457173,80.7151256396987,291.5775792038993,346.39354838709676,254.48387096774192,311.2258064516129,210.51209677419354,50.14954021310758,125.68876941457587,254.67137096774192,118.1741935483871,218.3439791624925,142.4516129032258,145.08870967741936,354.41129032258067,496.08294930875576,953.3161290322581,150.00645161290322,122.33616298811545,242.6520737327189,160.83616298811546,522.6774193548387,223.316715542522,229.53763440860214,588.5248138957817,270.27600534912597,1054.0967741935483,506.4688172043011,158.3094904160823,193.67876344086022,60.9741935483871
248.34114583333334,166.7551724137931,634.2286599099099,445.73792363792364,553.775,777.1080128205128,299.1014285714286,103.54666666666667,84.9041450777202,128.57407407407408,336.3390804597701,79.36011586452763,283.24833333333333,354.3474576271187,250.52666666666667,289.8,204.39166666666668,48.950641025641026,127.38395061728394,245.44791666666666,118.82666666666667,217.0447619047619,138.925,140.225,357.5,477.8619047619048,957.2466666666667,147.35444444444445,119.73333333333333,233.14761904761906,159.0950836393309,513.5833333333334,216.75454545454545,228.5888888888889,593.6148717948718,268.1611528081741,1027.7175287356322,514.3777777777777,156.48454106280192,193.0861111111111,58.666666666666664
243.1522177419355,161.0166852057842,618.3733108108108,453.13469427294314,537.508064516129,760.5947938537889,290.2594470046083,101.01612903225806,71.08602150537635,123.80645161290323,324.8876529477197,78.41812354312354,273.90725806451616,348.98593852190976,240.69032258064516,263.64516129032256,201.23790322580646,48.55937610776321,126.34289127837515,239.24193548387098,120.8991202346041,209.15411454904543,142.23387096774192,133.17741935483872,342.5040322580645,476.41013824884794,923.8193548387097,147.9795698924731,113.72495755517826,227.34562211981566,156.75463772564532,503.25,213.48387096774192,224.68279569892474,572.7156327543424,264.4279763609383,1031.0001853911754,502.847311827957,152.46423562412343,183.74327956989248,55.83225806451613
246.72177419354838,164.99888765294773,619.9134154315607,476.3948381254245,543.5060483870968,775.7535312082458,295.3815668202765,96.66935483870968,90.946875,128.11827956989248,321.39710789766406,77.87119746790925,275.28306451612906,350.7653997378768,243.53548387096774,259.5806451612903,202.91129032258064,48.901542006380716,127.30286738351255,238.84475806451613,123.56539589442815,212.78828176431864,142.28225806451613,137.45276497695855,337.491935483871,471.70506912442397,961.7677419354839,146.40645161290323,114.98641765704583,228.49539170506912,164.164381502846,510.0806451612903,219.47214076246334,231.01612903225808,576.0454094292803,261.7276669274909,1050.2901371894698,506.1741935483871,153.01472650771387,186.2997311827957,53.464516129032255
