cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.024213075060532687,0.03259452411994785,0.6140350877192983,0.3787878787878788,0.1891891891891892,0.018944519621109608,,0.047619047619047616,0.08411214953271028,0.02091254752851711,0.014184397163120567,0.009009009009009009,0.006430868167202572,,,0.013333333333333334,0.00980392156862745,0.01818181818181818,,0.11267605633802817,,0.044585987261146494,,0.017094017094017096,0.2887323943661972,0.13846153846153847,0.3333333333333333,0.03208556149732621,0.6069364161849711,0.044444444444444446,0.0748349229640499,0.008875739644970414,,0.11570247933884298,
-18,0.019656019656019656,0.033123028391167195,,0.41304347826086957,0.26865671641791045,0.0188953488372093,0.006756756756756757,,0.06,0.028824833702882482,0.05217391304347826,0.05660377358490566,,,,,0.0049261083743842365,0.01618705035971223,,0.04081632653061224,,0.04421768707482993,0.015873015873015872,0.041666666666666664,0.20967741935483872,0.2,0.20512820512820512,0.02857142857142857,0.6558441558441559,0.023121387283236993,0.08573655494933749,0.019417475728155338,,0.06060606060606061,
-17,0.021505376344086023,0.028368794326241134,0.6571428571428571,0.5064935064935064,0.09090909090909091,0.01597444089456869,,,0.09433962264150944,0.03248259860788863,0.05426356589147287,0.030612244897959183,0.004366812227074236,,,,0.010101010101010102,0.017077798861480076,0.14285714285714285,0.06896551724137931,0.3888888888888889,0.04823151125401929,0.014705882352941176,0.047619047619047616,0.33152173913043476,0.16037735849056603,0.19230769230769232,0.03825136612021858,0.6265822784810127,0.02027027027027027,0.08541846419327007,0.03286384976525822,,0.04716981132075472,
-16,0.008771929824561403,0.03298350824587706,,0.43870967741935485,0.10344827586206896,0.022988505747126436,0.00228310502283105,0.043478260869565216,0.06593406593406594,0.04377880184331797,0.03225806451612903,0.01834862385321101,0.00423728813559322,,,,0.02127659574468085,0.02292768959435626,,0.046875,,0.05806451612903226,,0.017094017094017096,0.22162162162162163,0.08333333333333333,0.13333333333333333,0.023121387283236993,0.5759493670886076,0.01818181818181818,0.0775,0.018604651162790697,,0.05102040816326531,
-15,0.018691588785046728,0.047244094488188976,0.7073170731707317,0.45,0.21818181818181817,0.02727272727272727,0.004705882352941176,,0.08421052631578947,0.04054054054054054,0.018518518518518517,0.01020408163265306,,,,,0.004366812227074236,0.021400778210116732,,0.04,,0.059602649006622516,0.014925373134328358,0.028846153846153848,0.23170731707317074,0.14942528735632185,0.28125,0.015789473684210527,0.5866666666666667,0.01282051282051282,0.07136485280999108,0.010050251256281407,,0.07207207207207207,
-14,0.028938906752411574,0.0472972972972973,0.6666666666666666,0.48,0.13157894736842105,0.023148148148148147,0.002849002849002849,0.02702702702702703,0.0273972602739726,0.023058252427184466,0.04672897196261682,0.005263157894736842,,,,0.03308823529411765,0.019823788546255508,0.024630541871921183,,0.03571428571428571,,0.0658682634730539,,0.02631578947368421,0.24031007751937986,0.1206896551724138,0.2222222222222222,0.02857142857142857,0.5826086956521739,0.02072538860103627,0.05422993492407809,0.013816925734024179,,0.09803921568627451,
-13,0.017241379310344827,0.03609022556390978,0.6060606060606061,0.395,0.22033898305084745,0.011547344110854504,0.0015290519877675841,0.030303030303030304,0.06666666666666667,0.032418952618453865,0.02040816326530612,0.01327088212334114,0.0030211480362537764,0.09090909090909091,,0.037825059101654845,0.014571948998178506,0.04354136429608128,,0.10714285714285714,0.4,0.04411764705882353,0.015873015873015872,0.029885057471264367,0.2727272727272727,0.1728395061728395,,0.03389830508474576,0.6491228070175439,0.01646090534979424,0.05338078291814947,0.008791208791208791,,0.10377358490566038,0.007407407407407408
-12,0.027896995708154508,0.04246575342465753,0.6170212765957447,0.4186046511627907,0.2535211267605634,0.018703241895261846,0.00847457627118644,,0.11904761904761904,0.019161676646706587,0.03260869565217391,0.010025062656641603,0.008152173913043478,,0.043478260869565216,0.02666666666666667,0.021164021164021163,0.03209459459459459,,0.08823529411764706,,0.041935483870967745,,0.012919896640826873,0.35294117647058826,0.13513513513513514,0.21621621621621623,0.030303030303030304,0.5827814569536424,0.017777777777777778,0.05983680870353581,0.02894736842105263,0.4,0.06451612903225806,0.0034602076124567475
-11,0.026,0.04878048780487805,0.6470588235294118,0.5338645418326693,0.11290322580645161,0.02509907529722589,0.0034782608695652175,,0.08839779005524862,0.027932960893854747,0.04430379746835443,0.014311270125223614,0.009316770186335404,,,0.0182370820668693,0.016042780748663103,0.026143790849673203,,0.10273972602739725,,0.03857566765578635,,0.03856749311294766,0.25,0.08547008547008547,0.1956521739130435,0.031088082901554404,0.5633802816901409,0.0196078431372549,0.06548175865294668,0.0025,,0.07865168539325842,0.022388059701492536
-10,0.020454545454545454,0.02882882882882883,0.6190476190476191,0.48372093023255813,0.18840579710144928,0.022115384615384617,0.0035398230088495575,,0.09655172413793103,0.042440318302387266,0.02617801047120419,0.013489208633093525,0.007246376811594203,,,0.030054644808743168,0.02112676056338028,0.029723991507430998,,0.05,,0.041935483870967745,,0.024324324324324326,0.19078947368421054,0.12643678160919541,,0.047619047619047616,0.5489130434782609,0.009174311926605505,0.08038029386343994,0.0137524557956778,0.10256410256410256,0.075,0.015625
