cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.075,0.03333333333333333,,0.13636363636363635,,0.056451612903225805,0.00980392156862745,,0.04,0.09302325581395349,0.2857142857142857,,,,,,0.037037037037037035,,0.16666666666666666,0.6818181818181818,0.07407407407407407,,,0.25,,,,0.5333333333333333,,0.05673758865248227,0.08,,,
-12,0.04918032786885246,,,0.20930232558139536,0.030303030303030304,0.08620689655172414,,,0.07462686567164178,0.01694915254237288,0.041666666666666664,,,,,0.07142857142857142,0.05,0.03,0.08695652173913043,,0.06153846153846154,,0.05555555555555555,0.16666666666666666,0.08695652173913043,0.42857142857142855,0.01694915254237288,0.5319148936170213,0.0196078431372549,0.0776255707762557,0.035398230088495575,,,
-11,0.028985507246376812,0.03571428571428571,,0.13953488372093023,,0.056768558951965066,0.019417475728155338,,0.08450704225352113,0.047619047619047616,0.029411764705882353,0.02,0.018518518518518517,,,,0.07317073170731707,0.0660377358490566,0.04,,0.023255813953488372,,,0.1951219512195122,0.03225806451612903,,0.0273972602739726,,0.017241379310344827,0.09965635738831616,0.023255813953488372,,,
-10,0.08888888888888889,0.09090909090909091,,0.22448979591836735,0.0851063829787234,0.09004739336492891,0.021739130434782608,,0.014285714285714285,0.08771929824561403,0.041666666666666664,0.058823529411764705,0.02564102564102564,,,0.034482758620689655,,0.016260162601626018,0.07692307692307693,,0.01818181818181818,,,0.28888888888888886,0.06896551724137931,,0.015384615384615385,,0.08333333333333333,0.08403361344537816,,,,
-9,0.03636363636363636,0.027777777777777776,,0.2127659574468085,0.1,0.08947368421052632,0.024390243902439025,0.125,0.07575757575757576,0.0625,0.03571428571428571,0.022727272727272728,,,,,0.02702702702702703,0.032,0.125,0.6756756756756757,,,0.09375,0.23076923076923078,0.14285714285714285,0.4444444444444444,,0.5833333333333334,0.04,0.052132701421800945,0.057692307692307696,0.18181818181818182,,
-8,0.038461538461538464,0.06451612903225806,,0.16279069767441862,0.06896551724137931,0.06857142857142857,0.026881720430107527,,0.12962962962962962,0.038461538461538464,0.06060606060606061,0.03333333333333333,0.017241379310344827,,,,0.08571428571428572,0.012048192771084338,0.09375,,0.02702702702702703,0.05263157894736842,0.03125,0.1590909090909091,,0.18181818181818182,0.017241379310344827,0.4716981132075472,0.09090909090909091,0.0684931506849315,0.06060606060606061,0.125,,
-7,,,,0.18,0.043478260869565216,0.1111111111111111,0.009615384615384616,,0.12962962962962962,0.09016393442622951,0.09523809523809523,0.03614457831325301,,,,0.08064516129032258,0.05,0.041237113402061855,0.043478260869565216,,0.078125,,0.038461538461538464,0.1724137931034483,0.10526315789473684,0.14285714285714285,0.01818181818181818,0.5576923076923077,0.058823529411764705,0.08522727272727272,0.017543859649122806,0.2,,0.04878048780487805
-6,0.0136986301369863,0.05454545454545454,,0.14925373134328357,0.09090909090909091,0.05319148936170213,0.011764705882352941,,0.10784313725490197,0.07936507936507936,0.02857142857142857,0.034482758620689655,0.05714285714285714,,,0.037383177570093455,,0.006711409395973154,0.0967741935483871,0.6666666666666666,0.06666666666666667,0.030303030303030304,0.04716981132075472,0.2558139534883721,,0.125,0.021052631578947368,0.5116279069767442,0.04918032786885246,0.08888888888888889,0.06535947712418301,0.2,,0.03225806451612903
-5,0.029411764705882353,,0.5,0.18604651162790697,0.10294117647058823,0.064,0.021897810218978103,,0.11258278145695365,0.07194244604316546,0.05128205128205128,0.054455445544554455,0.018867924528301886,,0.25,0.024096385542168676,0.10204081632653061,0.031446540880503145,0.13333333333333333,,0.06666666666666667,0.024390243902439025,0.023529411764705882,0.11764705882352941,0.1702127659574468,0.25,0.043478260869565216,,0.08695652173913043,0.11,0.02097902097902098,,,
-4,0.036585365853658534,0.05405405405405406,0.25,0.1590909090909091,0.045454545454545456,0.06885245901639345,0.02865329512893983,0.05,0.13533834586466165,0.12318840579710146,0.0784313725490196,0.05263157894736842,0.0273972602739726,,,0.041237113402061855,0.05357142857142857,0.08641975308641975,0.11538461538461539,,0.039473684210526314,0.047619047619047616,0.07079646017699115,0.23255813953488372,0.0392156862745098,0.2857142857142857,0.02702702702702703,0.5205479452054794,0.0392156862745098,0.0975609756097561,0.0392156862745098,0.14285714285714285,,0.06060606060606061
-3,0.017241379310344827,0.047619047619047616,,,0.045454545454545456,0.06591337099811675,0.03273809523809524,,0.0896551724137931,0.08139534883720931,0.09375,0.027472527472527472,0.025,,,0.05172413793103448,0.031746031746031744,0.043859649122807015,0.08695652173913043,,0.04838709677419355,0.05,0.03278688524590164,0.25,0.09375,0.2,0.02631578947368421,0.5692307692307692,0.06521739130434782,0.10434782608695652,0.06962025316455696,,,0.030303030303030304
-2,0.015873015873015872,0.044444444444444446,,0.21212121212121213,0.12903225806451613,0.09701492537313433,0.031073446327683617,,0.15602836879432624,0.10091743119266056,,0.0379746835443038,,0.3333333333333333,,0.03773584905660377,0.08196721311475409,0.042105263157894736,0.08888888888888889,0.5555555555555556,0.04285714285714286,,0.08108108108108109,0.18181818181818182,0.02631578947368421,,0.01020408163265306,0.49122807017543857,0.05,0.11555555555555555,0.05343511450381679,0.3333333333333333,0.05263157894736842,
-1,0.03571428571428571,,,,0.17391304347826086,0.1073170731707317,0.0196078431372549,,0.11267605633802817,0.05660377358490566,0.02857142857142857,0.027777777777777776,0.02,,,0.05263157894736842,0.06666666666666667,0.04672897196261682,0.09523809523809523,,0.06756756756756757,,0.02,0.21428571428571427,0.1590909090909091,,0.05,0.48484848484848486,0.047619047619047616,0.08849557522123894,0.06722689075630252,,,
0,0.05,,,0.21621621621621623,0.0967741935483871,0.0729483282674772,0.020100502512562814,,0.08379888268156424,0.10084033613445378,,0.020833333333333332,,,,0.011363636363636364,0.07692307692307693,0.028037383177570093,0.14634146341463414,0.5428571428571428,0.04,0.047619047619047616,0.045454545454545456,0.35294117647058826,0.125,0.16666666666666666,0.056338028169014086,0.676056338028169,0.05555555555555555,0.07392996108949416,0.06993006993006994,,,
1,0.02,0.01818181818181818,,0.16666666666666666,0.023809523809523808,0.06993006993006994,0.022727272727272728,0.03333333333333333,0.13829787234042554,0.11875,0.02702702702702703,0.052132701421800945,0.04878048780487805,,,0.02830188679245283,0.08641975308641975,0.06862745098039216,0.13333333333333333,0.6666666666666666,0.056338028169014086,0.030303030303030304,0.0375,0.2608695652173913,,0.2,0.033707865168539325,0.6984126984126984,0.06779661016949153,0.09722222222222222,0.032520325203252036,0.09090909090909091,,
2,0.057971014492753624,0.029411764705882353,,,0.023255813953488372,0.05105105105105105,0.02601156069364162,,0.13227513227513227,0.16167664670658682,0.08695652173913043,0.02575107296137339,,,,0.056910569105691054,0.11494252873563218,0.05263157894736842,0.18181818181818182,,0.012048192771084338,,0.02586206896551724,0.14285714285714285,0.024390243902439025,0.08333333333333333,0.0425531914893617,0.6865671641791045,0.07246376811594203,0.08333333333333333,0.10625,0.09090909090909091,,
3,0.037037037037037035,0.02,,0.32608695652173914,0.0625,0.05592105263157895,0.03459119496855346,,0.13,0.09027777777777778,,0.037037037037037035,,,0.125,0.0297029702970297,0.10714285714285714,0.04285714285714286,0.14,0.4444444444444444,0.023255813953488372,,0.033707865168539325,0.17857142857142858,0.09302325581395349,0.16666666666666666,0.032,0.6125,0.0136986301369863,0.0859106529209622,0.07194244604316546,0.07692307692307693,,
4,0.014084507042253521,0.03333333333333333,,0.18181818181818182,0.037037037037037035,0.05757575757575758,0.019444444444444445,,0.11214953271028037,0.06666666666666667,0.05405405405405406,0.02575107296137339,,,,0.009259259259259259,0.14925373134328357,0.030534351145038167,0.08771929824561403,0.4166666666666667,0.03,0.2,0.02727272727272727,0.24,0.047619047619047616,0.1111111111111111,0.043010752688172046,0.5507246376811594,0.06896551724137931,0.10305343511450382,0.05426356589147287,,0.058823529411764705,
5,0.02702702702702703,0.02631578947368421,0.25,,0.10638297872340426,0.05865921787709497,0.030690537084398978,0.07142857142857142,0.16964285714285715,0.13970588235294118,,0.03208556149732621,,,,0.041237113402061855,0.08974358974358974,0.031446540880503145,0.04878048780487805,,0.02912621359223301,0.13636363636363635,,0.3448275862068966,0.11320754716981132,0.08333333333333333,0.045871559633027525,0.696969696969697,0.016129032258064516,0.08641975308641975,0.04964539007092199,0.05555555555555555,,0.029411764705882353
6,0.046153846153846156,0.022727272727272728,,,0.01818181818181818,0.08970099667774087,0.03464203233256351,,0.16842105263157894,0.09944751381215469,,0.023668639053254437,,,,0.0594059405940594,0.13636363636363635,0.026490066225165563,0.14583333333333334,0.47368421052631576,0.0784313725490196,0.038461538461538464,0.07766990291262135,0.3548387096774194,0.017241379310344827,0.125,0.03571428571428571,0.68,0.07272727272727272,0.09121621621621621,0.05426356589147287,,,0.038461538461538464
7,0.05,0.027777777777777776,,,0.07142857142857142,0.06624605678233439,0.03076923076923077,,0.11363636363636363,0.10734463276836158,0.05714285714285714,0.03317535545023697,,,,0.030927835051546393,0.05813953488372093,0.02097902097902098,0.13953488372093023,0.40816326530612246,0.0297029702970297,0.07142857142857142,0.0380952380952381,0.2127659574468085,0.02631578947368421,0.1875,0.03389830508474576,0.6811594202898551,0.04918032786885246,0.10089020771513353,0.05714285714285714,0.11764705882352941,,0.06666666666666667
8,0.06153846153846154,0.029411764705882353,,,0.041666666666666664,0.058666666666666666,0.03333333333333333,,0.1782178217821782,0.15,,0.05945945945945946,0.0196078431372549,,,0.046875,0.05084745762711865,0.034482758620689655,0.07692307692307693,0.47619047619047616,0.05084745762711865,0.05263157894736842,0.061855670103092786,0.27586206896551724,0.075,0.1111111111111111,0.031746031746031744,0.717948717948718,0.03389830508474576,0.13898305084745763,0.01680672268907563,0.25,,
9,0.029850746268656716,0.03333333333333333,,0.08,0.08571428571428572,0.09538461538461539,0.02531645569620253,0.07142857142857142,0.14814814814814814,0.09027777777777778,,0.08074534161490683,,,,0.04716981132075472,0.05063291139240506,0.039735099337748346,0.08163265306122448,,0.06363636363636363,0.1111111111111111,0.019417475728155338,0.1935483870967742,0.12121212121212122,0.125,0.0821917808219178,0.7254901960784313,,0.09202453987730061,0.06956521739130435,,,0.02857142857142857
10,,0.03225806451612903,,0.18518518518518517,0.04878048780487805,0.10116731517509728,0.021671826625386997,,0.1971153846153846,0.12408759124087591,,0.07772020725388601,0.044444444444444446,,,0.058823529411764705,0.06172839506172839,0.050359712230215826,0.08,,0.06306306306306306,0.041666666666666664,0.04672897196261682,0.2857142857142857,0.14893617021276595,0.2,0.09090909090909091,0.515625,0.12280701754385964,0.125,0.05,,,0.043478260869565216
11,,,,,,0.11065573770491803,0.04145077720207254,,0.21604938271604937,0.1619047619047619,,0.052083333333333336,0.024390243902439025,,,0.0449438202247191,0.11842105263157894,0.05128205128205128,0.075,0.3783783783783784,0.043478260869565216,0.045454545454545456,0.027777777777777776,0.0625,0.0975609756097561,0.14285714285714285,0.03076923076923077,0.6825396825396826,0.11538461538461539,0.07224334600760456,0.09900990099009901,0.15789473684210525,,0.041666666666666664
12,0.017857142857142856,,,,0.10256410256410256,0.07722007722007722,0.05113636363636364,,0.16470588235294117,0.14150943396226415,0.06896551724137931,0.04081632653061224,0.03636363636363636,,,0.011627906976744186,0.05357142857142857,0.06363636363636363,0.12121212121212122,0.3783783783783784,0.041237113402061855,,0.009900990099009901,0.16,0.0967741935483871,0.14285714285714285,0.05172413793103448,,0.05660377358490566,0.084,0.06451612903225806,0.05263157894736842,,0.06896551724137931
13,0.047619047619047616,0.07692307692307693,0.4,0.4074074074074074,0.0625,0.08550185873605948,0.038356164383561646,,0.1650943396226415,0.11811023622047244,0.18421052631578946,0.06557377049180328,,,,0.020833333333333332,0.15151515151515152,0.06474820143884892,0.16326530612244897,0.5652173913043478,0.041666666666666664,0.06666666666666667,0.023529411764705882,0.2,0.07692307692307693,,0.014705882352941176,0.6415094339622641,0.02,0.10094637223974763,0.08695652173913043,0.11764705882352941,,0.09523809523809523
14,0.045454545454545456,0.043478260869565216,,0.17142857142857143,0.08163265306122448,0.16721311475409836,0.03837471783295711,0.06666666666666667,0.19796954314720813,0.12318840579710146,0.07142857142857142,0.07009345794392523,0.016666666666666666,,,0.021739130434782608,0.125,0.08208955223880597,0.07692307692307693,0.5517241379310345,0.05084745762711865,0.08,0.019801980198019802,0.18518518518518517,0.038461538461538464,0.07142857142857142,0.030612244897959183,0.5507246376811594,0.03389830508474576,0.08143322475570032,0.04032258064516129,0.05555555555555555,,
15,0.034482758620689655,0.05128205128205128,,,0.04081632653061224,0.16176470588235295,0.042316258351893093,,0.11504424778761062,0.2328767123287671,0.06666666666666667,0.04411764705882353,,,,0.019417475728155338,0.0945945945945946,0.04794520547945205,0.06818181818181818,0.5423728813559322,0.0625,,0.050505050505050504,0.36666666666666664,0.043478260869565216,,0.01098901098901099,0.5492957746478874,0.034482758620689655,0.08174386920980926,0.05263157894736842,0.047619047619047616,,0.02564102564102564
