cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-12,0.0,0.0,0.0,0.01020408163265306,0.0,0.003105590062111801,0.0027472527472527475,0.0,0.007575757575757576,0.0,0.0,0.009302325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.014354066985645933,0.0,0.0,0.0,0.0,0.011764705882352941,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11,0.006696428571428572,0.027777777777777776,0.0,0.019617706237424547,0.0,0.005194805194805195,0.002793296089385475,0.0,0.0,0.0,0.0,0.0,0.029385171790235077,0.0,0.0,0.0,0.0069124423963133645,0.0,0.0,0.0025676937441643324,0.0,0.0,0.0,0.0,0.0,0.018237082066869303,0.0044444444444444444,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10,0.0,0.0,0.0,0.02666666666666667,0.0,0.0,0.002600780234070221,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005917159763313609,0.0,0.0,0.0
-9,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0090311986863711,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011152416356877323,0.0,0.0,0.0,0.0,0.0021777003484320556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8,0.01020408163265306,0.0,0.0,0.0,0.0,0.0035714285714285713,0.0014104372355430183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001943634596695821,0.0,0.0,0.0,0.0,0.0,0.0,0.003586371787208607,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0
-7,0.010752688172043012,0.002232142857142857,0.0,0.0,0.0,0.0,0.001483679525222552,0.0,0.0,0.007633587786259542,0.0,0.0,0.018018018018018018,0.0,0.0,0.0,0.0070921985815602835,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6,0.0,0.0,0.0,0.0,0.0,0.0020491803278688526,0.0023391812865497076,0.0,0.0,0.0,0.0,0.0047169811320754715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007692307692307693,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.008264462809917356,0.0,0.0,0.07692307692307693,0.0,0.009679572763684915,0.0,0.0,0.0,0.0,0.005681818181818182,0.0,0.0,0.0
-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0022988505747126436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,0.0068322981366459624,0.0,0.0,0.05952380952380952,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.011049723756906077,0.0,0.0,0.0
-4,0.005772005772005772,0.011699507389162563,0.0,0.0,0.0,0.0,0.0010080645161290322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0
-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015651678998292544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.020903361344537817,0.0,0.0,0.0,0.004347826086956522,0.010638297872340425,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
